GENE_SYMBOL	EXPRESSION_VALUE
CCDC69	16416
DBX2	0
LIN9	250
LOC100505658	28
TMPRSS2	2
ITPRIPL1	288
TAS1R1	10
TFE3	3925
CD58	781
SLBP	2293
CAPS	609
SLC9A4	0
GPR152	51
CDC16	3078
PDHX	1318
LOC100131726	0
SHISA8	23
MIR198	0
SPAG1	317
PRKAR1A	11276
LIMS1	5008
AGAP5	60
HIST1H4E	66
FLJ40504	1
SLC2A6	1626
SCN4A	22
LOC100505576	213
LOC400643	0
TSGA13	0
GATAD2A	8430
ATP5O	4918
DPM1	1374
DHRSX	680
UBE2L3	2377
RRAGB	644
NUPR1	0
SYT6	4
ALDOB	7
MIR4323	0
FAM107A	0
MIR299	0
RNASE7	2
PHYHIPL	0
UNC5CL	279
TERF2	1960
AATK-AS1	0
DOCK4	108
RDH11	2992
PTPN22	3115
GUCY2D	30
NUDT15	1132
COG2	2426
HNRNPA1P10	0
EXOSC1	956
SERPINB7	0
SNORD114-5	0
KIF13A	1727
KRT26	0
CYP4F3	9
PPP4C	2855
GAS1	59
C20orf96	153
C12orf42	170
FLJ39582	105
CPSF2	3381
OR2L8	0
SCXA	0
RAB32	1870
GNAS-AS1	4
ELK4	9550
WFDC10B	0
LOC100505716	106
SKIV2L	2915
RCE1	1067
SLC7A5P2	194
NCRNA00293	0
FXC1	2378
MIR941-4	0
XYLT1	8112
KCTD19	18
LRRC49	9
OR4S2	0
IFT74	578
GALNT10	5832
LOC146481	0
DENND2D	7173
PDZD4	1878
FAM110C	47
TJP2	1277
POU2AF1	1647
MIR548F4	0
MEFV	2426
SETD4	640
DDB2	1540
TRIM58	672
MIR338	0
CC2D1A	1338
NRM	773
PHYH	562
TGM1	74
TRPV4	35
ZNF566	473
MIR381	0
CDY1B	0
LOC284801	132
LLGL2	1648
LOC647979	10493
SLC6A7	1
GOLGA8F	0
MSMP	399
OTUD6B	750
KRT38	0
SNAR-A3	0
LOC728716	0
SNORA41	68
AGAP6	277
TBPL1	1045
CABS1	0
POC1B-GALNT4	70
TONSL	305
BCL7B	4799
CCL13	0
WARS	11029
SPNS2	45
LXN	155
NRAP	0
PVRL3	417
ZAK	1136
FLJ16341	3
MESTIT1	5
CACNB2	80
FXYD5	24596
ARFGEF1	8480
AMMECR1L	2396
SULT1A3	0
ICT1	468
KIR2DL4	67
PDE4D	12491
MMD	1984
SH2D7	3
TECPR1	5071
KRTAP5-9	1
C14orf50	8
FKBP1AP1	359
ELF2	3478
MIR622	0
ABCA17P	5
ATAD3B	749
RPS17	0
MIR15A	0
MIR4762	0
PAF1	3596
MIR4473	1
CDK2AP2	2321
TLR3	145
MIR636	12
TSSK3	432
SLC36A1	946
TUBG2	158
ZBTB47	380
GAGE12G	0
MIPEP	423
SIX6	0
MIR1234	0
PHF1	7262
C17orf78	3
GVINP1	9917
LMX1A	0
C3orf79	0
ZSCAN18	1233
LOC113230	59
SURF6	1353
LOC254100	79
LARP1B	863
SCOC	1120
AP2S1	2052
BAGE3	1
AMY2A	0
PIK3IP1	30336
CRX	0
ZNF558	840
PPP1R7	2743
MIR4737	3
LOC441666	1
FIS1	2608
NFASC	3
PGM3	812
ZIC5	0
PLAC1	0
TRIM49	0
TGFB1I1	32
RNF139	16098
FCHSD2	6622
ZNF324B	194
FLJ33581	0
PROCR	93
HOXA9	3
TTC27	1818
LOC440028	2
KIAA1432	4304
CKAP2L	33
AASDH	988
SLC25A23	1020
SYTL5	6
OR1I1	0
TBC1D14	3999
ALOX12	374
ZNF532	637
FAM111A	4528
HIGD1B	13
DTNBP1	1508
SNRPB2	2076
MMAB	550
MYCN	9
PLEKHH3	28
MIR484	0
CTDSPL2	5411
KCNK1	9
INMT-FAM188B	0
MRPL10	2346
PRSS21	10
MKI67IP	1091
GBA3	3
HYAL2	206
BCAP29	1563
C6orf130	1465
COL5A2	55
AA06	0
PKIB	43
ST7-AS2	3
ZNF682	159
AICDA	3
KRT8	3
IGSF3	12
BLID	0
FADS3	209
GMIP	8009
CNTFR	0
FAM66E	0
C21orf58	146
SLC25A4	356
ZNF304	820
NOSIP	7926
HOXB13	0
MIR128-2	0
OR4F4	0
C17orf87	963
GLYATL3	0
LOC100507217	12537
LBP	0
FAM83B	0
ZNF358	559
FANCC	337
TMEM86B	465
HAUS3	3966
CEACAM7	0
MIR502	0
SH3GLB2	2636
GPR52	18
SLC4A8	256
TAS2R50	10
CCDC88A	4334
LOC100507206	42
GDF3	0
CCDC155	1
MIR3928	0
MKRN1	11421
TTTY23	0
WDR45	1551
TAC1	0
CXorf57	646
WDR52	780
INHBC	11
ELAVL1	3122
SNORD75	30
TBX15	3
UCP3	360
LOC646168	0
XKR5	0
AEN	2766
LRTOMT	176
CCNC	2461
ESYT1	14340
DDAH2	918
MIR4684	0
RFX4	2
ACP5	1131
SLC2A13	503
CNRIP1	16
ZNF736	432
GDF1	1
RUNDC3B	33
BUB3	5755
RNF122	974
PRPF19	5237
PDLIM2	2901
WDR31	32
ANLN	36
SMN2	0
FGF7	2
ZNF826P	22
PRELP	1
KLHL5	2765
GULP1	0
HTA	0
CYTH3	1198
MIR335	0
RGS2	63644
MYH6	0
LOC100126784	6
HGC6.3	0
SENP2	2156
PMVK	1198
MIR497HG	73
TTC23	46
