GENE_SYMBOL	EXPRESSION_VALUE
ZNF828	1318
NDN	57
DCDC2B	24
SNX12	564
OGDHL	3
GAPVD1	4060
ARFIP2	1079
NKTR	4840
ZNRD1	702
AARSD1	695
SNORD24	23
LOC728643	4
CAPZA2	6231
AHNAK2	156
LOC100499484	114
FGF4	0
HARS	2475
STAMBPL1	676
TMEM154	4594
UBXN7	3050
IL1B	15370
TRIM9	9
AP2M1	12700
SNORD124	2
ZNF71	552
GALNTL6	6
BPIFB3	0
IL29	5
PRC1	316
PRKRIR	2921
BTBD11	1594
TRPM1	0
HNRNPC	10139
FUNDC2P2	56
MAGED4	0
CATSPERG	112
SDHAF1	327
PTPRH	33
MIR1909	5
GPR31	2
C7orf42	6217
SLC23A1	72
MYO1C	1191
BCRP3	2
C18orf62	0
USP8	3882
C20orf111	4319
GAGE2E	0
GPHA2	1
DHTKD1	1480
OR5AP2	0
GALNT14	2
MESDC1	2215
LOC645323	0
KIF26B	29
RFC3	252
LRRC19	2
MEX3D	215
HTT	8133
MAGEA10	0
LETM2	94
LOC100133161	16
GNLY	15070
ZNF578	32
OR4C3	0
SERPINF2	87
LOC283335	9
OR14I1	0
FAM154A	1
EGFL7	59
LOC100499405	177
ZNF721	2177
IL7	108
PTEN	6294
LOC284385	106
TTC17	5246
GRTP1	28
MRGPRG	0
SLC25A44	1605
SREBF2	6592
TXNRD3NB	0
LOC100505702	139
KNCN	1
RHOJ	0
WDR69	0
PLEK2	37
PI4K2B	1769
HIST1H1B	3
MRPS15	1292
CD209	197
TRIM66	776
RAB5C	7815
SIN3B	3049
APBB3	488
GNN	22
AMOTL1	182
GPRASP1	1122
ATP1A4	35
GRIA1	0
LOC100128098	2
EPB42	0
C6orf163	15
CFL1P1	9
MIR132	3
TM4SF19-TCTEX1D2	2
OR2T5	0
MKL2	850
LOC100130890	65
TLK2	1196
SRPK2	3477
CPSF1	3517
UBL4A	1341
ZFAND3	5388
PMS2P5	50
FGB	0
WWC3	3777
CENPF	382
KIAA0114	1176
RAD1	663
SLC9B1	18
GRHPR	1745
HINT2	490
PEA15	7215
MIR4441	3
MIR365-2	0
DND1	172
ARL5A	2969
SNORD102	65
EBI3	33
LOC730227	22
KRTAP11-1	0
FBF1	516
RUSC2	917
NSUN7	20
ZNF320	527
CAV2	4
ALAD	2687
CDRT15L1	0
MIR509-3	0
FUT5	5
ZBBX	0
REXO1	3187
FAM69A	943
COQ5	896
C7orf62	0
ZCCHC2	3493
DGCR8	1707
PRR5	898
TLR10	408
ELL3	141
TMEM158	22
LOC152217	766
ASPDH	22
SNORA16A	70
LOC100499489	167
C22orf23	294
C10orf40	0
UNCX	0
LMOD1	1
EVL	14802
RPL32	22188
NPPC	0
MIR4283-2	0
C12orf56	0
C12orf65	540
CENPN	422
MIR1912	0
FLJ40292	11
ARL5C	2
FAM90A8	0
PDHA1	1859
MMGT1	3661
FGF14	1
SCARNA8	3
ALDH7A1	31
SLC9A9	1695
MIR615	0
MPPED2	19
LOC729178	33
APBA3	966
NOL12	722
VASP	13155
LOC727924	1
LOC729080	0
NMI	2095
NKAIN4	0
STOX1	96
MAP2K5	1328
MIR4643	0
DHX35	946
HSPBP1	949
LOC100130093	53
LOC100129361	991
CCR1	3910
BSN	28
HCG27	70
COTL1	60047
CCDC63	0
C20orf4	1813
TMEM180	363
SNORD55	41
C1orf110	0
CD80	34
ZNF664-FAM101A	0
DHX30	3094
ABCG1	679
SLX1B-SULT1A4	23
SLC38A9	715
CPNE3	5586
FAM180B	4
PMS2	596
CSGALNACT2	7182
TMEM31	0
NARS2	707
RFPL3	0
SLC44A3	9
COBL	22
SCN7A	0
DPH3P1	89
ZNF627	410
GAL3ST1	1
ZMYND10	36
FCGR3B	39
SLC22A23	625
ATF2	2057
JAM2	5
DEFA3	0
MIR1537	4
PDK2	1448
PIKFYVE	6051
ITIH2	8
CLK2	1126
C1orf152	14
NCRNA00163	0
C8orf34	0
CA13	98
CELSR1	215
MAPRE2	6606
ZNF707	488
PTDSS1	7431
HSPC159	265
NKX3-2	0
SRC	1784
LOC158572	41
MUM1L1	0
SMPX	0
ASAP3	60
SNTG2	7
GAPDH	41025
NCRNA00114	1
FFAR3	16
SEBOX	2
LOC100505536	3
PROM2	4
MIR329-1	0
FAM24A	0
MIR3136	6
RNFT1	966
AKR1A1	2578
HUWE1	18869
FOXC2	1
CCDC116	1
FLJ40434	0
MYO5B	10
TTC5	603
C11orf70	0
ATP5G2	7085
LRRC33	2785
GUCY1A3	339
APOH	0
ELOVL5	9664
DENND1A	3779
TP53TG3B	0
SLC3A1	7
RPRM	10
MIR4275	0
MIR3180-3	0
PDZRN3	0
ANKRD50	1078
HDAC6	1802
KRT82	0
CCDC53	782
PSMB1	4353
OR10K2	0
LHFPL3	0
C1R	78
MIR4742	2
LOC401164	0
ZRANB1	3914
TYRO3P	14
WHAMMP3	134
EXTL2	168
RUVBL2	1311
LOXHD1	149
FJX1	1
ZNF689	678
MIR450A1	0
ZNF7	852
EGLN2	3509
FAM9B	0
NECAP2	7667
CCL14-CCL15	0
ZNF117	298
AHR	9764
IFI27L2	684
CASP9	866
OR51A2	0
SNORD88C	2
