GENE_SYMBOL	EXPRESSION_VALUE
CYP2A6	8
TMEM2	16384
AQR	7616
KCNH5	0
CXorf58	2
CLU	16810
GTF3A	15085
AKAP14	2
PCDHB17	0
HIST1H3E	9
PELI3	1433
PRR21	0
MINPP1	678
BARHL2	0
TCEAL3	639
TANK	8053
LOC100128496	0
MIR575	0
RPL18A	12006
RABAC1	6190
RPL31	61219
MCART2	4
MINK1	19424
LOC550643	2652
C1orf170	40
ASB9	25
C18orf1	4636
DYRK1A	23855
CLTA	4830
MGC2889	2
FOXI1	59
MIR4639	23
RUVBL1	2864
LOC100128881	203
LOC100505795	0
DARS2	1098
E2F7	38
CCBL2	2381
UGT2B10	1
SLC22A6	0
CDK12	17590
AGTRAP	9155
CDY2B	0
BOC	4
ZDHHC8	4242
USP17L6P	0
TFF2	0
TUBA4B	235
LRRC36	23
MIR624	0
PARS2	54
MIR548AD	0
ISLR	0
CCDC42	33
SLC24A1	994
PVALB	90
ATRN	5352
NRIP2	603
FAHD2B	183
LOC100133461	0
TLR7	1477
TMEM136	13
LOC90834	328
MMP28	204
FAM26E	34
TIAM2	234
TACC1	19817
NOXO1	69
LOC374443	6504
CDCA5	189
LOC100132618	65
GRIK3	60
DNMBP-AS1	2
VPS26A	5328
PHF3	25883
C21orf15	4
RWDD4	385
NUP85	1604
BNC1	0
IFT52	2219
LOC730811	0
LOC399940	0
C15orf60	2
FAM117A	10687
KLRAP1	442
MAGOHB	611
SLC39A2	6
IL13RA1	6184
LOC100132077	14
DEFB113	0
C2CD4A	8
SLC16A4	30
SERPINB5	0
FAM189A1	10
TCERG1L	4
NCRNA00204A	10
C5orf51	1758
P4HTM	1929
IGSF22	62
CTAG2	0
INTS1	17402
LRRC37A2	440
RASIP1	15
MIR1225	0
RFTN2	15
MIR559	0
WBSCR28	0
SNAR-C2	0
OR5AC2	0
ARL14	1
ABHD11-AS1	25
ID4	0
MLYCD	1022
CORO7-PAM16	201
USP17	0
WDHD1	440
GUSBP4	154
HYAL4	4
CCDC14	2115
HOXB3	314
LOC348761	20
KIF3C	1526
TRAM1	29348
OSGEPL1	407
GRAMD3	677
PCDH10	1
MRPS18B	2175
ANP32E	10487
ARHGEF5	231
CFHR3	8
SULT2A1	1
GPR148	1
APBB2	102
SMARCB1	6532
LCN2	118
LOC283174	272
RORB	13
EXOC6B	870
SERPINA10	2
GAB4	1
TTLL1	695
LOC150527	0
TASP1	1243
HLA-DQB1	15462
CDK5R1	3577
C5orf22	2141
FLJ31306	3651
MIRLET7F1	2
LPPR3	54
CXorf22	0
ZBED4	5766
MIR4489	16
SERTAD2	10643
AZI2	4867
RBM7	3838
PSMA2	4548
LAX1	3380
FAM164C	55
PRKCH	38401
TMEM215	0
MPDU1	3416
GRIPAP1	5938
TMEM223	584
SHISA9	0
ITGA8	0
GLS2	354
AKIP1	633
PIGL	348
MTRNR2L10	15
TTLL12	3355
HELZ	15158
KRT78	0
LOC100270746	0
GPRASP2	20
LOC100628307	0
C6orf125	637
RRP1	1967
TSPAN8	0
STXBP2	21024
LRG1	670
GAGE8	0
FGF19	0
ZNF430	4204
DNAJB8-AS1	1
PSMG4	822
TRIM78P	0
SNAR-B2	0
GTF2IP1	1
LOC100130000	4
RBPMS	49
C9orf129	2
CDC45	41
SLC12A8	11
CDHR3	114
SLC12A4	3199
SCARB1	1344
