GENE_SYMBOL	EXPRESSION_VALUE
RWDD2B	407
WFDC10A	0
NPR3	42
ANKRD46	233
PARD6G	38
IDO2	14
ABTB1	5802
GPR63	3
LOC284865	0
VIPR2	93
LRIG1	1672
LOC100288123	60
MRPS18A	873
PSMD6	2558
PLXNA4	294
MGC14436	2
GPER	21
SEZ6L	117
SPATA5	443
MIR548J	0
AKR7L	9
MEMO1	359
ALS2	403
LOC100288778	133
PDSS2	537
MIR4440	0
LOC285205	0
C7orf16	41
ZNF526	286
KLK1	51
ZIC4	0
STOM	6089
PLS3	10
CCDC42B	25
TSEN2	123
NCAPD2	1897
ELF5	1
STARD10	683
LETM1	1324
ZC3H12A	1891
FOXF2	0
PAQR8	679
CXCR6	133
GSDMD	10534
MRS2	900
MIR3185	0
C9	0
MYL7	2
NOP58	2384
EDC4	2726
RTP3	0
FLRT2	0
MIR4718	0
TMCO6	528
PYGL	1820
BRCA1	91
TCL1A	2033
SRD5A1P1	43
VTRNA1-1	7
SPINLW1-WFDC6	0
FAM53C	3173
SULT6B1	0
TTC9C	262
EEA1	535
RNASE11	0
GNL3	1432
EIF1B	2077
UBASH3A	1520
DEFB128	0
TAL1	152
MIR3678	0
ZBTB5	420
PSMD4	3761
COL14A1	0
MYD88	5290
LOC646471	75
JAM3	287
RAB6C	0
SFRP5	10
KIAA1704	244
KCNK6	499
RAG1	16
SPANXN1	0
CMTM2	29
PLEKHM2	5218
CCDC64	1950
MIR4485	0
MIR548F2	0
LOC100505666	25
SLC6A14	0
TCF25	8377
RBMY3AP	0
EML2	1366
NOTUM	7
GCGR	0
TDRG1	1
SNORD104	181
KDM1B	922
TTTY20	0
SIRT3	709
MIR4676	0
DDX59	707
FITM1	87
MIR376A1	0
RND3	0
PRDX6	5566
MYOM1	151
MOCS2	915
SBK2	0
CXXC5	1120
R3HDM2	2068
F13B	0
LRRIQ3	19
NUP43	560
HPS3	711
DEPDC7	33
GPI	7669
ASB2	170
TMSB10	130386
SRGAP2	1050
SERPINA4	0
OR4K15	0
MIR1250	0
SNORA34	23
KRT42P	1
MIR4305	0
PIH1D2	11
ITPK1	4594
OR51M1	0
DYNLRB2	5
C1orf186	13
TBL2	736
ABCG2	57
LOC100288846	31
OR7E5P	0
ZNF197	446
LOC400654	0
SRRD	433
CRNDE	6
PIWIL1	0
ALDH1L2	13
LRRC37B	346
RD3	0
LOC440104	366
LMAN2	8873
LOC90784	518
CAPNS1	17824
RIIAD1	0
MOG	0
CASP8AP2	627
PIGH	347
GPR3	112
KCNJ1	15
PCNAP1	7
TNRC18	3052
OR4F17	0
CDT1	160
PIP4K2C	1004
VPS72	1665
LOC100130950	306
MOCOS	3
MED12	765
MIR1228	0
THOC3	133
NCSTN	3427
MDGA1	1320
FAM46D	0
HULC	0
INTS12	568
ADSSL1	64
LOC100505841	0
MST1P9	21
HNRNPCL1	0
CDKN2AIP	1806
KCMF1	2712
APC	786
CABLES1	67
INADL	681
ZWINT	150
LOC644838	0
MIR3690	0
TRIM73	5
EDC3	1372
NAA60	2433
TFDP3	0
HOMER2	110
THBD	84
SNCB	10
CEACAM20	0
LYRM5	483
C11orf16	1
FAM120A	4523
PGA4	0
MIR320C2	0
FNTB	5
PRAMEF19	0
HEY2	26
MIR939	9
MIR556	0
TMEM151B	11
HIST1H4B	6
SMOX	408
MARK2P9	3
MIR548H2	0
STX16	6336
C1QBP	3585
ALAS1	743
DERL2	1534
RGS20	5
PTPN3	4
FAM55C	3105
NSF	1286
ENDOD1	833
TADA2B	2884
MIR3668	0
LTC4S	59
FUNDC2	1637
GPR37	0
MBTPS1	3715
MIR7-2	0
TRAPPC4	1451
PRRG3	0
FAM175A	418
GMPPB	722
PNPLA7	285
KCNRG	25
ZNF367	272
KLHL1	0
APOL3	7667
FEN1	661
ZNF17	178
C9orf70	0
TEAD4	0
BBS4	363
PIP4K2B	3603
SFTA1P	0
MGAT1	12892
TRAPPC2	997
LOC100507341	2
CRYL1	1315
CDKN2AIPNL	473
CUL7	783
DPH5	2132
CYB5D1	316
NCRNA00303	0
ZNF350	633
JARID2	1286
AURKAPS1	46
RGS21	0
LOC100131096	5144
CAB39	4974
TBC1D28	0
PGRMC1	1304
C6orf174	20
PAX1	0
ETHE1	2043
SYPL2	1
SLC6A11	0
ALG14	218
TROAP	43
AK4	32
SPC25	29
ANP32D	72
RGAG1	0
LOC100132352	49
LINGO2	74
LOC100130673	0
DCTN4	1289
ILVBL	1439
RAB34	914
FANCL	171
FAM98A	291
TMX4	1481
CCL4L2	0
BEGAIN	56
OPN1MW2	0
ADNP2	1209
ABCF1	3091
ABHD12B	2
NFYB	695
PIGR	2
WSCD1	12
SPATA6	134
MIR942	0
ECE2	140
SPATA22	4
CDK20	171
LOC100507062	127
MID1IP1	2423
STK40	3939
MIR4523	4
GBAS	1393
FCHSD1	1314
RPS7	8141
ASPHD2	460
CCNE1	97
EPS8L2	222
XYLB	32
RASSF5	12447
NCOA1	2241
SAMD4B	790
GPM6A	66
EDA	216
HP	134
ZCCHC6	1063
SF3B5	4665
CD79B	6171
HOXD12	0
C3orf45	3
TDGF1	0
ORC1	79
SLC5A1	1
ARL3	465
KRT72	91
C14orf183	4
PDZK1IP1	228
PCYT1A	485
GPR119	0
KCNQ5	66
ZNF285	18
L1CAM	43
EBAG9	876
YWHAE	4320
CBX8	192
PTPN6	12360
ZNF326	504
KIAA1370	947
SNPH	844
SREK1	1089
DCAKD	678
E2F4	4344
MFAP1	476
LOC150776	663
ZSCAN2	407
SLC25A38	2025
MIR4734	0
PBX2	3121
CDRT15L2	0
LOC100293516	467
MIR770	0
ENOPH1	1210
NAA38	1780
TMEM123	12359
TOP3B	662
TMEM108	4
KIF16B	237
ZNF92	547
ODF3L1	0
ZMYM1	373
DDX58	2037
WNT9A	4
CHST7	629
FLJ45513	70
SDCCAG8	472
MIR4300	0
MIR148A	0
MIR3162	0
FOLR1	0
RHBDD2	3141
GGCX	698
IDI2-AS1	118
OR6C4	0
MIR302F	0
GRASP	1040
MAFF	878
TMEM200A	96
CRLF1	1
CACNG1	2
MIR4645	8
MIR1298	0
VBP1	1987
TMED10P1	172
RNF14	1021
SOX8	184
DCLK2	15
ZDHHC24	655
LIPC	8
KCTD17	1282
WHSC1	1328
BIRC6	2510
PACRG	11
PCDHGA8	1
BRI3	4236
HIST1H3B	4
RAG2	0
SNORD115-10	0
LOC284276	0
TMEM63A	4411
NKX1-2	0
COL9A1	0
ATP5EP2	5158
UBQLN3	0
ADRA1A	0
UBFD1	896
HTR1A	0
HMGCL	1070
HOXA13	1
MIR4664	2
MXRA7	622
BPIFA3	0
PRR14L	1185
C16orf46	23
MIR362	0
PCDHGB1	1
KREMEN1	92
WDR86	113
SLC10A2	0
C17orf81	1548
SLCO1B7	0
TNXA	0
POU2F3	5
NKAIN3	0
MT1H	0
EPB41	3055
VTRNA2-1	0
C19orf20	1157
CCDC28A	1210
WDR3	683
FLJ39051	88
PON2	282
KLHL34	7
IFITM4P	40
IFNE	1
MIR4251	0
GGNBP2	2523
OR5B17	0
MTMR9LP	31
ZFYVE21	417
MBNL2	654
EXOSC4	423
SSX2	0
LOC389043	0
KBTBD6	114
UAP1	1034
TAS2R1	0
C6orf26	0
MIR885	0
RNPC3	245
TCAP	47
PPP2R2D	1647
PHF17	3391
PRM3	0
ORAI2	3074
RIPPLY1	0
NECAP1	1032
USP10	1913
MIR3675	0
ZNF323	30
FOXP2	0
MKRN3	19
KIF17	5
HCFC1R1	1161
FBLN2	253
MAPKAPK5	2091
LOC339166	0
SLC13A1	0
IGSF21	0
C3orf52	32
LDHAL6B	0
VGLL2	0
RAB9B	10
PRICKLE1	95
HTRA1	36
FZD4	96
PLA2G1B	2
RPL13AP20	77
GABARAPL2	3899
NPM3	779
ZNF207	4793
ZNF662	31
UBIAD1	1094
F2RL2	9
LOC100506686	123
CXorf23	226
RLN1	22
MIR634	0
NKX2-8	0
NBPF15	15
UCHL1	8
HS6ST1	454
IDH3A	825
C9orf72	1335
PCDH7	0
TM6SF2	1
DCHS2	1
OR4D5	0
ZNF564	726
LOC100129148	2
MGC16142	17
DET1	167
PITX1	2
CENPL	144
TGFB3	101
STRN	1220
LOC283914	0
TMEM207	0
ANO8	476
OR10X1	0
LOC339290	1542
GCKR	0
MIR3918	0
PRAMEF13	0
INTS8	1291
C9orf100	213
CTAGE7P	59
C7orf45	0
POU3F1	61
CILP	36
ARSA	2946
SPAG4	103
TUBB2C	7281
MIR4647	0
JAKMIP2	307
SEPSECS	443
HS3ST5	0
D21S2088E	0
C10orf11	274
CLEC3B	101
IFI6	6824
MIR516A2	0
KRTAP9-3	0
TRA2B	9129
EREG	131
LRRC37A	5
HARBI1	102
ITGA3	277
COL19A1	29
TREH	0
SMC4	1008
LEO1	622
RBMS2	216
PIGX	826
CROCCP2	1217
HMGB4	0
PPP2R4	6297
TMEM18	1165
C6orf112	0
SLC35F2	266
ZNF417	286
LOC340508	3
MIR184	0
MIR4694	0
MYBL2	263
KGFLP2	16
MIR4262	0
SNORA77	0
KIAA0776	451
DFNB31	150
CMTM1	11
MICAL3	899
LOC144438	1137
SH3BP4	98
RAD23A	5061
KIAA0748	2094
GOLGA2B	269
GPR183	7213
RPL12	15321
ZNF229	12
ACTR8	690
PRSS55	0
LOC200261	2
VASN	48
MTMR14	3634
TBX5	0
LOC100216001	0
OR10A6	0
SNORD113-6	0
LOC440970	0
LOC374491	1
MMD2	0
KRTAP9-2	0
C4orf29	185
CEBPD	5824
TRAF5	1533
TJP3	266
LOC643401	0
ALOX12P2	9
DOM3Z	819
NDNL2	3489
ALG1L2	1
ZNF554	313
OOEP	0
PRAMEF6	0
LHX3	1
ARHGEF26-AS1	0
CTRB1	0
SHPK	333
SAAL1	501
HESX1	16
NBPF11	0
C10orf111	4
PICK1	632
TAGLN3	2
ANKRD36BP2	46
TRAF3IP1	367
TMX3	1248
LOC100271702	2
ZFPM1	1384
GUCY1B3	98
TPO	4
C22orf39	939
OR2B11	0
ATP1B3	2970
UBR4	3377
BTBD17	3
PSMD12	883
RPL39L	298
PYCR2	3990
DEF8	1833
MRRF	422
SPIN4	83
MIR617	0
TMEM160	1221
PGR	0
SLC4A9	3
WASH5P	2
TMEM208	1586
FH	778
MIR659	1
C8orf73	293
PEPD	2871
CALM1	29827
SNORD88B	9
NME5	0
SNORD1A	3
MED30	1130
LARP7	1284
SNORD125	0
VRK2	361
MFAP5	2
LOC285456	18
SNORA36B	0
DSCR8	0
POLG	3279
MIR320B1	0
SLU7	1907
BCL3	2187
PHF20	2003
CCDC113	4
METTL21D	652
RASA2	266
PHF11	2301
PILRB	2915
SPG11	2488
TTTY21B	0
GABRA5	0
RFPL1-AS1	23
KRTAP10-11	0
PTGES3	5926
CYP1B1	813
CCDC165	16
SCARNA2	69
CCNL2	3607
SNORD114-19	0
RGN	1
BICD2	2113
LOC283624	381
PIN1	2340
WBSCR22	3440
MZT2B	2015
XPO5	775
LGALS13	0
GPR33	1
SNORD26	21
GALK1	965
C1orf105	0
SUCNR1	1
RBMX	5602
NAGLU	1432
LOC147093	0
DRG1	1740
PLA2G4A	56
SRRM4	0
EHF	6
LOC100125556	8
ATF7IP2	713
C1orf141	0
C11orf40	0
IGBP1	3825
SLC38A2	5727
LPAR2	1408
YY2	57
TMEM30A	3426
CLEC4C	49
HEATR1	497
KIAA0754	44
KIAA1715	573
C20orf46	3
FIG4	1203
MARVELD1	237
ERCC6	286
BORA	203
MIR4796	0
ZUFSP	276
KCND1	54
CAPN5	272
EDARADD	4270
HOMER3	723
C2CD2	211
LOC285501	0
FTSJ3	1876
HSPA2	274
TUBGCP2	3475
C12orf68	272
C1orf88	11
LOC400958	12
NXPH1	0
GYPC	6848
LRRC40	310
FLJ26245	0
C3orf58	588
OR2M1P	0
HYOU1	6245
LOC254128	303
HSD11B2	6
