GENE_SYMBOL	EXPRESSION_VALUE
C18orf42	0
ITGB4	87
CLEC1A	91
TTR	1
CCIN	22
OR1J2	0
MIR3682	4
DCLRE1C	3155
TNN	6
CCDC141	240
PRMT1	7407
APPL1	9114
SH3RF1	798
TEN1	0
MCCD1	1
ZNF583	658
ZNF436	1020
LOC440356	1
ESR2	110
FTL	190990
ADORA2B	257
NMUR2	0
GRINA	16904
RBM27	8930
TGM7	0
YPEL2	8385
GRIP2	3
SPAG16	393
MST1	75
RIMS2	1
LOC643623	0
URB1	3201
ID2	17972
KCTD11	1451
TMED6	43
PRKAR2A	4402
SNORD115-3	0
FLJ20021	224
TCF7L1	49
RNF11	16644
BRK1	14794
LSM10	4172
SAP30	1125
IDH3B	8307
WDR60	1374
COG7	1717
C7orf11	2066
SNORA48	61
TCEAL6	1
FGF6	1
ENTPD1	7327
IGFALS	22
CALML5	0
PLA2G4F	0
CD99P1	568
SGCD	359
FBXW2	10401
MIR1291	9
B3GNT2	4182
GPRIN2	0
LOC100505817	0
ZCCHC4	733
TMEM95	1
POLA2	1586
TMEM64	3060
EFCAB10	13
SNORD111	0
CTCFL	0
PIK3R5	24163
DSPP	0
MATN2	84
SGCG	1
OR3A3	2
C17orf50	7
DGCR6	188
PPP3CC	7044
KIAA0556	1834
RIPK2	3485
EHBP1	2220
CHRNB4	0
ITPRIP	9306
CASC4	10029
GPR61	4
MRGPRF	5
MIR1282	0
BRAP	3795
PFDN1	4273
ADCY4	138
DEPDC1	28
COA5	1545
DMTF1	4183
SLC44A1	6707
LOC100132781	7
LOC100132707	986
IL1RAPL2	0
PGM5	119
PRDM10	1278
BCAT2	1551
FGFBP2	13687
AADAT	2
RPS17L	0
SNORD115-31	0
TSHR	33
CHST14	1754
SPDYE6	41
MNAT1	699
NCR1	2055
HSP90AA4P	701
ZC3HAV1L	56
NUDT1	1555
HPSE2	45
SEMA3E	0
TRPC2	61
ZNF41	1752
LRRC20	729
ASB14	164
COL18A1	2564
EPHA1	974
MAGEB18	0
MIR4735	0
HRASLS5	31
NCL	50675
FEZ2	2543
FGFR1OP	526
LOC440461	148
ADRB2	2194
SNORD115-42	0
KDSR	4596
DLD	6509
CSNK1A1L	615
NDUFC2	5147
BAGE4	0
ANO10	1971
XAGE1E	0
PTH	0
CUZD1	87
SLC26A1	260
MAPT	166
UBE2Q1	11295
TULP3	753
SNORD116-15	0
RANBP17	10
BARX1	5
C11orf95	1243
NCRNA00258	34
HIST1H2AM	32
ATP10A	3793
MID2	2243
SNX19	9232
C1orf216	1701
SLC5A12	0
NR2C2	7432
LDHA	19679
MIR1280	0
TCF4	3057
MBD3L5	0
CHST9	0
VENTXP1	0
TMEM14A	706
ASTN2	137
MIR30E	0
MEGF8	2998
CCND2	13699
EXOC7	14491
DMRTC2	0
PIP	0
SLC13A4	26
C10orf82	0
ANKRD18A	75
NCRNA00261	0
ZDHHC2	7587
C2orf73	0
C1orf130	1
TMEM71	5485
ALMS1P	14
SYNM	1095
ANKRD12	17171
PCF11	11352
USP19	8719
WASH3P	168
ZRANB2	4060
PELP1	5243
MIR1256	0
GNAO1	964
TMOD2	3207
CEP350	17913
KRTAP10-5	0
DKFZp434L192	0
MEA1	3552
PURG	4
NUP205	5845
CCNY	22721
PADI2	4489
EEF2K	2099
DALRD3	2232
C17orf61-PLSCR3	449
FAM25A	0
BAHCC1	1293
MRPL17	1397
RAB21	5195
MIR376B	0
MIR4509-1	0
KIAA1524	417
OR5M8	0
C20orf26	7
UCK1	3750
SCARNA6	9
ZNF182	1189
ZNF597	331
IFIT2	2256
MIR605	0
ZNF114	8
UBTFL1	0
CECR5-AS1	2
ATP4A	2
EIF6	7436
SNAP23	14750
CC2D2A	191
DDAH1	15
SNAI2	0
MYH3	287
NOVA1	2
VMA21	3791
NBPF6	0
MEX3A	29
FAM86EP	97
DOC2B	2
PSMB7	4863
XPO6	24860
PPP1R14A	247
EIF2C3	1893
CTLA4	532
THAP11	8732
INTS10	8243
STK17B	51271
RAB39	387
NUP54	2795
FAM35A	1770
SCAP	10975
C5	549
KIF14	71
ZNF557	1531
LOC729668	1
APOBR	20638
DDX6	26520
TPRKB	1444
XKR3	1
SNORD5	9
C1orf27	1713
DYDC1	0
KLHL36	4467
PIGV	1287
WBP5	68
PRF1	47705
OLFML2A	83
