GENE_SYMBOL	EXPRESSION_VALUE
PAQR5	1
HOTAIR	0
ARMC8	2710
P2RX5-TAX1BP3	116
LOC339505	1
SNORD21	12
CALCA	2
ZNRF3	99
STK16	1869
RPS16	39187
SUPV3L1	1455
LRRC4C	0
LTB	16432
KLHL38	0
PRSS42	0
ZNF646	1681
STX12	2866
KDM6A	7983
AHCYL1	5415
ROBO2	0
POLR2G	3067
UBE2QL1	5
PLCXD2	255
GLIPR2	11118
MIR3656	0
ZNHIT3	1345
ATP5I	2029
OR51A4	0
TRMT61B	534
ACSS2	2046
NANS	1512
FCGR1B	59
MPP5	1551
IL18R1	885
OR52N1	0
C21orf122	66
FLJ35390	82
SDS	30
MLANA	49
LOC100288432	285
MIR4429	0
PRM2	0
NTHL1	289
PIP5KL1	14
DOK3	3093
ZNF727	38
BRF2	821
LOC286238	0
FBXO43	5
RAD51AP1	97
TRIM31	2
NCRNA00242	2
ATPAF1	1933
SAG	4
MIR548C	0
KRT6B	0
MIR4646	0
MLST8	1587
TTTY14	0
LRRC41	2212
MICALL2	110
LOC339902	0
MIR3064	221
WDR65	3
BFSP2	12
CEP192	3928
CCNT2	4588
MKNK1	2556
OR8K1	0
C11orf93	1
KRTAP4-4	0
ALKBH7	1916
FLJ33630	432
CXCL5	282
MIR380	0
KCNH2	171
MIR609	0
ATP5SL	1575
GLI3	25
ARX	0
LIPI	0
TCF24	0
TOE1	1281
PKD1	3972
LGR5	2
HDLBP	12525
COPS7A	1826
SLC27A2	24
ZNF10	238
PRMT10	736
TRAPPC10	10688
PAK3	6
FKBP9	102
MPDZ	0
OR5D18	0
ALDH3A2	2390
RPL13AP3	218
CNTNAP1	273
TAF1A	279
LOC100505738	45
LOC339874	9
ECHS1	2607
MUS81	1802
GUSBP5	86
TH1L	3806
PBK	16
PFN1	45198
UBE2Z	6319
PTX4	7
C10orf95	49
LOC400043	5
SARM1	553
KCNK2	0
RPL13AP17	0
LOC100289341	225
RERG	1
CD247	9195
SMPD1	2015
OR6W1P	0
NR4A3	220
MED16	2834
LAMTOR2	1361
HOXB1	0
C12orf26	478
PPCDC	623
NKIRAS2	2735
DPPA3	0
FBXO45	798
PNKP	1697
MTSS1L	231
ASAH2	0
MGA	4326
ANAPC10	300
RRNAD1	1146
ZNF598	2330
C4orf36	2
ZAP70	8274
PPAPDC2	495
C17orf53	50
CRIM1	472
G6PC3	1382
B3GALT6	1272
MIR518A1	0
SNORD16	32
FLJ27352	8
HS6ST2	3
VWC2L	0
HMGB1	4579
SERINC1	17782
NCAPG2	760
CDKN1B	14230
PDLIM4	1
INPP5J	6
C6orf225	46
HMGN1	2442
NOSTRIN	0
SYN3	12
BPIFC	0
LOC348021	0
MYBPH	11
INCA1	113
KCNK3	0
PJA1	1057
SLFN11	2570
BTBD9	2238
ASNA1	2755
ZNF518B	1540
SLITRK2	0
EFHA1	2889
CPT1B	1928
ITPKC	726
PCP4	0
CCDC81	23
HSD17B3	15
SLC25A31	0
RPS5	26928
MCF2L-AS1	68
C2orf15	127
REG1P	0
NIPAL2	495
NCRNA00324	453
SNORD6	3
SLC30A9	3012
RRAD	46
SNORD2	115
CSNK2B	4318
ORAI1	2998
LOC399815	119
CEP55	45
SNORD92	0
DHX33	1247
PRMT5	1595
BMPR2	3693
FAM13C	0
OR4C45	0
HEATR7B2	0
MAN2C1	3609
FAM181B	2
NLRP2	209
ADRB3	0
NARF	2558
ZNF330	1548
DCT	14
PPIEL	28
CCL5	17380
MIR449B	0
FIZ1	519
CHSY3	3
PTGR2	169
CCL1	1
CDH20	7
OR7C2	1
SLC24A3	75
HAUS8	446
GEN1	404
TF	10
DENR	3379
GSTT2B	0
