GENE_SYMBOL	EXPRESSION_VALUE
SLC22A18AS	47
OR10G9	0
LNX2	641
SLC17A6	0
PPIC	3
JOSD2	779
ARHGAP18	1661
GNS	25855
KISS1R	16
FAM163A	1
PARD3	52
KIAA1033	9536
BEAN1	15
DDX11	142
KDM5B	2193
EIF3F	6854
ZNF862	1871
RAPGEF3	69
ZNF22	2111
GALNT13	7
SNX1	8618
NUDT17	177
ENPEP	5
ZNF497	167
NAA11	27
IPW	160
PDRG1	877
MIR557	0
ANKRD13B	53
F2R	2706
MYL12B	12845
KLF10	9862
RSAD1	3127
SNORD32A	58
MYH11	237
SFRP1	0
NES	4
MIR105-2	0
CHADL	19
RASSF1	7551
BTBD1	6776
KLHL9	1873
GBF1	4460
LOC100499194	2
SPANXD	0
DPM2	1185
MBNL3	5548
TMEM111	2619
IFITM2	9390
FAM151A	3
CD79A	4833
NRG4	8
SLC35F3	149
TLX1	0
SNORA76	1
KLHDC4	1661
TSC22D1	2441
USP20	3739
GDF10	14
MIR27A	69
MAPK13	1250
G6PD	6630
FAIM	212
YSK4	4
POU6F1	469
PIGZ	88
VMO1	135
CELA2A	1
SPTLC3	64
JMJD1C	11299
NCRNA00028	0
DIAPH3	44
DPY19L1	1479
FUS	13807
PAM	1955
MBD3	3268
DPYSL3	11
DCAF8L1	66
SLC25A19	584
NOC4L	860
ECD	1404
GADD45GIP1	1083
CSE1L	2870
ENO2	932
RGMA	50
MORF4L1	5649
MIR596	1
CARNS1	329
SHC1	4905
LGR6	640
MIR613	0
ALDH1A1	2469
POTEA	0
HOXA11	1
MMAA	413
MPHOSPH10	2038
STK33	26
NPL	2924
SH2D2A	1964
ASPRV1	105
SERPINC1	8
OR7G2	0
OR10H4	0
LOC285548	0
KIAA1143	1241
EVI5	2145
COMT	5393
STX7	5565
CARS	2815
C5orf55	104
PEBP4	1
CRYGN	0
RIOK3	8802
RALGPS1	295
INPP5E	767
C1orf87	2
MRPS12	1015
SCHIP1	23
KLRC2	86
FLJ26484	7
SELK	2392
NUPL2	1600
KIAA1539	3506
CYP4A22	0
MIR143	0
LOC400752	46
OAS2	7918
SPRY2	153
DEFB119	0
STATH	0
IL37	1
MGAT5	1315
CYP39A1	1
LOC100130954	0
COL22A1	0
GOT2	2231
GIPC3	119
MIR124-1	0
MIR4648	4
TIGIT	2318
SNORD115-34	0
RGS8	0
GDA	0
C1orf122	765
ALPK1	825
PLCB1	1827
MIR4255	0
CD47	10035
PTTG1IP	9670
ZNF131	1802
SALL3	0
LOC100505495	3
KIAA1310	4311
CHRM2	0
C10orf116	13
OR5V1	0
SERF1A	0
FAM69C	0
ARL17A	42
MTX3	1246
CHMP6	1657
MYO1E	1338
OR2AE1	3
PEF1	2535
SYDE1	7
NAIP	1250
OR4F5	0
ABHD14A-ACY1	206
HAL	1192
TRIM34	11
SLC16A9	2
LOC100507589	19
POC5	1116
PDE5A	348
VGF	2
C12orf36	0
ISCA1	1240
MIR4284	0
HCK	27226
GNA12	5409
STAT1	18010
CES1P2	0
SIRPB2	3044
IL28A	0
OR6S1	0
RPSA	6374
LMOD3	14
LOC100134229	333
FBXO48	155
FBXO2	133
N4BP2L2	7493
SPDYE4	0
PAIP2B	356
TBC1D7	628
FKBP9L	2
LOC100506660	12
CDKL3	35
LOC100506779	1714
IRAK1	11291
IWS1	3922
