GENE_SYMBOL	EXPRESSION_VALUE
C15orf33	183
ADAM20	20
DNAJC14	4486
TBP	1430
CNBP	56297
DCAF12L2	2
MAGEA9	0
FGF3	0
LOC388948	1
VTRNA1-3	6
PIM1	21684
DHDDS	2224
FRAS1	9
FMNL1	77598
POLR2K	3294
IZUMO2	0
KIAA1875	125
FAM83H	933
ATP6V0A1	3987
LOC283332	0
TBX22	0
CCNJ	2203
CSK	39401
SNORD57	155
C8G	41
GALM	2055
HSDL1	2752
SEC22C	6778
CXCL16	13946
MIR190B	0
FUBP3	6332
SIRT1	13820
PRR25	4
GK2	0
LOC440518	0
FRG1	2098
WLS	1785
C19orf60	3079
IGSF9	50
CD101	5156
RAE1	3288
GBX1	5
ZNF175	671
MFN1	2577
NCLN	8229
C6orf155	4
TM4SF1	4
SNORA70E	11
HEXIM1	16358
PPAPDC3	160
GTF2H2C	86
PITRM1	5811
B4GALT2	244
APLN	4
ZNF154	470
FREM3	54
ADAM2	0
RLN2	18
CNPPD1	11321
ST3GAL2	7756
MORN5	1
UFD1L	2983
BMP3	140
FAM53B	30648
KCNJ10	12
SSX5	0
GPR108	7783
LRP3	1729
CCRL1	37
YIPF6	2288
MCHR1	49
C8orf40	1811
FGFR2	103
EOMES	1678
DPCR1	3
RUFY4	251
CHST4	1
DENND4B	26012
GNRHR2	121
NUSAP1	744
DACT3	57
NFKBIL1	1282
FAM90A18	0
PPDPF	10985
PPP1R13B	1834
OR6C68	0
B4GALNT4	118
CCL19	5
FLJ14107	181
TACC3	8371
CBLN4	0
SNORD51	35
BTD	1400
SERPINI1	453
ARNT2	1
FADD	1233
CD8A	18314
HHEX	2372
TAS2R39	0
LOC284751	66
BIVM	424
MLF1	994
FAM13B	14179
MIR214	0
MTSS1	18234
LARS	11472
KDM3B	24234
RNF165	910
TUBB	18983
SNORD114-24	0
KARS	16723
ITSN1	1083
SGK223	1628
RASA4P	420
ZNF534	4
C2CD2L	5670
LAMB3	1021
AHDC1	3292
PKP3	17
CCDC88C	41667
ETFDH	1041
MPHOSPH8	8243
GTF2B	10283
CD180	1745
CACNA2D2	2742
CDK11A	987
SCN1A	1
