GENE_SYMBOL	EXPRESSION_VALUE
SCTR	0
EDNRA	0
WASH7P	9
CLUL1	1
PDDC1	2119
SHKBP1	8946
LOC646278	17
OR5I1	0
LOC100129387	409
C11orf36	0
LOC344887	4
HNRNPA2B1	43626
SLC5A8	0
MCHR2	0
OR1D5	0
MIR199A1	2
OR52N5	0
SLC22A18	522
NCAPD3	1711
E2F6	347
SELL	50116
SCARNA13	0
SLC22A20	4
LRRC3B	0
PPIE	1868
FAM65B	41563
PRR23B	0
S100G	0
RAD54L	56
CASP1	5294
CD72	1017
ADAM18	0
OSBPL8	14406
KRTAP4-9	0
OGDH	9006
RAB11FIP2	1923
METTL10	1090
KCTD13	778
PTGER4	25302
NCRNA00301	0
IGLL3P	0
C9orf150	4
C2orf42	556
ELOVL6	186
NDE1	3776
C6orf127	0
C15orf34	51
MLL3	12216
TRAM1L1	82
KRT13	0
C17orf73	0
MIR183	0
LOC283663	1423
MIR30D	0
TEAD3	13
NUP98	8348
OR4E2	0
EIF2S2	1259
KBTBD10	5
KCNS2	0
ALG11	337
DAK	1379
C4BPB	5
DDX28	1050
ZNF454	2
LOC100133545	19
LOC100287482	39
DUSP11	2031
MIR4287	0
ZC3H3	1926
KIAA1826	859
GPRC6A	0
FOSB	297007
SMPD2	607
PHYHD1	33
HTR1F	14
SNORD36C	78
JAKMIP3	95
JAKMIP1	390
MLKL	1730
STAB2	6
MIR548Q	0
KRTAP3-2	0
ZNF157	47
PRMT3	958
ZNF160	2613
ABHD10	1095
TDRD9	296
KRT71	0
SCAMP4	1925
MIR4668	1
TSNAX	1680
PHF6	1288
MIR3977	0
CHCHD10	772
WWOX	401
DUSP19	41
FAM177A1	992
AGPAT9	1320
CRYGC	0
RG9MTD2	231
SERPINB4	0
LOC100129520	0
DUX4L5	0
IL20RA	0
LOC649330	0
CIRH1A	1802
XIRP2	2
NAA50	6886
LOC729444	0
MORC3	6166
GABARAPL1	4899
MIR4636	0
OR6C75	0
ARF3	10623
MYEOV	43
TBC1D13	2400
TRIB2	3810
TMC3	4
COMMD5	1063
MRPL46	390
FRRS1	154
C10orf120	0
KIAA0415	2793
LOC283731	0
SPATA8	0
LYPD1	0
COX11	1729
CT62	0
C5orf34	68
H1F0	2002
CRADD	420
NPEPL1	107
ADIPOQ	0
TSSK6	80
MIR10B	0
PSMB6	2218
TOMM5	1150
CST9L	0
CDON	98
MYPN	0
OCM2	0
HSP90AB4P	15
MIR4657	0
SNORD127	2
SPARCL1	4
BET1	339
ITGAV	890
MIR548Y	0
PI3	0
EMR1	3787
FNIP1	5466
LIG3	1091
TOMM20	9140
VWA3A	7
DSC3	0
C19orf28	2560
GLIS2	40
ST7-AS1	25
FREM2	0
ZIC1	0
CTSK	435
CD82	3427
TTC30A	76
GOSR1	2283
LOC678655	304
MYPOP	364
MIR523	0
GMDS	1055
NCRNA00222	0
CA10	0
LOC644172	5
OR51E1	0
LOC126536	0
COLEC12	198
REG1B	0
SNCAIP	0
LMO2	3237
OR4C12	0
NEFL	965
OVCH2	0
ETV2	19
LPAR5	481
PHLDA3	13
TYRP1	0
TRAF6	2816
FAM20C	1134
BRD4	11586
TRPC1	164
ATP6V1G1	8046
COL3A1	0
LOC100128126	1
KIF15	71
ICK	2148
DCTN2	4567
KCNF1	0
SNORA27	109
SNORD46	46
STARD6	0
NFE2L1	6695
PRG4	68
STT3A	2653
PCDHB15	1
FOXD4L2	0
AMZ2	2634
NSMCE4A	1454
SH2D5	3
IFITM1	8659
RHBDF1	4
SIT1	1063
ATP5H	2687
CEP76	265
ZNF764	546
AGFG2	1383
AXIN1	4376
NLRX1	874
NCALD	565
SLC16A10	291
ENPP5	80
MIR2964A	0
SLC6A15	1
LHFPL5	0
TMED2	9674
OR51B2	0
KLRF2	0
TUSC2	1247
GEMIN8P4	20
DNAJC24	410
OTOGL	0
LOC100507218	101
BCOR	3009
POLD3	1544
HCG22	3
BAALC	46
GPD2	2291
GABRR1	0
WNT8B	8
HTATIP2	1921
IL16	13848
ARSJ	15
BCAS1	26
CLMN	4085
MRPL18	1422
MOAP1	5229
MTHFD1	1375
LEPRE1	1389
TTC3	10836
ACPL2	521
ZNF860	243
ZNF816-ZNF321P	134
DDX53	0
C3orf17	3526
FKTN	803
ACTL7A	2
AMACR	258
C3orf74	1
FCER2	2889
LCE1E	0
SBNO1	6768
SRSF5	27386
MIR1245B	0
CCDC94	2073
IL2RB	9556
SATB1	17784
ZNF696	241
OR1L8	2
RAB3D	4072
OR4D1	2
ADAMTSL5	149
PPP4R2	1645
ANKRD13D	5174
DEPDC1B	32
AKT1S1	1074
ZNF768	691
OSR2	130
GOSR2	2320
TAS2R14	24
GAGE12F	0
RPS19BP1	2143
TPRG1	40
ZNF883	40
LOC643988	313
ZC3H12D	4212
TGDS	444
SIGLEC1	398
DLG4	1731
PLA2G4B	1182
BSX	0
TMEM132A	40
CD163	7259
STRAP	4840
SLC7A10	1
ARG1	24
LOC339298	0
CLEC18B	2
MIR1244-2	0
MIR943	0
GATSL3	291
TAF7	8288
MEF2B	264
MIR4462	4
LYPD6	0
SLC9A6	2482
NCRNA00157	0
TSG101	2270
SNORD47	200
HMGXB3	3557
SLC35G1	51
FGF12	0
SLC1A7	24
S100A10	14555
RHCE	7
SYNE2	14734
INO80	6546
RPUSD3	838
SOSTDC1	1
SMARCAL1	1562
DENND5A	15452
OR5M9	0
SMAD3	6762
FOXE3	1
COL1A2	0
TMEM22	4
TRAPPC6B	906
LOC284648	2
PZP	127
ZNF890P	4
LOC100289673	0
LOC63930	1
HOOK3	6777
PHLDB2	285
SNORD44	98
RSPO4	1
TREML2P1	1
C5orf15	1830
C6orf201	5
DTWD1	405
CCDC115	2592
PALM2-AKAP2	0
EXD1	2
RANBP9	5429
TTYH1	6
LOC440288	199
LOC100131825	0
NEURL4	2054
MIR296	0
MTA3	631
NCF2	26282
TBKBP1	404
MIR1469	0
IDI1	6962
TMEM174	0
RCBTB1	2366
PSMB3	2414
KLHDC7A	0
PIK3CD	23176
HERC2	3983
LOC100128076	1
MYADM	49166
GRPEL2	1095
AAK1	9581
LOC150185	0
VENTX	526
KNDC1	426
XCR1	12
RASL10A	13
LOC283194	39
BTLA	1141
TRPC3	10
ASB6	2041
ZNF775	132
GRWD1	1402
PAICS	1279
TAOK2	2777
CFL2	469
PNMAL2	109
HTRA4	7
SNX33	446
GPR68	262
SNHG3	2419
C4orf21	368
NUFIP1	308
MIR3913-2	0
KCNA3	5165
TMEM132D	11
G3BP1	3929
DUOXA2	1
LOC338862	0
DPP3	1622
TRAT1	5035
SENP5	2076
MIR4659B	0
C5orf63	180
LOC649395	54
FANCA	319
UQCRB	6821
POLR1A	1806
ACOT4	39
CHRNA9	1
BAG3	1863
C1QC	16
C9orf46	819
TTC24	68
ST8SIA1	351
P2RY12	111
C7orf25	218
EIF3K	9906
LRPPRC	8270
MIR3169	0
TNFRSF8	658
RAB11FIP1	12660
C3orf19	2072
AURKA	59
OR2A5	0
LOC286189	0
SNAR-A4	0
MIR495	0
NCRNA00252	1
CADM4	117
SCN5A	13
SST	0
ADAM8	8261
C7orf69	0
ATG13	5863
KIAA0087	3
LOC100505761	506
PRAMEF21	0
FAM76B	2714
LMO3	0
MIR4695	0
C19orf63	5415
RPL36A	226
RARRES3	3543
ACSBG2	3
STIL	146
HCG23	24
OR1N1	1
PODXL	106
MIR377	0
NCRNA00256B	0
KDM4D	19
VTA1	1780
CPSF6	4969
SNORD69	27
OR7C1	0
CAD	2570
HOXC6	0
NAPSA	38
MED15	7677
SORL1	37291
ZNF606	307
ZNF180	975
NCRNA00256A	5
CBWD6	44
FOXQ1	1
INTS9	1467
CLN5	1421
DCAF12	2120
ZFP41	483
B4GALNT1	0
FER1L5	1
C1QTNF2	0
C2orf70	0
HLA-J	188
LOC254559	328
ABCC3	1014
LYL1	1719
RBM33	13497
CDYL2	592
MZT1	1030
NT5C	818
FAM75A4	0
DMBX1	0
OPRD1	0
IL36A	7
STARD9	1094
SEC13	2866
FOXS1	0
ATP5J	1767
TSPAN19	0
SMYD3	505
SNORD107	0
TECTA	57
GFOD1	588
INSL5	0
HOXB7	16
HLA-DRB5	7256
C18orf56	0
LHFP	19
PRRT2	22
NCRNA00240	0
OR2A42	1
PLA2G5	0
CAPG	9215
TUFM	5352
RPAP2	731
HHLA2	5
NUDT3	316
MTMR11	1414
NUDT11	41
MYLK2	2
ZMIZ1	11035
SNRPA	2753
ANKRD36	334
MIR4457	0
ZFX	4629
FAM70A	107
ZNF831	3822
AFAP1L2	79
LOC347376	2
DBIL5P	19
FIP1L1	3403
CTSE	0
SLC39A10	2173
KRTAP10-6	0
MIRLET7BHG	49
GUSB	3904
MAP3K12	1452
RNF17	20
PIR	0
SMR3A	0
LIMS3-LOC440895	0
MIR4672	0
MIR500A	0
LOC253044	0
TNFSF8	2073
PASK	3292
ASB4	0
TAAR2	0
BCAM	1
FAM81A	82
ACY1	406
SERPINA12	1
CASQ1	19
MIR4269	1
SH3RF3	297
C2orf61	17
HIST1H3H	107
SEMG2	0
PCDHAC1	1
ANXA7	8134
ADPRH	983
GOLGB1	6950
C19orf29	1340
GZF1	3942
C12orf43	645
OR1F2P	7
MIR3689C	0
MIR1468	0
ISPD	47
JAK3	7751
ATIC	2908
METTL3	688
MIR519A1	0
CYP2A7	3
HGSNAT	3844
ZFYVE20	4202
ZNF90	94
PMS2P1	406
SRSF8	4448
GCHFR	416
OR10A3	0
PSKH1	1847
ZNF324	897
SCN3A	516
BPIFB2	0
LSM6	1130
TMEM130	2
MAP3K15	5
USP1	4634
WRN	916
MIR199B	0
TFCP2	4032
MRGPRX4	0
NCRNA00152	244
PPP1R3G	21
SIPA1	11891
GJA10	0
SMARCE1	4886
SHMT1	409
SNCG	4
SCAI	1457
MICAL1	6449
FBXO39	4
DKFZP434H168	0
HEYL	23
ARHGAP19	2437
CD86	5287
RNF115	1353
LRRC30	0
TMEM147	1511
DNM1P41	2
BEX1	57
TFR2	141
SLC4A2	3844
CHUK	1997
TAS1R2	0
SEC14L1	6999
C15orf41	219
OAF	1397
SNORD49A	21
KLHL33	9
GABRB1	0
MAGEA2	0
TIPARP	10561
CGREF1	8
LOC100169752	0
MRPS34	1467
RP9P	85
DYNC2H1	363
VPS13C	14417
CLC	32
TNPO3	5574
HNF1B	2
SLC25A3	17534
OR56A3	0
PROC	24
IL11RA	940
IL36B	0
MCCC1	1204
GNB3	18
SENP3-EIF4A1	14
KIF2C	66
ZFY	2063
CD59	2162
LOC732275	0
SPRR4	0
PLXNB3	34
KRTAP5-11	0
B3GALT2	30
UCP2	22898
SUV39H1	679
PARP14	10208
COL6A6	4
UPK1A	3
NUP93	2909
NCRNA00304	17
FAM129A	6284
OXGR1	2
PRR18	0
LOC554223	0
MUC4	8
EPC1	7217
PYGB	4588
KCNH7	16
FBXW11	3698
LOC100506810	24
C18orf25	4956
LOC100271722	59
LOC642345	0
BDH1	637
C5orf42	910
ZNF311	25
TAF15	9538
DDX27	3678
STAT6	23229
TANC2	2179
TCEAL7	2
DDX12	48
WDR34	297
TAOK3	7300
MON1B	3030
LOC100499177	3547
HNRNPA3	7612
KCNC4	174
PRIMA1	0
ASXL3	5
MIR4518	0
IFT122	591
MTA2	7422
OR2W1	0
CALHM1	3
MMP20	0
CGNL1	2
PRSS12	42
SPINK8	1
BPY2C	0
CDK3	165
CDC6	74
TSPAN3	3159
S1PR4	3413
SPON1	386
ACSM2A	0
TSPY2	0
BIN3	1332
C14orf167	719
RTN2	135
SNORA6	92
SNORA80	1
SNORA63	402
FAM172BP	164
ABHD5	1947
KMO	725
PHB	1857
KDR	1
FAM9C	0
DNAH1	3655
F2RL3	18
KCNH1	11
RCAN1	1104
C17orf74	0
VPS26B	4472
GADD45G	344
SERINC5	10654
MAPK10	3
WDR25	571
TMPRSS11D	5
BCL9	1273
LDB3	9
ADAMTS2	0
HERC5	997
LAMP1	14068
RAP1GAP	8
CMAHP	886
ELOVL7	200
CDH5	11
CCNB3	20
C1orf187	16
GAS2L3	74
TCP1	6444
GPR22	16
TMEM190	2
STH	0
NBR1	9093
PPP1CB	19511
MIR1205	4
ZNF585B	571
SOHLH2	0
FHOD1	2409
ADCY10	15
MORC2	2954
SPRR2B	0
ASAP1-IT1	8
SOX4	1449
MYCNOS	0
CD7	4846
GIT1	4147
GIMAP6	5923
CLCN6	2016
ZNF643	109
SNX2	12761
HNRNPUL2	13428
TNFSF13	1192
GIMAP1-GIMAP5	5206
NCRNA00052	0
BACH2	7835
ZNF419	206
DGKZ	3168
HYDIN	1
SLC7A3	1
TEP1	5482
RECQL5	1115
CES2	2296
RASGEF1A	218
TEX28	0
C15orf2	0
KLF13	22968
VDAC1	2523
C6orf47	1150
ACCN3	66
DNAJB5	217
NCRNA00184	2
C7orf13	68
SNORA26	20
UBE2L6	5548
STAT5B	13747
TMED9	5067
MESP1	8
MRFAP1L1	2236
OR8A1	0
SDCBP	20280
ANKRD20A1	0
NFKB1	10396
B3GALT4	492
LOC400891	0
FAM83D	182
TPPP2	0
SRL	0
CNGA1	3
ATP8A1	5645
TMEM200C	0
SLC1A4	907
OR2T33	0
NDST2	3496
MIR4699	0
CDH13	25
AMPD3	3085
STAC3	994
DSCAM-AS1	0
SCARNA21	21
C1orf100	6
TBC1D10B	3633
MIR4449	1
GPR83	6
WBP2NL	27
ATOX1	631
CLSTN1	8804
AMBN	1
MED20	468
HIGD1A	1084
PRR19	10
KRTAP10-8	0
USMG5	995
RARRES1	10
STT3B	10119
KLK13	0
PPP1R12C	4153
HSPB9	4
PANK1	126
TGFBR3	3751
SMAD5-AS1	5
CCNL1	23941
TMEM63C	506
ST8SIA5	3
TAPBPL	2446
HSF4	53
SGSM3	3006
ERVFRD-1	25
KRTAP13-3	0
OR11H6	0
P2RY6	43
LOC100506033	549
WDR35	547
IAPP	0
INSL6	3
ATF7	4113
PLIN4	97
ZNF266	4649
MLH3	1277
HSFX1	0
DNAJC27	1077
DUSP13	0
TFDP1	2420
SOHLH1	0
C20orf20	930
FAM9A	0
MIR323B	0
HDAC8	571
CP	8
GPR88	22
ADAMTSL2	58
HSP90AB1	43213
C9orf7	500
SERPINE1	82
LOC643387	89
LOC285972	54
SYNGR3	49
CECR5	1978
AK7	4
RNF183	1
MYCBP	18
SETD2	14924
ME2	4116
KLHL6	4303
FSIP1	40
MKRN7P	0
AIRE	22
ADCY1	6
ZNF483	151
NSUN5P1	155
MPST	702
DSCR10	0
DDI1	0
B4GALT7	838
SNORA54	6
TMEM167A	5300
SFTA3	0
MSMB	0
LOC154761	96
C2orf16	26
TECPR2	1693
SPATA24	75
SLC30A7	2259
TRIM54	2
NUDCD3	4537
KLF6	116518
GJB3	1
FLJ35024	0
ZFYVE26	3246
TMEM40	137
SERTAD4	0
SLC47A2	5
