GENE_SYMBOL	EXPRESSION_VALUE
BCKDHB	1524
BATF2	387
LOC728392	2634
CYP27B1	35
KCNG4	0
DNAJB7	6
UBB	55500
ZNF540	154
B3GALNT1	81
CCDC64B	0
DAZ1	0
LOC100286938	0
PWWP2A	3188
FTLP10	0
PPP3CB	8991
SERPINE2	345
LOC100506123	47
IRS1	726
SP2	5701
ABHD11	1045
MIR4500	0
USO1	5795
PANK3	1656
SGK494	320
FGG	0
CPSF4	3451
PHOSPHO1	360
MIR4437	0
PABPC3	31891
DPCD	416
HELB	1794
SPDYE8P	0
MIR302C	0
LOC100422737	1
FSD1L	284
NDST1	7374
DDX11L2	18
DNAJB1	41388
C9orf21	1221
HCN3	189
SERPINA7	0
LOC729723	62
PPEF2	16
LOC399708	0
NPHS2	0
SLC5A7	0
DNAJC12	7
RPA4	17
OR7A5	0
LOC286370	0
MRPS24	5656
GJD4	9
AP2A1	17061
PCMTD2	10021
CEP68	4385
LTBP4	5084
XPNPEP2	260
TRIM4	6297
TNNT1	1544
GPBAR1	6079
LOX	29
NCRNA00175	0
FAM199X	5768
CABP5	554
ZNF235	429
OIP5	88
C9orf156	1822
SCN11A	11
LOC100289495	105
MDFIC	13470
ZNF784	1753
CARD9	4758
POLE4	6863
LOC100129620	0
SLMAP	4862
HIST1H4L	3
ADCK5	1348
SIRPA	23582
ZNF397	763
FAM124A	9
ERAL1	3637
FAM102A	31813
ZNF618	521
BACH1	11786
CHP	13712
SYNRG	16283
PRRC2C	14057
METTL7B	19
C4orf49	18
GFRA4	0
KRT1	65
ARL13A	17
C10orf81	2
SNX25	1314
DDIT3	1610
DCUN1D4	1150
SYT4	0
D2HGDH	1615
OR10A7	0
AGPHD1	105
CDK14	798
MIR323	0
ACOT12	2
FAM161A	133
OR14A16	0
FAM115A	313
TXLNB	189
ASF1B	1224
SPATS2L	1138
MIR98	1
CGB2	0
NXNL2	0
C11orf94	15
NUFIP2	10512
KIAA1147	7932
C17orf85	4222
OR52I2	0
ZNF829	567
LOC646576	14
RPS15A	70309
OR4F15	0
TFEB	11278
WFDC1	2
EIF2B1	7784
BMF	6675
PTPN11	7765
LCMT2	588
TTTY7	0
SELRC1	621
CKAP2	2311
MIR326	2
NEK10	8
CHRM5	10
NTPCR	1841
EPS8L3	1
RASGRP4	11692
C6orf57	622
NPHP1	40
MIR4768	0
UBE2C	100
TNFSF13B	9813
MIR3182	0
MIR597	0
LOC100132774	56
ELTD1	0
APBB1	9941
HDGFRP2	6358
SGCZ	0
TMEM176A	766
OPA3	3143
STK39	3537
TMEM50A	18007
CHURC1-FNTB	2453
CYLC2	0
CRELD2	4040
KCTD18	3532
IL32	22425
