GENE_SYMBOL	EXPRESSION_VALUE
ZNF335	7240
THNSL1	437
LAMA5	681
DMRTC1B	0
FAM19A1	202
DGKG	1147
LOC100286844	26
MUC17	0
TSPAN4	2183
RTP1	3
HIST1H2BB	13
LOC645355	0
OR5AK2	0
C3orf32	0
CACNA2D3	941
GAN	543
TTC30B	114
PURA	3193
PGM2L1	1859
CNOT2	7779
GPR172B	22
RPRML	3
MEP1A	1
LOC100507537	0
SIGLEC7	3100
NCRNA00185	14
DNAH3	19
SNORD35B	122
ADAM32	3
ANKRD30B	0
LOC553103	27
LOC728192	0
SPOPL	9115
SNORD115-12	0
TELO2	4865
SLC25A48	0
OR2B6	5
SCEL	0
C3orf30	0
C9orf47	43
CAPS2	17
ADM	757
AIG1	740
ABI1	14488
FAR1	6520
SNTB2	4263
FABP6	1
MYH13	0
MAT2B	23760
CSAG3	0
FAM201A	179
ETS1	193150
AIPL1	0
CCS	3981
MGC45922	10
SP3	22428
RLTPR	9513
CTTNBP2	14
KIAA0125	2231
KIF18A	332
ZFP30	410
B3GNT6	0
KCNT2	5
EPHA8	0
LNPEP	5307
ARHGAP1	13095
ELMO3	345
TNRC6C	6725
LRRC61	996
EIF2S1	6516
SRSF12	29
PAFAH1B2	7562
LOC100506314	12
GPR98	15
NR2F2	2
OR2G2	0
ZNF275	1812
LOC100131655	332
SMARCA1	30
MAGEB10	0
RAPH1	632
KATNA1	2484
SPTLC2	13699
SIGLECP3	995
AKAP17A	16791
L3MBTL1	241
PSMD7	8335
KRTAP5-2	1
GRB14	94
A2M	238
TMEM204	2257
MRPL19	3846
MIR4749	1
OTUD5	12793
ANK3	1313
ZNF155	467
SEPT7P2	434
LRP1	47972
NGDN	3505
NCRNA00251	0
CCDC51	763
ANKRD20A5P	72
THOC4	8608
WIPF3	7
C11orf80	827
SEPHS2	8151
TOMM7	24142
FYCO1	6452
BRD1	6985
DPEP3	55
KCP	22
ENAM	9
TSPAN16	96
LOC221710	1613
RCAN2	161
MORN1	195
FGF21	0
GAL3ST4	181
ASGR1	2355
C20orf144	5
NISCH	12784
C9orf167	4855
LOC100506083	181
EIF2B4	2751
NDUFB5	7023
LOC100287879	1
HMX2	3
LOC641467	70
LMAN1	9811
TP53INP2	1065
LOC100505659	0
EEF1A1	158544
GIPR	99
