GENE_SYMBOL	EXPRESSION_VALUE
CWC25	2817
XAGE1D	0
TBC1D3	54
PEMT	1262
MIF4GD	4109
GNG8	73
SSX2B	0
C1orf177	156
LOC100286979	8
MAFK	4438
SLC25A34	193
MIR711	0
AOC4	0
RBM26	6240
TTYH3	13218
KLHL21	8672
RPL26L1	424
SNORD60	4
SIDT1	6856
ABCA5	1670
P2RY11	159
EIF1AY	0
MIR3653	17
POP5	2755
GTF2A2	3876
C11orf96	19
LOC100302401	2
NXPH2	0
PPPDE1	3856
C5orf28	1413
EEFSEC	3070
LOC572558	1
SPRY4	2
NECAB3	1066
HIP1R	6083
SPRY1	272
STXBP5L	0
LOC220980	2
MYOZ2	1
CTAGE5	3324
UPF1	14810
AOC3	24
TBCB	8594
TMBIM1	23976
LOC100132247	281
SNORD8	0
NCRNA00112	0
EDF1	21127
SPEF1	4
OR6M1	0
LOC642929	0
C21orf90	0
EEF1A2	55
PLEKHO1	23464
RAB41	47
ZBTB7B	17176
ZNF280D	4895
PTK7	275
NLRC4	1209
LOC100132287	0
ZNF193	437
PILRA	6544
GCA	4091
POLDIP3	14451
MCM3AP	13077
WDR90	458
HIST1H4J	1
RNF128	5
ORC6	71
MIR4759	0
C1orf93	2678
AMY2B	245
SPINLW1	0
LOC100506384	0
OR56A1	0
EFHD2	60900
SUCLA2	1136
MIR888	0
ANGEL2	3391
CHL1	38
SNRNP200	32773
APOL5	0
RPL6	30524
JPH1	0
LOC100190938	0
CLDN4	7
ORMDL3	13288
PRSS35	58
LOC100505881	128
KIF5B	20303
SLC35E2	2064
SLC13A5	39
VOPP1	6469
EXOSC10	5479
RTF1	9896
KRTAP19-5	0
CCL7	5
LCE1B	0
FLJ45974	0
MPP3	15
LOC100132146	0
ZNF562	1841
OMA1	2799
LRP2	0
MSH5-C6orf26	170
GK	304
FAF2	4881
SNORA61	78
DHRS11	361
OR52N4	33
SMURF2	5014
FNDC3B	4622
HAAO	394
CSTA	3940
UTP23	3012
FFAR1	10
TSNAXIP1	26
HSPB2	1
CAMTA2	13628
RECQL	6470
ACIN1	20007
IQCD	20
EBLN2	258
GYG2	2
ANTXRL	0
CASP7	3280
CDK8	1266
LOXL2	523
KIAA1543	37
SLC6A17	2
TRUB1	2135
ACTBL2	7
MAS1	0
CECR3	0
FRMD6	146
FAM171A2	60
CLRN3	2
MAP3K5	7247
MIR4799	0
ADSS	7694
TAS2R8	1
ABCF2	4671
NUP88	5674
SNORA70G	28
KDM3A	13639
TIMM23	1043
DEFB109P1B	0
UMODL1	41
MIR4659A	2
AGTR1	0
SP6	13
APPBP2	4778
RNY5	1
HKDC1	1025
OS9	29634
WDR88	123
PRAMEF12	0
WIBG	2485
LOC338758	1889
INTS5	2478
FAM22G	57
DGAT2	708
FOXF1	0
PKNOX2	3
ZNF479	0
TRPV5	0
GLRA3	1
GCLC	4983
KBTBD11	2888
ACMSD	11
ITGA9	75
HCG9	7
MIR4687	0
SEPW1	9309
BUB1	245
NRG2	25
ZNF608	141
LHX4	71
GPR65	5905
PAMR1	0
ZFP2	88
LOC100128023	0
KBTBD4	2076
PNRC1	48085
FAM65A	6804
C6orf58	3
CTSS	138619
SNORA38	10
ZP3	299
SORBS1	127
ALKBH3	2102
MIR3605	5
FAM27B	0
LOC283104	234
LRBA	12947
MIR15B	0
STAR	36
GOLGA6D	0
OSBPL1A	585
GUCY2C	61
ARMC10	1740
CLEC2A	0
C3orf25	43
CSN2	0
MIR1539	1
TTTY9B	0
OTUD6A	0
DNM1P35	11
NTRK3	8
LOC400620	1
MIR4637	1
ARSI	0
GDPD2	3
RPH3A	965
SNORD33	75
PTN	0
FZD6	697
STAM2	2600
FLJ13197	343
SGK2	20
DNASE1L3	169
DDX51	4012
LOC253039	1599
PLEKHJ1	8162
STK38	20114
EFR3A	9400
OCM	63
SFMBT2	7160
DR1	16184
ATP10B	2
TMCO4	3946
ADAMTS3	1
RPS9	102965
SIGLEC8	2
ZNF385D	27
TBCD	12413
MIRLET7A1	7
ORC2	2279
KLRC1	587
SLC39A1	5967
UBL4B	1
SMPDL3B	44
CTSL2	13
LOC100129827	26
BAZ2B	2886
GSTTP1	0
C21orf59	3844
GAA	7870
LOC149134	2
BLNK	850
MIR4678	0
HIPK3	15549
PPFIA2	0
MIR1283-2	0
TMEM229B	4911
FEV	1
OR6F1	0
CD302	112
LSM7	5419
ZNF34	763
NCRNA00229	0
AES	142199
PCGEM1	0
C9orf152	6
ZNF33B	3107
CDC37L1	1747
GNRH2	6
MIR2467	2
RNF185	2250
SNORD115-44	0
ZBTB39	2300
POC1A	214
CXorf21	870
KIF1C	6895
SLC7A14	0
DKC1	5049
LOC388906	62
LIG1	4177
KCNQ1OT1	499
SPIRE2	78
SMG1	28528
DDRGK1	5167
HCCS	1442
KLHL23	0
