GENE_SYMBOL	EXPRESSION_VALUE
ZNF423	2
NXT2	2575
MRPS14	1411
SDHAF2	4618
SNORD116-28	0
ASCC1	1852
TGIF1	11499
SNORA38B	5
UBXN10	364
ACRC	351
MIR936	0
MIR548I2	0
TMEM121	185
CCDC72	1205
PSMB10	13824
LOC728558	105
SMCR7	619
TRIM21	1963
ACBD7	53
CADM2	24
MIR610	0
FAM83C	2
C19orf22	19397
PAX4	0
CLEC4M	0
PMP2	0
PDIA5	1136
TPD52L2	15688
MRTO4	1356
TMEM105	7
FAM155A	0
TEX261	11284
FAM154B	14
SPDYE2	6
ARHGEF7	10508
RGS7	82
MIR3615	7
ZNF692	1378
LOC646813	0
LRRC28	1282
PCDHGC4	4
LOC202781	884
TMEM88B	0
AGAP1	1096
ANXA8L1	0
LOC100287792	0
FAM65C	264
C10orf125	995
LMO7	2128
ARPM1	21
ARRDC1	6467
PRKCB	54059
MAGI3	704
SIPA1L2	2359
VPS33B	2177
BOD1	1618
MIR328	1
DTX4	1617
SNORD35A	250
HUNK	32
SNORA7A	0
CDK16	6846
SUPT6H	19218
PRPS1	8034
LOC100506274	0
EVPL	14
LOC100507632	226
ERN1	10489
MIR5095	2
ZMPSTE24	4829
C3orf71	401
C1orf21	2914
ZNF512	2701
OXNAD1	8339
APOB	1
ENHO	1669
NDUFB7	2800
GRXCR2	0
TRIM53P	0
C3orf33	363
PFKL	21575
FAM127A	2404
NAA15	9613
TSR2	5344
OAS3	13095
CEACAM4	1029
ENTPD6	6861
TMEM192	3011
VAMP5	2828
C19orf26	28
RGS9	494
DDX55	2266
SMTNL1	141
NINJ1	15531
OR8H1	0
MIR3689A	0
LOC100130894	79
PDPN	0
SPRYD7	600
C16orf91	769
F12	142
CHEK2	645
ALDOC	2535
WIF1	0
RETNLB	0
PDS5B	11106
MIR199A2	0
GZMA	11642
NDUFAF3	3056
ANKRD20A9P	100
ARFRP1	3353
TMPRSS6	62
VAX1	0
MB21D1	1633
CGB8	0
SASS6	632
KATNAL2	69
ZNF410	7852
MYH10	1124
FLJ43860	9
LOC440896	0
LENG1	1881
SUMO4	30
RNASE2	2059
FAM176A	1
LMCD1	54
TECRL	0
UAP1L1	2302
FUT6	0
ENSA	17027
RBM23	9052
CHD7	10428
CUL3	13695
GPR39	8
B3GALT5	0
ZXDC	15532
SEPN1	10623
PRPF40B	469
EFCAB3	0
CEP95	3425
POR	7912
ACPP	2600
HNF4A	0
LOC147670	15
ZNF641	4685
SPACA5	0
GATAD1	4358
LOC100129858	42
SNORD115-40	0
SNAP47	2073
DUSP10	13006
TSPAN11	3
CCDC144B	350
TTC37	9930
RIPPLY2	0
PHOX2B	0
TTC39C	12037
ZHX3	2781
SRY	0
PTCD2	312
MMACHC	136
BANF2	0
SNIP1	5385
SHROOM3	7
DPM3	1021
FLJ11235	17
OR4K13	0
EGR1	26066
OR1L3	0
MTM1	6194
MTRNR2L5	0
SCMH1	2772
ZBTB10	24252
LAGE3	1304
C9orf44	6
PCSK4	62
FAM81B	47
DLGAP2	0
C11orf82	525
NTF4	0
FLJ10661	143
GPR101	3
ATXN8OS	0
FLOT2	32727
OR2A4	0
DMRTB1	0
SNAPC4	2439
FKBP2	2602
LOC100129027	4
POLR2H	1381
NAT9	2610
KIAA0930	26325
C1orf86	3154
FAM71B	0
WNK2	18
DENND2A	11
MIR553	2
MIR519C	0
UGT2A2	0
ZNF836	869
KCNJ2	180
