GENE_SYMBOL	EXPRESSION_VALUE
SP140	2318
ZNF732	6
WT1	0
SCARNA22	1
OPN3	1207
FAM57A	204
OR6C76	0
TSPAN9	172
ATP6V0B	15877
SLC9A2	4
ZNF570	605
BRE	3597
TDRD12	1
POLA1	1265
ARMCX3	2308
ZFP36	242504
SPR	228
IRX1	0
MOBP	1
ZNF799	220
CDC42EP4	3635
CACNG4	3
CRYBB2	0
APH1B	2222
LOC100506050	0
MTMR3	25903
BCL2L11	14134
ECT2	594
COPE	13950
MIR1257	0
PDGFA	47
SELPLG	46553
CDKAL1	1499
ATP6V1G3	0
LRIG3	5
HLA-DRB6	17855
AK5	1052
KIAA0284	179
PVRIG	780
C8B	0
SEMA6A	167
EMB	19677
ELMO1	12693
AFG3L2	5904
XCL1	123
HMGCR	8020
LRRC70	384
OR10A2	0
PRKAB2	1674
LOC440297	0
LOC100130849	0
CD207	57
PIH1D1	3813
CSNK2A2	3130
TTLL4	3477
CMPK2	3620
ZNF260	493
TAB2	26196
RIT1	13870
KCNK4	3
CTSH	23855
EIF2C2	5437
DPRX	2
LOC646762	462
WRAP73	1610
ALDH3B1	12323
MIR504	0
RAB9A	2162
ELF3	159
M6PR	12560
NPPB	3
SPANXN3	0
C2orf56	902
MIR718	0
LOC100506994	1
MIR3156-2	0
LOC100129917	210
GIGYF1	11411
FCAR	18200
AQP10	31
CST9	0
LTBP2	251
SLC3A2	25037
CCNF	263
TTTY17C	0
DNAAF1	216
BARD1	421
CEP170	3658
ACSM2B	0
NHP2L1	8513
TMEM156	472
MFAP3	2983
MS4A15	1
LPP	11170
GKAP1	271
UNC13B	454
APH1A	22401
MIR2052	0
MIR665	0
PPP1R14C	54
PRKAG1	3168
GFRA1	0
MX1	10913
LOC401097	7
CRYAA	4
NPTXR	1016
SNORD93	2
NT5DC1	2115
DPY19L1P1	254
MDN1	9753
NPY1R	2
C4orf46	851
MARVELD2	8
MIR4535	0
RRP36	2995
SLC25A26	2033
AURKC	52
NBPF16	191
TBC1D9B	21388
PANX1	1398
TFPI	37
EPHX3	91
FAM26D	0
CRTC2	13277
MYBPC1	4
C1orf96	4062
