GENE_SYMBOL	EXPRESSION_VALUE
C1orf123	1094
ZNF292	6355
TMTC1	1164
SMOC1	13
MIR526B	0
OR11A1	0
ACBD6	1360
FTX	143
QRFPR	0
MYL5	121
PPP3R2	2
EPG5	4944
ZNF238	4374
NSUN4	1036
IRX2	0
PODN	66
PCDHB16	0
LOC643733	120
MGC57346	370
GRHL2	2
ARAP3	1069
MRPL13	451
SNORD114-9	0
C9orf80	656
C7orf68	39
POLM	992
LOC440905	0
CRAMP1L	3038
AHSG	0
XIAP	3204
NRGN	3335
CSPP1	920
HGD	33
FAM131A	539
MIR4290	0
ESRP2	62
YEATS2	2843
DPF1	2
NCRNA00188	15367
ZNF658	29
TYSND1	960
HAS2-AS1	0
TRIAP1	1043
FGR	33075
HAO1	0
EMR2	8456
TEPP	5
FNBP1	16660
FLJ37505	0
HGF	441
ZNF143	1496
LOC100133308	1
APOBEC4	1
JPX	129
ZNF347	167
ZNF264	1779
MYH1	0
MDM1	835
GUCY2E	0
MPV17	1272
GPR89B	18
C17orf46	26
TRIM65	1169
SLCO1A2	0
LOC285441	0
SLC25A16	688
NMNAT2	20
COX6C	2647
CLDN19	2
ZNF256	351
CYP2C9	0
C18orf10	1524
GABRD	0
PKI55	293
PAGE3	0
PLD5	0
ERCC6L	35
C8orf80	255
MIR3192	2
LAMC1	366
MIR5047	957
PGAM5	1178
MIR106A	0
HSD17B13	47
MIR4658	1
RNU6ATAC	2
FCGR2C	146
WEE2	3
RBP7	1377
PPP1R16A	324
SEPHS1P	8
LUC7L	1314
CLDN18	0
C7orf64	583
SLCO1B1	0
WIZ	1131
PALM2	1
SH3GLB1	9353
ATAD5	416
N4BP3	234
PGLYRP4	0
TOMM20L	13
LOC282997	373
ITIH3	14
FAM90A9	0
TOP2A	677
ULK2	2994
TCF20	7665
MGC15885	0
CCDC135	11
MIR4666	0
FAM195B	1663
ZSWIM6	5087
NCAPG	119
TLCD2	58
LOC100130155	0
VPS52	1437
SEC24C	5246
RTP4	110
KRT17	3
HS3ST6	0
HIGD1C	2
RBM8A	1435
KRTAP19-2	0
CLCN2	143
OR11G2	0
COX7A1	9
GTF2H2D	8
PF4V1	10
MIR18A	0
ZNF804B	0
MRPS36	389
C8orf77	8
TAF10	2718
ANKRD29	12
CYTIP	28356
SLC35B1	1388
GDPD3	139
DDX56	1619
C16orf87	794
C18orf8	2469
RFWD2	3166
UGT2B15	5
SLX1B	0
MIR4330	0
VPS11	3397
BLMH	2210
LCN12	4
NAIF1	622
LOC219347	14
NENF	713
SNORA71A	11
C3orf24	3
BDKRB1	0
LOC644145	0
DPYD	11495
ABCC10	1590
SRR	132
RG9MTD1	956
QRICH1	6143
OR2A20P	2
C16orf57	3241
PCNA	1628
LOC493754	778
EDN3	7
ZFP42	0
SLC38A3	2
CDK10	919
TMEM8B	629
APCDD1L	2
SRSF1	6073
C6orf208	1
LOC728758	144
PRR23A	0
FAM172A	2235
SPAG8	33
TLR8	6556
SNORA31	175
LRRN4CL	0
PLAC9	18
USP7	11209
ANKRD22	137
CEACAM5	0
KRTAP4-5	0
BEST2	0
F3	47
MYO1A	77
TRPS1	4256
HSD3BP4	10
DKFZp451B082	0
DMRTA2	0
BUB1B	59
MIR4294	0
FAM188A	609
HRCT1	0
RARG	644
VASH2	38
LOC253264	2
NAE1	1290
ZFAT-AS1	6
PEX11G	114
KLRC3	121
ZNF271	1261
SIX2	0
UBN2	2611
GTDC1	1020
ZNF615	437
C12orf76	230
COQ3	58
FOLR2	247
ADAMTS10	471
FCGRT	12802
ACOT11	40
RNMTL1	847
PDLIM1	783
HELQ	1338
ZDHHC1	227
KCNE1	210
RPS8	37510
SCARNA7	133
RPL37	15287
BTBD10	972
PLCE1	13
FAM120B	1582
KLRG2	1
MYO10	143
MIR320A	0
DUS1L	2893
MIR4268	0
FAM116A	4528
GNG2	12525
RP11-165H20.1	0
IL9R	37
TMEM102	270
MGAT4A	10846
TTLL10	3
FBXO7	6475
AGPAT6	5642
LRRC23	266
SLC7A6	6050
ZNF184	880
BMX	2
LOC100128071	149
ZSCAN20	100
RAB40A	0
TDRD10	0
KLF2	26626
MIR508	0
DNTTIP1	1384
UBE2H	4106
LOC100506035	106
ECH1	4260
KRBA2	69
OR52K1	0
MIR3141	0
POLL	1245
VPREB3	120
MPG	1496
LOC151534	122
FAM186B	14
PDZD8	4053
G6PC2	0
AKD1	341
PTRH1	107
SNX4	1848
HOXA6	3
RNASE10	0
TMEM117	106
FAM118A	1192
C2orf72	0
PCDHB5	2
LOC729862	1292
RYR3	67
BMS1	2010
TLE4	5234
MTFP1	838
MIR4472-1	0
MIR601	2
ANKFN1	0
LOC100129550	1371
TBC1D5	6684
TRERF1	5688
EBF1	409
INA	1
EDDM3A	0
C16orf55	77
GPT	22
PRIM1	332
ZNF815	439
TBC1D17	1611
PRDM6	0
MIR302D	1
TTTY11	0
LARS2	956
ARHGEF35	5
SLC6A19	0
MIR451B	0
SYT7	3
MRPS6	1390
CENPK	358
ZBTB2	2311
APPL2	1477
MIR524	0
PDCD4	9245
ZNF418	61
TMEM19	1908
BCMO1	0
MOV10	1258
LOC388946	0
OR5K3	0
F11R	4556
HIST2H2AC	45
KCNA7	0
PIPOX	30
SLC22A11	0
MAPK8	964
GLDC	39
UBE2CBP	159
GEMIN2	154
ZCCHC7	1608
CELF5	2
LOC340357	2
C9orf103	194
ARHGAP9	8594
SEMA7A	735
DGKB	0
MIR450B	0
CSF3R	19061
CD5L	1
GPR19	21
PMS2L2	1
RAB6A	5427
ENTHD1	1
IFT57	1138
RBM34	1881
DOK4	96
FLJ27354	66
NCKIPSD	586
PDIA3	8697
AJAP1	28
MEOX2	0
LOC400680	7
MAML3	2311
NARG2	2086
LARGE	216
RNASEL	535
PEX7	185
FAM19A5	1
UTS2R	2
PLXNC1	11388
CCDC109B	4968
JUN	88445
UGT1A8	0
MRPL9	1251
DEFA10P	0
ZBED1	3746
BOP1	183
MRPL16	979
MIR548A3	0
CXorf51	0
SLC9A11	3
PCIF1	3098
KLHDC8A	0
TFIP11	3131
NOS1	2
LOC100506433	0
LDLRAD2	24
LATS1	3237
APOA1	8
SGMS1	2975
TSGA10	153
SLC12A6	8786
MAPK3	2292
DCUN1D2	559
PRDM4	3613
SNORD81	59
MARCH5	1971
ZDHHC22	0
TMEM39A	1397
ANGPTL7	7
ZNF511	860
BCAS2	2992
SARDH	64
MIR4774	1
RIN2	2431
C22orf45	75
PLEKHB1	715
CACNA1I	1380
LOC100289473	13
KCNMB2	0
WWTR1	36
GFER	766
VNN1	1306
GSTM2P1	145
ECEL1	0
NEFH	98
MIR3911	3
CCL22	11
MCTP1	2501
C14orf79	43
PSAPL1	0
RAB19	11
M1	0
ODF2L	916
