GENE_SYMBOL	EXPRESSION_VALUE
ZNF675	795
FGF10	0
OR5R1	0
FAM188B	49
PRSS27	16
OXA1L	8145
NOLC1	5601
MIR4479	1
ZNF654	1814
KRTAP10-2	0
LOC729177	1
TMEM55A	1237
RPE65	0
STK32B	104
C11orf84	497
TREX1	1488
FAM197Y2P	0
NDOR1	2311
ZNF653	284
SYNJ2BP-COX16	997
TP53I11	1632
CLDN1	3
DACT1	456
FGF11	67
PIK3C2B	1818
RAB5A	3096
NHLH1	25
DNMT1	6446
MGAT4B	3381
TCF19	599
LOC149086	2
ZHX2	2908
EMR4P	504
TIMM8B	494
MPPED1	2
FXN	691
PRG2	79
ATF3	35171
LOC100507032	42
PDLIM3	0
SNTA1	283
FAM180A	0
ATP1A1	34039
ZNF559	1432
OR6C65	0
SNORD114-10	0
ADAM6	0
C9orf125	10
MIR33B	0
SLC16A1	801
KRTAP6-2	0
RINT1	1302
SC4MOL	810
POM121L9P	3
NCRNA00341	1825
SIGLEC11	35
COPS4	1895
ZER1	3258
OPTN	5860
SFT2D1	1963
DKK3	63
SPSB4	0
SDR39U1	429
HSPC072	1
SRGAP1	46
METTL9	9891
ANKRD36BP1	1084
SNORD115-6	0
CCDC66	1174
EGFLAM	0
SCUBE1	9
LOC100129845	8
FYB	36137
C10orf47	225
TXNDC6	27
FLJ44511	77
MIR134	0
C14orf166B	7
CCDC160	0
KLF16	3337
ABHD1	36
PRKCE	1387
TUBA4A	6785
IL6R	12810
TM4SF4	0
ZNF141	168
MIR96	0
CTTNBP2NL	179
SMARCA5	8863
ARF6	15511
GTF2IRD1	21
KIAA2022	115
GUCY1B2	9
DPEP1	1
C9orf3	200
CCDC58	124
ZBTB1	11300
ZNF81	563
ZNF649	396
OR5P3	0
EBF4	149
CCDC43	1187
CLCNKA	4
MXD1	9388
RCOR2	4
OR4D10	0
GNB2L1	65094
HIC1	538
PRAC	0
C18orf55	463
RNF20	3291
DLAT	1497
CTSF	754
IL12RB1	2385
ADAM12	54
S100A1	20
LOC100505854	144
SCN8A	23
ZIC3	0
MERTK	905
C20orf134	40
AMFR	6903
ID3	633
USP54	410
PPP2R1A	8281
CNST	4802
SCCPDH	1086
GCNT1	728
SNORD126	0
GTF3C2	3686
ARHGAP8	1
WT1-AS	1
KHSRP	4782
DARC	0
BLOC1S2	3478
CRYGS	82
MARVELD3	5
CHD8	7869
C1orf70	3
LEPREL4	176
PAM16	206
NDUFS2	4126
CPZ	0
ZNF813	442
SMAD1	345
CCDC169	1
TRIM59	683
ESPNP	0
ZFP90	1792
MIR3665	0
FRG2C	0
OLR1	2283
HCRTR2	0
KRTAP5-10	1
PCGF3	3405
TPRG1L	3288
AGT	0
ARHGEF15	0
ENPP1	26
SRP19	2063
MIR1247	0
LOC100129083	10
CYR61	2
EGFL8	130
NSA2	3553
SNORD115-1	0
TPRA1	1604
