GENE_SYMBOL	EXPRESSION_VALUE
POLR2B	4377
CDK4	1530
ANKRD16	303
PRDX5	4072
CSNK1A1P1	228
ZDHHC8P1	1
LOC100505687	147
LNX1	163
NGEF	2
TMEM97	180
CAMK4	2125
GIGYF2	2481
KCNJ16	0
COX6A2	0
ACP2	1221
PLA2G10	20
OTOA	8
KLF15	9
CA5BP1	381
PHF10	813
IYD	0
S100A6	35865
PCDHGB5	42
AR	17
MYCT1	45
SUN2	44239
EPSTI1	2113
CYBASC3	5790
MIR29A	0
SLIRP	587
ZNF321P	2
PTTG1	141
FKBP3	1296
MIR3622B	0
PTMA	13631
SDC1	14
NEU3	356
DDX43	13
PRB2	0
U2AF2	8448
VSTM4	8
LOC283116	0
RRN3P1	94
MIR551A	0
MIR34A	0
PPFIA3	124
LOC100506368	1
CFB	26
SNAR-A5	0
ZNF655	3228
ZNF248	227
PLD3	8350
TMEM25	478
NKD1	206
FAM5B	0
LRRC26	60
INO80E	2141
CLCF1	394
ZNF354B	352
RTEL1	864
H6PD	6352
PROCA1	189
CYS1	1
MIP	1
GPR107	3112
C20orf72	847
SOBP	29
CMTM4	189
NAGS	50
EFNA4	206
MIR1277	0
SLC39A14	391
OR14C36	0
CLIC4	1978
STRADB	346
SGCA	25
FTMT	0
MIR934	0
FAM131B	98
SRPR	7339
EYA3	967
ZNF670-ZNF695	0
CCR7	5660
MRPS17	176
VSNL1	1
C9orf140	301
NEK4	1087
SFTPB	6
FAM129B	3764
LRRN1	36
TAF3	1865
MARCH10	5
LOC653160	179
RPRD1B	952
HNRPLL	2094
NUDT18	728
MIR1284	0
CDC42SE1	21911
E2F8	13
GNAQ	1409
INHA	0
GRIN2C	31
APLF	145
ARHGAP19-SLIT1	11
MIR17	0
AGFG1	3959
ZNF697	198
AIMP2	368
ASB18	0
EPN3	2
FSCN1	380
AP3M1	1963
WDR48	2531
LRRC8D	4490
RPL7L1	259
LOC645781	20
PDZK1	10
RHBDF2	3982
GSDMA	10
LCE3E	0
GJA5	0
LSR	1549
XAB2	2638
FAM126A	1172
LOC338739	4
DARS	3135
C17orf72	453
ENOX2	988
C20orf197	55
CLDND1	1280
CD1E	89
TRPV2	4361
ABI3	4257
PMS2P3	101
HES6	112
RALYL	0
DYM	2212
MTAP	744
SPATA12	2
THOP1	1091
GPCRLTM7	0
C6orf223	2
NIT2	594
PNMA5	25
MARCH2	3057
LOC100129407	0
HSBP1L1	264
SNORD82	0
GUCA1A	1
C12orf37	0
SLC12A3	116
RHOT2	2792
RAD18	766
C1orf229	0
VGLL4	925
NIPSNAP3A	870
DAPK2	143
MAGEA1	0
PDCD7	1298
PKP2	99
LOC442132	0
DNM3	221
TBC1D3B	0
FAM179A	123
UBE2M	1470
RGS6	74
FAM66B	17
HSPA5	18119
ATP11A	4626
HOMEZ	397
FMO4	126
KAT6B	3646
DUS2L	1233
UBA1	11361
MLH1	1690
DENND5B	487
OR11H4	0
TAF9	1794
OR2AT4	0
NMBR	0
CYP4F24P	0
LOC349196	1
MTMR2	795
MPP2	65
C4orf22	3
UPK3B	17
