GENE_SYMBOL	EXPRESSION_VALUE
MIR7-2	0
MBTPS1	19862
GPR37	1
TRAPPC4	3021
PRRG3	0
FAM175A	3467
PTPN3	20
RGS20	10
NSF	4184
FAM55C	18985
TADA2B	14498
ENDOD1	5179
FUNDC2	3829
MIR3668	0
LTC4S	112
SFTA1P	6
MGAT1	52112
TRAPPC2	1954
PNPLA7	671
GMPPB	1729
KLHL1	0
APOL3	13018
KCNRG	29
ZNF367	876
ZNF17	742
FEN1	1695
C9orf70	0
PIP4K2B	14366
TEAD4	1
BBS4	1220
LOC100505841	0
MST1P9	18
ADSSL1	223
HNRNPCL1	0
CDKN2AIP	6457
CABLES1	139
APC	7384
KCMF1	9741
INADL	2911
ZWINT	641
LOC644838	1
MOCOS	35
MED12	7509
NCSTN	17592
THOC3	474
MIR1228	0
MDGA1	83
HULC	1
FAM46D	0
INTS12	2161
FNTB	35
PRAMEF19	0
MIR320C2	0
MIR939	7
MIR556	0
TMEM151B	10
HIST1H4B	10
HEY2	38
SMOX	1562
MARK2P9	4
ALAS1	2841
DERL2	3410
STX16	21169
MIR548H2	0
C1QBP	8236
TRIM73	7
MIR3690	0
EDC3	3930
NAA60	7405
SNCB	9
CEACAM20	0
TFDP3	1
HOMER2	470
THBD	1501
FAM120A	31457
C11orf16	7
PGA4	0
LYRM5	1458
CD79B	14751
SF3B5	8759
ZCCHC6	10015
C3orf45	0
HOXD12	0
PDZK1IP1	897
C14orf183	13
ORC1	275
TDGF1	0
SLC5A1	0
ARL3	1491
KRT72	177
PCYT1A	2520
RASSF5	53846
ASPHD2	1712
CCNE1	203
EPS8L2	816
XYLB	216
SAMD4B	5361
NCOA1	21217
GPM6A	354
HP	731
EDA	468
ZNF326	2036
KIAA1370	6342
DCAKD	2019
E2F4	13779
SREK1	4012
SNPH	3098
ZSCAN2	1263
LOC150776	1544
MFAP1	1192
PBX2	10163
CDRT15L2	1
SLC25A38	3821
MIR4734	0
KCNQ5	700
GPR119	0
EBAG9	2717
L1CAM	247
ZNF285	122
PTPN6	49587
YWHAE	14561
CBX8	354
ETHE1	4379
PAX1	0
TROAP	110
AK4	246
SYPL2	9
SLC6A11	0
ALG14	541
RGAG1	1
ANP32D	263
SPC25	75
LINGO2	200
LOC100132352	239
CDKN2AIPNL	1232
CUL7	2503
DPH5	3781
LOC100507341	4
CRYL1	3783
ZNF350	1831
CYB5D1	1166
NCRNA00303	0
AURKAPS1	72
JARID2	8540
RGS21	0
TBC1D28	0
CAB39	31355
PGRMC1	6137
C6orf174	252
LOC100131096	10026
ABCF1	8199
ABHD12B	65
NFYB	2810
ADNP2	5438
PIGR	94
WSCD1	56
LOC100507062	237
SPATA22	61
CDK20	409
MID1IP1	11979
MIR942	0
ECE2	472
SPATA6	1111
FCHSD1	3524
RPS7	11958
STK40	18154
GBAS	8615
MIR4523	70
ILVBL	3100
RAB34	3991
LOC100130673	1
DCTN4	6350
FAM98A	1372
FANCL	550
TMX4	15612
CCL4L2	0
OPN1MW2	0
BEGAIN	186
BRCA1	651
TCL1A	2614
FAM53C	9145
SRD5A1P1	223
VTRNA1-1	7
SPINLW1-WFDC6	0
RNASE11	0
GNL3	5188
UBASH3A	3899
EIF1B	4867
SULT6B1	0
TTC9C	1326
EEA1	6611
MYL7	0
NOP58	7226
C9	1
MIR3185	0
EDC4	8710
MIR4718	1
FLRT2	0
RTP3	0
PYGL	15677
TMCO6	1324
KIAA1704	1330
KCNK6	3702
CMTM2	182
PLEKHM2	17543
CCDC64	5900
RAG1	149
SPANXN1	0
MIR4485	0
MIR548F2	0
MIR3678	0
ZBTB5	1788
TAL1	1184
DEFB128	0
PSMD4	8613
LOC646471	239
JAM3	1167
MYD88	32209
COL14A1	2
SFRP5	142
RAB6C	3
MRPS18A	1947
LOC100288123	175
PSMD6	8234
VIPR2	141
LRIG1	7118
MGC14436	0
GPER	120
PLXNA4	1563
AKR7L	14
SEZ6L	1366
MIR548J	0
SPATA5	1628
LOC100288778	179
ALS2	1710
MEMO1	1500
RWDD2B	1388
WFDC10A	0
NPR3	266
PARD6G	56
ANKRD46	807
LOC284865	5
GPR63	24
IDO2	12
ABTB1	13169
STARD10	1577
ELF5	3
ZC3H12A	3774
LETM1	5501
FOXF2	0
GSDMD	12834
MRS2	3911
PAQR8	2889
CXCR6	457
C7orf16	202
ZNF526	1445
PDSS2	2252
MIR4440	1
LOC285205	0
STOM	22403
ZIC4	0
KLK1	131
PLS3	72
TSEN2	450
NCAPD2	10606
CCDC42B	25
CRNDE	11
PIWIL1	0
LRRC37B	1624
ALDH1L2	106
LOC440104	859
RD3	0
DYNLRB2	14
C1orf186	172
TBL2	2585
ABCG2	35
LOC100288846	126
OR7E5P	0
ZNF197	2290
LOC400654	0
SRRD	1380
VPS72	3925
PIP4K2C	4453
LOC100130950	1811
CAPNS1	47532
LOC90784	1063
LMAN2	17441
RIIAD1	0
GPR3	64
KCNJ1	35
PCNAP1	9
MOG	0
CASP8AP2	7644
PIGH	843
CDT1	426
TNRC18	22798
OR4F17	0
TTTY20	0
SNORD104	59
KDM1B	10555
FITM1	129
DDX59	2871
SIRT3	1198
MIR4676	0
MIR376A1	0
RND3	1
MYOM1	662
PRDX6	13517
