GENE_SYMBOL	EXPRESSION_VALUE
OVCH1	7
DOCK1	470
GLT1D1	6530
ARPC2	71293
FMR1	7585
NBLA00301	0
PVT1	1198
POTED	0
STYK1	84
RGL3	16
CILP2	18
SARNP	2323
SLC35G5	7
KRTAP19-3	0
NFRKB	6208
CYP3A7	9
BGN	0
FAM150A	0
TM2D1	1700
C9orf57	0
FAM175B	3108
HIST1H4G	0
CAPRIN2	1695
HIST1H2AD	10
G2E3	2110
PSD	651
RANBP2	20468
CCNI2	130
BPIFB6	0
LOC339535	0
LOC100505989	0
CREBL2	11740
OR2A12	0
RPS26	226
INSM1	18
FLJ45983	36
BRD2	112977
OR2B3	0
GNG3	48
DPP8	7379
SAP25	713
TM7SF2	459
SLC7A2	0
VAV2	7727
CCL3	11351
MTX2	1013
RAB2B	2237
MARCH8	5660
FIGF	0
BPTF	23298
PRPF31	6096
C6orf221	0
DVL2	4032
MAS1L	0
HEXDC	2557
STAG3L4	830
CSNK1G1	8378
DHX29	4724
IGFBP4	423
BRIP1	239
TPSD1	0
RASSF6	187
MBOAT4	219
CYSLTR2	2468
SPEN	45607
SLC12A9	12215
C10orf26	14442
OR12D2	0
KIAA0586	3505
LOC100128191	363
NEU1	13406
UBE2Q2P3	1
ZNF821	663
KAT6A	39932
PIGP	667
C2orf49	1053
CDCA3	28
REXO1L2P	0
UCMA	0
HMHA1	88641
NLGN3	272
OR7E24	0
LCN1	0
MAB21L2	18
LOC642361	233
VARS2	3697
NIP7	2959
TSC2	10494
RIBC2	30
LOC144742	0
STARD4	2951
SLC46A3	2994
SLC9A10	3
MIR4720	12
ZSWIM4	1217
OR4N3P	0
LOC100133286	20
TFRC	21895
BCL2L10	4
TMEM8C	0
P4HB	53227
LYSMD2	3425
ZNF474	12
C2orf3	2194
C20orf54	7
FUCA2	6387
GABRA4	3
CISD2	1683
ANKS1A	5925
ZNF181	323
SLC31A1	7451
CCDC129	0
DUX4L3	0
ITFG2	3569
HABP4	2138
GPHN	1240
MGC21881	36
RAB4B	5255
VPS37C	4609
MIR452	0
OR4F29	0
TLR1	6403
OR4C46	0
KIAA0020	2484
LDHB	32425
GJA9	0
LIMD2	35741
CBX7	8854
