GENE_SYMBOL	EXPRESSION_VALUE
MIR4798	0
P2RX5	2214
ID2B	760
UVRAG	9181
FPGT	1376
LIMS2	263
ROS1	0
MIR363	0
LOC100288413	0
TLR8-AS1	6
ESYT2	29717
MFSD4	75
MIRLET7G	1
VCY	0
C1orf112	515
OR5D14	0
KIAA0564	3893
KCTD10	6192
PMCHL2	0
LOC100129636	1
PPIL3	1345
TMEM234	566
DNAH5	0
PRAMEF3	0
IL28RA	583
CLEC12B	133
ADCY9	5115
SMCR8	19528
SLIT3	20
DCK	11406
PRPSAP1	4149
RSPO3	0
TPCN2	4545
ATP2C1	7389
MMP14	1124
SPACA1	0
ST8SIA6	152
PABPC1L	291
DEFB127	0
HOXD1	0
ZNF142	4892
PPAN-P2RY11	942
FSTL5	0
ARHGEF40	11900
CISD1	650
TACO1	1386
UBR3	7244
PSMC6	1642
ARL2BP	9680
CEP85	3821
CTSA	30741
OR2M2	0
MIR133A1	1
TTC14	2274
LOC285326	0
C7orf34	4
LOC100131208	1
ZNF434	1697
EPHA6	0
ZRANB3	278
HOXC5	2
TP53AIP1	1
IRF2BP2	37437
BSDC1	7273
FAM124B	186
ITPR3	7372
KIAA0355	6069
KNTC1	931
PCDHB19P	1
CCT5	14269
SP5	0
SLC25A13	1880
ICAM4	692
AKR7A2	3208
DFFB	1167
TRAM2	5378
UCHL3	1871
TRIM77P	0
LOC100287042	274
USP2	15
MIR506	0
CDK19	6349
LRRIQ4	1
FHOD3	89
SNORA58	0
NPTX2	13
APLP2	160083
LOC285103	0
MIR519E	0
AHCY	8335
RABL5	205
CST6	6
MIR4299	0
RWDD3	1376
LOC100216546	240
ALDH3A1	2
MIAT	1208
FKBP5	24591
ZNF708	1301
GPNMB	118
PIK3CA	4851
CAMKMT	409
SNORD111B	0
ATM	37878
BK250D10.8	0
SCUBE3	37
TULP4	5145
LOC100507156	9
KCNS1	9
NPVF	0
CAMKK1	2203
PRSS1	11
GALNT7	5079
RNASE12	0
SPATA4	0
GRN	138864
ST20	91
AURKB	110
MAP7D2	35
HLA-B	555645
VPS24	13575
ASCL1	0
CST3	94566
PLA2G6	1144
GPR44	1449
LCP2	33034
CASZ1	1188
ZSCAN23	18
TRAK2	12240
TAAR5	0
REEP2	20
AP1B1P1	0
POU4F1	37
SNORD116-29	2
SMAP2	57026
STRA6	1
WTAP	9790
FANCD2	852
ADPRHL2	3532
SLC20A1	6995
LOC100505622	568
IFT27	991
PPM1N	346
MASP1	3
DUX4	0
ERV3-1	1246
TAS1R3	169
GNB4	16008
SYCN	0
MAU2	12141
TET3	24566
MIR3618	0
GAL3ST3	0
FAM117B	8126
C3orf63	22745
ZNF484	829
TPTE2P3	0
SH3KBP1	31452
MIR2909	1
FABP2	0
TLL2	8
APOL6	17638
TRIM44	16022
ZNF384	9243
GUCA2B	0
GAGE5	0
C4orf47	1
LOC728228	4
C1orf158	0
CALCB	0
HNRNPA0	29216
MT1E	109
VAV1	22644
DENND2C	89
SNORD113-9	0
LOC100329109	314
GGN	41
MLL	24271
MED28	3573
EXOC3	7624
SLC30A6	3384
VPS33A	4194
C1orf204	10
SLC36A2	0
AIM1	13844
AHRR	35
KRTAP2-4	0
FAM153A	8
ZDHHC3	10287
ZNF488	2
ICAM1	11540
SLC25A45	2083
CAPN7	5691
N6AMT1	250
SPOCK2	50654
SAC3D1	912
TMEM161A	1753
CFD	26984
CCDC152	213
ABT1	4658
GEMIN5	2473
MIR3178	1
ATP1A3	766
SF1	42847
SLC32A1	2
ATCAY	0
PRRC2B	28295
MIR24-2	128
MOGS	7883
T	8
LOC285768	0
AIM1L	92
CUEDC1	2161
PLSCR3	11020
POLR2E	15210
PTCHD3	0
MAGED1	2714
TGM6	0
TRIP13	96
POLG2	562
SH3PXD2A	3327
OR2S2	0
LOC100506436	191
CD93	62352
SKIL	3219
RIMS4	0
MAGOH	3079
CABP4	236
AQP7	6
SRI	5529
BAGE5	0
CHAC2	104
TSN	9466
APOA1BP	3622
TAGAP	34672
TERF1	1315
RAN	7544
ANKRD30BL	183
COL28A1	1
MIR4760	0
MRPL14	2182
GSTM4	1573
LRP12	675
GALNS	4391
TMEM129	5719
MIR4653	0
ZNF202	1354
MIR490	0
NCRNA00266-1	4
MAP4K2	8660
C17orf96	105
TIMELESS	1896
TTC21A	493
NT5C1B	31
ICA1L	746
LOC100128420	295
GRM8	0
IL5RA	54
ENTPD3-AS1	92
FMR1NB	2
SLAMF1	1718
C10orf12	2005
ATAD2	1683
KCTD9	1184
IL22	2
RPS19	65059
FABP4	0
ASPH	3827
NR3C1	23814
AGTR2	0
LOC648809	0
CYP2R1	877
MIR376C	0
TTLL6	1
SLC17A5	1465
PSENEN	3807
NLRP4	3
CXorf68	0
SEC63	8962
C9orf142	3608
COL8A1	0
EME2	318
HCG4B	30
MAPK1	34898
LOC100507299	8
NCRNA00339	1448
TRIM43	0
OR2D2	1
CTXN3	0
RAB26	11
CAT	31779
CDHR5	51
C11orf91	1
C9orf66	269
DKFZP564C196	53
STX10	9049
PTPN12	27550
PPP1R1C	0
POLI	1043
AURKAIP1	5681
PPIAL4G	0
LRRC59	11249
GTF2IRD2P1	1
FRMD5	0
UBL7	5855
PELI1	13197
TRIOBP	13856
RAC1	15003
HIST1H2AJ	3
CHRDL2	1
FNDC1	0
MOV10L1	10
CFH	468
CDC42EP2	1530
FREM1	21
VTRNA1-2	0
STX3	4239
LY9	5327
SUCLG2	6228
RBM24	21
MLLT3	3557
ACER1	25
MIR2114	0
KLHL22	2504
LOC401233	2906
HECA	38406
MGC16075	0
TMEM17	20
PCP2	111
ALDH6A1	972
WFDC11	0
ANXA8L2	2
MED19	668
C22orf24	15
SNORD59A	19
ZNF496	1743
HBII-52-46	0
SYT15	58
OGFOD1	3031
C16orf89	2
MIR3913-1	0
MSX1	0
LRRFIP2	4419
SESN1	2443
S100A2	7
HECTD3	3355
UBE2K	11209
SEC22A	1172
SRP68	9071
ZNF790	361
LOC100507424	107
NCRNA00277	2
THUMPD1	8413
NCRNA00272	1
MIR891A	0
SNX24	417
