GENE_SYMBOL	EXPRESSION_VALUE
VAV1	23269
MT1E	252
DENND2C	67
SNORD113-9	0
C4orf47	2
HNRNPA0	35055
CALCB	3
LOC728228	1
C1orf158	0
ZNF384	9787
GAGE5	0
GUCA2B	0
TRIM44	15035
VPS33A	4517
C1orf204	42
SLC36A2	2
MLL	20552
EXOC3	10615
MED28	4404
SLC30A6	3475
GGN	35
LOC100329109	267
N6AMT1	362
SAC3D1	965
SPOCK2	66803
ZNF488	0
ZDHHC3	12133
CAPN7	6199
SLC25A45	1833
ICAM1	11398
FAM153A	9
KRTAP2-4	0
AIM1	11553
AHRR	79
SLC32A1	12
ATCAY	0
PRRC2B	32073
ABT1	5710
GEMIN5	2148
SF1	46404
ATP1A3	1874
MIR3178	0
CCDC152	204
CFD	24082
TMEM161A	2124
CUEDC1	2111
PLSCR3	11499
AIM1L	110
T	8
LOC285768	0
MOGS	7672
MIR24-2	55
MAGOH	4254
CABP4	218
CD93	50870
LOC100506436	246
OR2S2	0
SKIL	3268
RIMS4	0
TRIP13	157
TGM6	0
SH3PXD2A	1938
POLG2	582
POLR2E	15563
PTCHD3	1
MAGED1	4404
MRPL14	3636
GSTM4	881
COL28A1	5
MIR4760	0
APOA1BP	4784
ANKRD30BL	188
RAN	9154
TAGAP	30472
TERF1	1481
AQP7	5
BAGE5	0
TSN	11268
CHAC2	132
SRI	7558
NT5C1B	31
ICA1L	1086
MIR490	0
ZNF202	1638
NCRNA00266-1	4
C17orf96	304
MAP4K2	8246
TTC21A	445
TIMELESS	2671
TMEM129	5878
MIR4653	0
LRP12	905
GALNS	4942
FABP4	0
IL22	1
RPS19	88601
NR3C1	25446
ASPH	2883
KCTD9	1280
ATAD2	1702
C10orf12	1831
IL5RA	117
GRM8	0
LOC100128420	399
SLAMF1	2115
ENTPD3-AS1	140
FMR1NB	0
NLRP4	4
CXorf68	1
PSENEN	4364
SEC63	10424
SLC17A5	1459
TTLL6	1
MIR376C	0
CYP2R1	990
AGTR2	0
LOC648809	0
NCRNA00339	2057
TRIM43	0
MAPK1	41057
HCG4B	13
LOC100507299	11
EME2	302
COL8A1	0
C9orf142	4522
POLI	928
AURKAIP1	6728
PPIAL4G	2
STX10	8770
PPP1R1C	0
PTPN12	27882
DKFZP564C196	43
CTXN3	0
OR2D2	0
C11orf91	0
C9orf66	240
CDHR5	41
CAT	30010
RAB26	11
HIST1H2AJ	2
CHRDL2	0
TRIOBP	11996
RAC1	15198
