GENE_SYMBOL	EXPRESSION_VALUE
C1orf168	0
OLIG1	837
KIAA0664	4692
GYS1	5039
MIR4466	0
FAM114A1	167
NPR1	3
LOC100133669	8
P2RX6	26
ANUBL1	1611
DNAJC1	4271
RANGRF	1125
SLC1A3	50
PGAM2	937
OR4A16	0
GH1	4
RS1	7
PTRHD1	2790
PRAMEF10	0
SLC34A2	1
CCDC70	0
LOC100130581	379
SNX29	10664
ACTN3	36
C8orf76	378
PRR20D	0
RBM12B	1411
LARP1	26991
GADD45A	1553
ACTA2	788
OR4N5	0
BPIFB4	0
GNG5	3850
METTL11B	0
LILRA5	14456
OR10C1	0
CALB2	0
LY6G6C	3
HBG1	3
HEPACAM2	1
GDI1	8615
ANKRD43	2
PCDH18	8
CBFA2T2	6159
LOC100129515	0
INSL4	5
MIR4679-1	0
EMBP1	1519
COX17	1018
MIR144	1
WDR17	96
KRTAP5-8	4
PYGM	507
MT4	0
MIR517A	0
OR8K3	0
LOC100128252	67
FOXN4	2
C10orf62	0
LOC100130331	1750
POLR3D	1586
KIAA1967	10830
LOC100505876	3331
MAST1	32
C5orf20	168
CTRL	616
ADAMTS7	8
TTC13	4500
C17orf56	3718
EMP1	1326
GTSE1	69
PNP	4449
PLD6	657
RERE	15030
ANGPTL2	5
PHLDA2	261
MIR580	0
RGS1	8533
SNORA35	0
BAIAP2L1	269
ZNF716	2
OR5A1	0
CCDC105	0
KANK4	0
DHRS4L2	781
HIST1H3C	12
MCM4	2181
NSMCE2	1810
CD320	4900
HNRNPKP3	53
ZNF30	370
EPGN	3
MIR4765	0
ZNF530	367
FZD3	517
HOTAIRM1	1778
OR7E91P	3
RBM14	4379
ITFG3	4921
ZNF257	89
HIST2H2BE	2338
LOC100130015	6
MARS2	1223
GPR143	0
TOR1AIP2	4105
OASL	1747
LOC100507055	0
PRODH	20
TUBA3D	32
MAL2	24
PLD2	1817
DUX4L2	0
GJA8	0
LOC153684	397
UBE2Q2P1	57
CALR3	3
MAGI2	51
LOC100505776	0
SLC35E4	256
LPHN1	4339
MIR662	0
DECR1	5412
MIR138-1	1
TIMP2	18059
WDR7	4644
GDPD5	4179
SGPP2	333
THEG	0
ANG	359
ZMYND15	485
TARP	1324
RXFP4	47
HSPA1B	408
C15orf40	977
RBMY1J	0
CS	8871
CCDC157	353
BBS10	399
CPAMD8	1104
DUX4L6	0
CENPI	28
UBQLN2	5361
LOC386758	98
FLJ36000	3
LOC283440	8
NCRNA00308	0
FAS	3848
SC5DL	1345
PGLYRP1	4
USP31	1364
SETDB2	4342
MR1	6755
TTTY4C	0
ZNF843	10
GTF2H4	1379
TXNL4A	5172
TBC1D2B	6191
OPTC	0
CLDN14	1
WDR91	1834
GLI1	104
FSCB	0
LOC728743	3634
MIR4728	2
PPP6R3	13890
RAB23	178
BCAT1	1463
SH3BP1	24736
FARSA	3060
RBM15B	15253
GAS6	2681
PPP1R14B	1407
XAGE1A	0
CSMD1	83
OR1M1	0
C8orf75	1
NCRNA00306	0
BTBD7	5425
GPR34	507
LYPD5	7
NMUR1	1953
BREA2	40
GPR113	108
CLDND2	273
NRARP	252
BOK-AS1	5
IL36RN	0
LPP-AS2	299
LOC644714	24
MIR4707	0
CDK5	1176
TEX101	1
SYCE1L	108
C9orf130	1428
SPCS1	9945
CSF1	505
C12orf71	8
RNLS	269
IMPACT	3525
OR6A2	0
MPZ	305
GSTM3	52
GPR180	868
USP4	11584
WDR61	4032
SNRNP27	2274
MIR409	0
OR7D4	0
PNLIPRP2	0
MIR3975	0
TMEM14E	38
MIR663	313
HSPB1	1372
IFNA1	0
GTF3C3	2690
RAPGEFL1	343
CLEC4G	169
STAP2	87
ARHGEF12	5867
OR2T12	0
RAB38	176
MIR1246	0
PSORS1C1	1
KRT10	3796
SLC9A3R1	23560
HHIP	2
DES	106
C11orf51	1222
PFKFB1	19
TLX1NB	0
OR6N1	0
HIST2H3D	2
NR1H3	829
DSCR9	3
PEG3-AS1	0
ZCCHC12	3
CBX6	5677
C12orf12	0
SEC24B	5976
C2orf52	15
LOC440300	2
ZNF268	1413
SDF4	22594
FCGR2B	650
GPR84	128
PRDM14	0
HMX1	0
ZSCAN21	424
LOC100506451	2
FDXR	756
SBSN	1
MREG	524
CPEB1	10
UCN2	2
TMEM43	12329
PLD1	611
C21orf34	4
ASXL2	6928
MPZL1	3760
POMP	4544
TRIM39-RPP21	1196
LOC100289656	2
TIMM9	2121
CEACAM19	184
ART4	0
CDH10	0
LCE3B	0
QRICH2	288
OLFM3	0
PLAGL1	1626
ZNF322	74
MGAT4C	0
SERPINB6	10662
SYT3	7
ENAH	49
FAM45B	1139
DROSHA	4181
HOXC8	0
IER5L	1504
LOC100506895	0
NAA40	1803
HTATSF1	9136
PNPO	1303
SLC26A5	14
GGT6	2
SMAD6	83
COPS7B	3702
ZNF549	951
MIR598	2
FAM135A	1118
LOC100287722	70
LSM14A	24305
MYBPC2	50
PGK1	46493
TRADD	8620
CHST9-AS1	0
LOC100009676	276
RBMY1A1	0
RASAL2	201
MDH2	15979
DSCR4	0
LOC642587	0
KRT33A	0
GEMIN8	665
RNF214	3665
NBPF24	0
RBPMS2	80
POPDC2	188
THADA	4032
NRF1	3784
PCBP3	80
MIR3180-5	0
CPNE2	3637
SCARF2	520
FLJ33534	2
CHRNA7	11
GPR26	0
ANKUB1	0
EFHC2	298
RNF19B	12224
BMP10	3
CCDC104	2136
FRMPD2P1	0
SPATA9	17
PACSIN2	7482
RPP30	1737
TARBP1	2375
CASP3	1689
TAGLN	1017
CHKA	1061
DCDC2	3
PRO1768	16
CDCA8	213
TTC28	416
TNRC6A	6532
AGBL3	23
NCRNA00239	130
LRRC56	370
HOXA10-HOXA9	50
DAOA	0
MUL1	3759
GAGE7	0
ESPNL	53
ZNF567	731
C8orf44-SGK3	2
LOC100272228	73
LOC100505835	0
CXXC1	6370
MBTD1	4192
MAPRE1	17252
TREM2	20
ADCY5	36
RGAG4	776
ZNF148	8125
HTR1D	0
FONG	208
EEF1E1-MUTED	2289
RRM1	2697
ZNF569	907
REL	4042
CD164L2	21
PTPMT1	3126
SLC13A3	22
MTRNR2L6	37
DAGLA	1075
SLC6A20	8
DSC2	1820
LFNG	8976
DTX1	900
CCDC17	149
DLX5	0
NCRNA00288	0
HAMP	7
CSRNP1	37136
KRT77	2
RAB43	2218
HES5	0
TMED4	4507
PTPN1	14395
