GENE_SYMBOL	EXPRESSION_VALUE
C15orf23	422
LOC100131257	0
GINS1	95
TPTE	0
ACAT2	1449
ORAI3	1936
ARHGAP22	264
LOC338799	1871
RNF219	1585
LOC729506	5
MIR573	14
MIR4291	0
SOS2	11178
LIN7B	185
OSGEP	2164
IGSF5	0
KCNK9	6
PPM1M	9660
KLHDC5	2411
EGFR	0
CCDC111	887
HLA-L	704
OR6C74	0
MMP15	78
CX3CL1	0
APLP1	14
LOC100505746	2492
TMEM144	276
ANXA1	102545
ZBTB44	10815
LOC100288748	0
FOXL2	5
PGK2	197
TUBGCP5	1475
ZNF83	1403
PDE6B	542
PTPDC1	701
FSHR	0
TWIST1	2
PADI6	2
THBS3	1385
WDR83	1036
GPATCH1	1103
LRRC8E	5
ZSWIM7	1346
IL1RN	5107
TSPYL6	11
MRPS11	1389
LOC100131635	5
GSTM2	451
C16orf5	4663
DMXL2	15513
TMC6	27355
ADAMTS5	135
PLCL2	18242
CYP46A1	10
RAB9BP1	0
LOC100505676	21
RPGR	1210
TRIM28	28833
NR2F1	0
C9orf117	99
SMG8	1516
STK32C	1218
MIR186	56
TMEM171	63
C6orf52	13
KIAA0649	661
GLTPD2	332
KLHDC7B	982
GGT1	916
NR2C2AP	768
SNORD62B	5
LRRD1	1
GPRC5C	23
UBE2F-SCLY	0
RPS25	36171
WNT6	16
ZKSCAN2	1416
MIR4422	0
EGF	533
MICB	3295
GBP2	15096
BIN1	11444
AGRP	13
EDN1	53
GPR141	444
FOXC1	32
SND1	18278
SUMO1P1	17
CCDC56	988
STX16-NPEPL1	3891
CT47A10	0
LOC643339	3
NDRG2	1563
GLI4	788
MSTO1	235
CAPN6	1
SNORD63	53
CER1	0
TMEM120B	1343
COL13A1	166
MMP23A	2
TMEM87B	5097
ABP1	8
TUSC3	1
PGAP2	1403
USP45	810
SLC7A1	3951
DYNLT3	2345
DKFZp434J0226	0
TSPYL2	14197
GBP6	36
C1orf114	16
ODZ2	0
LIPG	2
LOC100507053	46
SNORD116-16	1
LRIT2	0
PPIAL4E	0
CXorf61	0
ALDH2	16600
MIR219-2	1
SLC38A1	43906
MIR4754	2
METTL13	1273
EIF2S3	21620
ATP9B	3169
LOC100287559	230
CA8	25
C12orf73	173
DSP	381
C1orf116	96
MIR4721	23
GRIN2B	0
MCART1	955
MYOCD	0
ZNF510	1738
TOPBP1	6668
GSS	2520
GBA	2937
DUSP22	4067
AMELY	0
ATP8B2	25415
FAT2	69
LOC100507567	149
BCL11B	33986
DNMT3B	115
PABPC1L2A	0
AVP	1
NUPL1	3818
FAM45A	290
AP4B1	2716
ZNF146	5345
PPP3CA	9376
SUMF1	3630
NUDC	3431
ALKBH4	490
NLRP13	0
WIPF2	7620
