GENE_SYMBOL	EXPRESSION_VALUE
SNRPF	2935
NUBP1	3385
DEFB124	0
CDK1	321
SMARCD3	7494
PARP3	2149
MIR181A2HG	79
PCNA-AS1	0
MIR889	0
PPM1D	3092
TAC3	1
POTEE	0
VCX3B	0
ESRG	0
LRRK1	5744
LILRA3	5995
LOC100288842	124
RTCD1	4220
PRPF4	5386
KIF5A	35
LGSN	14
ALDH4A1	1260
CD83	7675
MRGPRE	0
PCMTD1	10606
ZDHHC6	4827
LOC646862	0
DUSP14	696
CHST6	9
ABL2	4149
MIR3132	0
RIMBP3B	0
KLHDC1	259
SNORA59B	4
SNHG12	1154
MYL6B	562
EID3	662
LOC550112	1090
SLC38A8	0
SCRN2	2822
LOH12CR2	25
SLC35F5	2070
MAPK11	443
RALGPS2	4482
MYO6	795
RPS3A	6177
RTN1	8386
ZNF440	975
IQCJ	0
LEPREL2	234
RHOU	6241
CCDC140	0
LOC649133	0
CLPS	0
SIX1	1
RTEL1-TNFRSF6B	114
OR6B1	0
MIR4439	0
TERF2IP	17250
WFIKKN1	97
ZNF699	619
MIR4804	0
TMEM155	72
TTTY6	0
PEX6	3884
C14orf176	12
ZNF502	362
LOC150622	0
C20orf141	0
OPRK1	1
ZNF559-ZNF177	15
MEGF9	40920
ZCCHC3	6315
BSN-AS2	5
PCDHGA11	23
RNGTT	4073
TYRO3	21
PLAC8	13890
AKR1C2	2
ZNF200	1203
MIR153-1	0
TOB2P1	35
SLC25A6	130088
TTTY5	0
HARS2	3806
PLA2G2D	58
TMEM219	10914
PROSER1	7880
OAZ2	16902
METTL1	420
LOC440925	0
YDJC	4848
LOC652276	315
SCAMP2	14402
C9orf27	0
PAX8	261
FTH1	134727
CEBPB	40920
ZNF98	1
RAB22A	8211
LOC100128531	4
CCDC8	0
LOC100192204	2
ZPBP2	14
C10orf32	3455
EMILIN1	549
CEP70	478
CCDC120	1114
POFUT2	3392
CIZ1	18690
NFE2L3	2929
SRGAP3	477
VEGFB	4125
EZH2	1863
CCDC28B	979
NIT1	3183
FGFBP3	452
NHEJ1	3440
ANP32B	24019
VN1R5	0
CCRN4L	1346
SDR16C5	12
NCOR2	45297
FXYD6	2876
MIR9-2	0
MIR2392	0
DIRC1	0
ABL1	10044
CEP78	4839
S100A16	0
STRC	2
MIR4540	4
SSRP1	21298
LOC100505549	1365
SNORA78	29
NDUFA5	3780
PGAM1	2406
CALML3	0
C12orf74	42
LOC283177	24
ZNF16	1046
DEFB122	0
FLJ25363	2
CAPZA3	0
ZNF224	271
SH3BP5L	5606
WFDC2	3
SNORD114-22	0
OR5D16	0
MIR4772	5
UQCRH	6557
NRXN2	432
LTF	1
UCN3	1
AGRN	1190
CKMT1A	0
LOC100505768	4
MIR585	0
ATG2A	10036
DYNLL2	13780
FAM19A3	3
C18orf54	264
C20orf201	64
RASD1	453
HNF4G	0
FAM7A3	1
OPN1SW	0
RYBP	13072
BDKRB2	8
ATP6V0E1	21647
LOC728606	1
NDUFB2	7677
SETX	48134
NTN4	252
S100A11	28642
C4orf26	2
ADAM15	12636
HTR3B	10
TAS2R31	16
EVX1	0
MIR3193	0
SNORA23	3
KLK14	13
RC3H2	6320
ARPC4	47966
BPGM	4017
LRRC55	0
SCML2	188
KRTAP5-3	0
ANKRD53	50
DEFB121	0
MIR4665	0
SFXN2	478
TMEM126A	1937
SLC39A11	4689
C19orf40	280
MACF1	61674
MSL2	15424
OR6C2	0
IL17C	25
TSPO2	45
KRT8P41	1
SLC35A3	1988
SCRT2	0
MIR4696	0
GMEB2	5897
C11orf34	6
FMN1	839
TTC9	3955
ZNF121	993
PLXND1	24689
ENTPD2	7
SNORD50B	97
SNORD115-13	0
MAGEH1	1970
MUSTN1	74
LOC100271831	0
WDR33	8898
EIF2B3	2422
RDH10	1170
TBX21	16931
RGS14	18510
LOC728855	46
