GENE_SYMBOL	EXPRESSION_VALUE
LOC100507537	0
SIGLEC7	5107
GPR172B	6
RPRML	3
MEP1A	6
CNOT2	7144
PGM2L1	1076
PURA	3784
TTC30B	188
GAN	566
ANKRD30B	2
ADAM32	3
SNORD35B	69
NCRNA00185	0
DNAH3	11
LOC100286844	18
DMRTC1B	0
DGKG	1523
FAM19A1	194
LAMA5	309
THNSL1	347
ZNF335	4666
CACNA2D3	1291
OR5AK2	0
LOC645355	0
C3orf32	1
HIST1H2BB	9
RTP1	0
TSPAN4	3193
MUC17	0
CSAG3	0
MAT2B	26497
MYH13	0
SP3	21268
MGC45922	2
CCS	3535
AIPL1	1
ETS1	129713
FAM201A	13
SCEL	0
OR2B6	16
SLC25A48	0
TELO2	4921
SPOPL	11789
LOC728192	0
SNORD115-12	0
LOC553103	27
FABP6	0
SNTB2	4463
ABI1	15349
FAR1	11815
AIG1	1144
ADM	1293
CAPS2	13
C9orf47	112
C3orf30	0
LRRC61	1284
TNRC6C	4856
PAFAH1B2	9611
SRSF12	22
EIF2S1	7708
ZFP30	280
B3GNT6	0
KIF18A	108
KIAA0125	1610
CTTNBP2	65
RLTPR	3298
ELMO3	190
LNPEP	6573
ARHGAP1	17386
EPHA8	2
KCNT2	2
MIR4749	3
MRPL19	4200
TMEM204	915
A2M	204
GRB14	99
PSMD7	8803
KRTAP5-2	0
L3MBTL1	103
AKAP17A	10255
SEPT7P2	271
LRP1	82327
ZNF155	442
ANK3	846
OTUD5	10870
MAGEB10	0
SMARCA1	17
RAPH1	723
LOC100131655	438
ZNF275	1846
OR2G2	0
GPR98	18
NR2F2	0
LOC100506314	63
SIGLECP3	1525
SPTLC2	18686
KATNA1	2388
FGF21	0
MORN1	132
RCAN2	867
LOC221710	1817
TSPAN16	94
KCP	14
ENAM	6
C11orf80	530
SEPHS2	8874
TOMM7	19865
WIPF3	1
ANKRD20A5P	44
THOC4	8087
NCRNA00251	0
CCDC51	757
NGDN	2772
DPEP3	34
BRD1	6588
FYCO1	6561
LOC100287314	4
MBD2	24772
AQP8	3
KCNN3	99
CCDC153	90
ALDH1B1	1013
ANKRD1	0
CHSY1	11388
EBF3	0
PRR9	0
TTC28-AS1	880
GIPR	55
EEF1A1	131886
ABHD2	25253
LTB4R	6031
HDHD1	4210
NRBP1	14983
TRPT1	1411
SESTD1	3872
TMCO5A	0
POLR2J4	555
LOC641467	64
HMX2	2
LOC100287879	0
NDUFB5	9136
LOC100506083	155
EIF2B4	2874
C20orf144	3
ASGR1	3530
NISCH	10885
C9orf167	9302
GAL3ST4	102
LOC100505659	1
TP53INP2	2242
LMAN1	8938
ADA	4058
CDAN1	1864
TNFSF12	8459
MYOG	0
ADH1B	0
FANK1	33
SKA1	95
CASP14	0
BMP2	21
CBFB	16298
NFKBIB	4758
GOLPH3L	1246
CACNG2	0
IMPAD1	12285
STEAP2	0
LOC100507362	0
MIR4266	0
GPX7	1159
VILL	2495
CYP2B7P1	109
FAM156B	0
TDRD7	3373
ZNF432	534
BMP4	10
IL6	58
RPTOR	6453
MCM5	9148
LGALS9C	118
CNTNAP3B	0
HPN	11
IFNAR1	13411
RPL23	60140
LYZL4	0
HTR3C	0
TMEM14B	2742
ANKRD56	0
DLL3	12
MIR550A3	0
FERMT3	48827
ZNF805	1758
DIS3L2	2537
ATP6V1C2	444
ZFP37	173
C4orf48	1840
LYG2	1
SNORA72	22
MAGEE1	843
FBXO41	4037
NLRP10	0
TAAR9	0
FAM41C	0
FCRLA	2875
AHSA1	9178
ERP27	488
DEFB107A	0
USF2	28347
PDCL2	0
CNIH	8243
BRWD1	7538
NRXN1	0
RGPD1	12
ZNF546	192
ZNF319	4598
FAM160A2	8680
DKFZP434K028	0
SPDYE1	34
PSMD14	4268
TBC1D26	0
FKBP10	62
ASCL4	6
LRAT	0
FOSL1	408
PKD1L2	0
CARD8	14589
AKR1B1	5491
GPX8	0
CENPV	280
KCNQ1	10601
GRAMD1A	12533
AGPAT1	10641
SOX7	44
EXO1	107
C9orf29	0
ARPC5L	6082
DTX2P1-UPK3BP1-PMS2P11	209
SGIP1	2
PBMUCL1	0
DTNB	992
MUTED-TXNDC5	27961
ZNF500	1373
SHC3	14
MAPKAPK3	35773
KIAA1109	10669
MIR922	0
UROC1	0
TFPI2	5
EIF3C	348
VPS25	4006
SLC23A2	3330
MIR4280	0
HCP5	12286
LBR	20120
C1orf190	5
TSPO	35845
CLDN25	0
LOC158435	0
KHDRBS1	26833
TMEM176B	23203
DPY30	2745
LOC390595	62
TADA1	1258
TCEANC2	2098
APEH	15140
ADARB2	13
TMEM8A	10449
LGI4	2
BTBD18	22
MAP9	356
TYMP	95580
C9orf123	2291
C8orf58	866
CNN2	43978
ZFP28	260
FOXI2	0
BMPER	3
RNASE13	0
SPOCK1	203
COX6B2	4
REPS1	5633
ZFP82	364
SLFN5	10860
PLSCR5	0
TCEANC	486
CT45A6	0
ALDH3B2	294
GSDMC	0
MUC16	80
TPPP3	2565
REEP1	5
IKBKB	9441
C20orf103	475
CD1D	12871
THAP7	1584
LOC728640	11
SHARPIN	6549
MIR4751	0
SEPP1	17
TGM5	0
CPVL	76108
SEC14L2	216
SIGLEC10	9430
ZBTB12	136
HTR1E	0
SNORA15	2
RSBN1	6221
HIC2	1468
PCDHA2	0
FZD8	198
LOC100506804	58
UBL3	20651
GLIPR1	32028
MMP10	0
PHF12	9900
PPBP	12729
RFC2	2752
SDHA	11527
TNFSF14	760
HERC6	2085
KBTBD2	8127
NAB1	3111
LOC388588	62
LOC729059	0
SNORD15B	14
FAM138A	0
CDK11B	2960
SERPINA5	0
WNT5B	270
PPP1R3E	332
PEBP1	10675
EXOSC6	3409
PEX3	860
LPCAT3	5162
TRPC4	0
CCR2	24678
SNORD115-8	0
C1orf51	6
LOC728066	0
TMEM216	1523
SPECC1	4658
MIR4260	0
TMEM146	0
LOC650794	51
CDKL4	1
GABARAPL3	312
NCRNA00320	0
SYS1-DBNDD2	667
LRRC17	16
CNTN1	0
OR51I2	0
RBMX2	2333
NAP1L1	52745
ATG9A	6324
MYCBP2	22463
AMIGO3	651
SEMA6D	4
MANBA	10262
ITPRIPL2	3444
DRD4	75
PRDM16	18
LOC390858	0
VSIG10	121
TTC35	1539
OCRL	1062
CHRNB3	0
NEK2	65
FLJ16779	0
RGL1	943
PCDHGC3	121
C8orf51	17
POP1	688
TMEM26	0
SEC14L6	4
LOC90499	0
ARR3	13
DNA2	194
WAS	36198
RPS11	148633
IL17F	0
HIST1H4F	15
ZFP112	17
TRUB2	1877
LOC388152	5
LOC100286922	0
RAB11FIP4	8286
TNFSF10	32457
INO80B	1780
DUS4L	514
RBM3	53816
CERK	18077
KIAA0101	302
PCDHGB2	31
BHLHB9	100
DACH2	0
GOLGA7B	1174
METTL19	1322
TCTEX1D4	133
MIR3115	0
MED14	5030
STBD1	505
ZNF576	686
COL6A3	222
DEGS1	7867
ME1	527
CRKL	18142
LOC100506229	19
ILF3	27709
MAN1B1	9726
POU3F2	0
R3HDML	0
SLC15A1	0
MIR4703	0
DEDD2	16388
DBN1	1077
PODNL1	112
MAP1LC3B	16550
MIR4456	0
SLC11A2	2439
BCLAF1	19810
ZNF75D	1731
LENG9	547
TBX2	0
CHRNA2	53
CRHBP	49
ANKRD39	999
ANXA6	80786
IZUMO1	0
EDAR	123
JKAMP	5274
FAM75A3	0
C1orf200	137
FUT4	4267
LOC400940	0
UBE2DNL	0
FZD9	9
TRIM45	25
KRT73	20
MIR320B2	0
LCT	7
EIF3B	18925
SLC22A1	23
SAFB2	6637
CENPM	199
LCE1F	0
FLJ45445	46
INSIG2	2218
KRTAP19-4	0
ERAS	5
C2orf82	4
ZNF628	3073
BNIP3	616
ZNF480	1857
BGLAP	141
CCDC11	32
PCDHGA12	14
TMPRSS4	0
SCD	1188
OTUD7A	122
DGKE	1405
EIF4E	1089
FLJ42875	1
SFTPA1	6
WDPCP	595
DOCK10	17141
ARHGEF17	107
LOC729678	10330
ZSWIM3	268
GLCE	2152
TIGD6	253
C15orf38-AP3S2	15
TRAK1	11933
GBP1	17130
RAB33A	423
FAM122B	5857
MRPL47	2677
GPD1	16
PRKCSH	37952
LOC285033	114
IFITM3	17172
CSN1S1	3
MIR3119-2	0
FAM73B	3032
ST14	6442
CLEC4F	58
FAM133A	6
C16orf58	2846
SYNJ2	2268
SAMD10	891
RAD51C	1111
C4orf39	23
C10orf118	3663
SMPDL3A	2013
ACTR3BP5	0
ZNF274	2134
MIR3620	5
HTR7P1	616
LOC440040	0
TOP2B	25644
PDXP	2550
SBF2	4627
KRT19	0
MIR373	8
NEUROD2	0
HMOX1	23136
MIR4791	0
MBOAT1	2448
RBMY2EP	0
MIR521-1	0
PIK3CG	9538
NDUFB6	3054
TEX10	1752
HMP19	0
TRAF3IP2	1154
CDKN2B-AS1	46
MRPS25	2882
CT45A5	0
MPP7	5932
PHACTR1	810
DMP1	1
LOC220594	71
C19orf35	1029
ZDHHC5	15284
TLR6	2296
FAF1	5050
RYK	2702
PPP1CC	28011
PKN2	2787
SNORA29	9
EED	1169
SNORD116-20	0
NQO1	490
LOC100507127	10
ECE1	23648
CHI3L2	3607
CKLF-CMTM1	1937
SUOX	1264
CCDC169-SOHLH2	0
PRSS50	6
B4GALNT3	497
SUMF2	16539
DNAJC9	1881
STON1	140
DEFB4B	0
MAP1A	1481
FBXO33	5520
SLC26A4	32
MIR145	0
LRTM1	0
SNORD91B	1
PCYT2	3313
TMEM100	0
