GENE_SYMBOL	EXPRESSION_VALUE
MIR539	0
OR4M1	0
TMPRSS11A	0
TRIP12	9478
UBE2J1	12003
QSOX2	1920
ARHGAP15	7576
SATL1	0
TMEM179B	2125
MIR1179	0
OSCP1	24
KRTAP4-3	0
CPS1-IT1	0
KLRC4-KLRK1	9
AOX2P	0
LOC648740	40
BNIPL	14
CD97	25642
PNCK	0
MIR921	0
DEFB110	0
MOCS3	172
PIK3C3	2477
MTMR4	3382
PAQR3	574
NSL1	2212
GPSM2	122
USPL1	3083
KIF11	364
C5orf30	287
MAN1A2	2639
NOL6	3113
ZNF704	22
ABRA	6
CEP120	4701
CDC34	1632
PPRC1	2144
EXOSC5	810
SLC34A3	3
SKI	5378
CYP3A5	29
KRTAP16-1	21
MMS19	3167
LOC286002	7
CYP2J2	22
SPATA7	237
ZBTB8A	21
MIR4674	2
NXNL1	0
DNAJC25	397
C1orf220	34
TIGD1	265
LRRC15	1
LOC574538	3
ARHGEF18	13807
PRORSD1P	60
VANGL2	8
RPF2	409
ARHGAP44	36
KRTAP10-12	0
PANK4	1850
WDR6	5410
OR4A15	0
SNORD9	5
CCDC54	2
MIR3655	16
YIF1A	1076
B4GALT5	4218
MIR603	0
OTOR	0
ROCK2	2797
ACCS	368
LOC646096	0
NBPF7	1
TMC1	2
FABP3	25
SLC38A7	604
RNF123	2905
SNORD53	0
MEP1B	2
PKP1	0
CA9	0
SPTBN4	10
SERPINA3	0
PBX4	426
LCLAT1	1168
DDX49	2039
GHR	1
C2orf18	1779
KLHL32	160
MIR4773-2	0
MGEA5	10986
ZDHHC4	1438
FLJ33360	2
MIR626	0
NME1	1207
WDR27	298
OSCAR	2734
LRRC37A4	646
TAF1B	934
C1orf106	8
FAM27L	0
C11orf1	525
IGJ	30163
C1orf65	0
FBXL2	2
PPM1G	6891
MMP8	0
SUGP1	1452
USP47	5906
MAGEB2	0
MIR4328	0
LOC100131733	183
LOC646627	1
CLDN8	0
SNORD74	8
FTHL17	0
FXYD4	0
MIR4761	0
DCTN6	690
GH2	0
TTTY3	0
EHD1	14097
DIP2C	362
C19orf71	165
LOC100506783	0
VDR	1195
YPEL4	53
ABCD2	2167
PAR1	1
LRP6	193
PTPRJ	12079
LOC100130231	2742
TPST1	141
GCN1L1	7392
SH3GL1P2	12
LOC646268	0
ZNF277	3003
KPNA1	3927
C5orf45	193
DGKQ	5181
COL4A5	1
PMEPA1	262
GGT7	1137
YIPF4	1332
HEATR4	51
PDF	82
UBE2W	1784
MIR10A	0
WNT5A	2
TMEM125	4
TMPRSS5	4
LOC285740	7
MTRNR2L1	21
PTGDS	966
FBLN1	7
C1orf201	229
EIF3D	18995
DAB2	1219
HIST2H4B	0
RP1-177G6.2	0
ARFIP1	1832
TAPT1	2525
C16orf7	1114
TMEM225	0
ELOVL2	1
PCDH8	0
TFAP4	906
FAM123C	0
CCDC168	2
CORO2B	75
KREMEN2	15
WDR89	988
GLRA1	0
CDC42EP1	664
RPIA	2640
MIR548F5	0
BEX5	188
SYCP3	41
CD226	2789
CD99	12459
PCDHB18	1
NME6	486
MUC5B	8
CTAGE10P	45
KLRF1	1723
DCAF11	6394
THUMPD3	1504
SLC16A12	1
KRTAP10-10	0
WHSC2	1735
ELOVL4	180
EPCAM	2
FMO5	498
NCRNA00087	1
KAT7	3367
MED8	1160
SVEP1	0
LOC647946	0
