GENE_SYMBOL	EXPRESSION_VALUE
INTS4	2182
BTBD6	3131
PATL1	8091
LOC100499227	2
CD8B	2306
C14orf128	75
EPHA10	12
ACADM	3718
HERC4	3772
AKAP4	0
IL1RL2	3
CTHRC1	6
VENTXP7	31
IL10RA	85232
RNF217	344
DDX25	2
MRPL43	3402
BLK	2093
ARMC6	2990
TMEM206	2155
KRTAP9-1	0
CERS4	2098
LOC389332	0
NR1H4	0
SRCAP	32374
RB1CC1	9337
SLC27A1	3815
KLF4	138648
LAMA4	1
ENTPD8	5
XAGE5	0
OR56B1	1
RAPGEF6	10743
NEURL1B	165
FAM54B	4136
ANGPT4	18
DNAJC28	31
FBXO11	11477
FGF22	4
UBA6	3788
AP1B1	21917
CDV3	39720
DCP2	8700
IL17RA	36041
STXBP3	6818
MIR3684	0
INPP1	901
C10orf28	3772
ACSF2	1793
ETF1	14174
SNORA17	0
BASP1P1	4
CLVS1	5
MIR766	0
B3GALNT2	1973
ULK1	6303
MIR30A	0
SNTN	0
CCDC68	49
SHB	255
MEIS2	6
ABCB1	2160
BBIP1	880
CLRN1-AS1	3
AUTS2	3593
PLXNB2	61488
SLC7A7	45009
NTSR2	0
PGP	2590
LRRC52	0
MIR4701	0
COMMD3	1337
ANXA2	17211
ZFAND2B	3475
MIR892A	0
CYC1	8784
GPR6	0
C20orf195	20
PPP1R16B	13882
FABP9	0
LOC645591	0
ZNF711	203
ESR1	178
MIR1297	0
NCRNA00284	0
C4orf51	0
LOC643486	0
CARD6	1392
GPR124	1576
TNC	8
MIR378F	0
CCDC137	1989
BTBD16	0
XIST	0
NXF4	0
OR9G1	0
NTRK1	19
TAF8	3796
TNFSF11	33
GOLGA6L9	1
ALOX5AP	5884
GINS4	287
VPS29	5039
TEX12	16
CCR9	151
RHOT1	6872
MIR4763	0
TYW1	1571
FBXL19	2861
SLC7A5P1	96
HELLS	213
DNAJB14	2733
MIR3591	0
DIP2B	12043
SSFA2	10022
CYYR1	61
PKDCC	14
SF3B1	39611
NBPF4	0
FBXL21	0
ZNF404	200
KRTAP15-1	0
ADIG	0
ANXA9	334
ZNF747	1072
HEG1	9842
PUS1	2006
IL17RB	243
C6orf176	0
FGL2	109607
GAGE12C	0
RAB3IL1	18
HIST1H2AK	17
KIF25	0
MMP1	46
STK3	1205
TBX4	0
C17orf106-CDK3	877
WWP2	14813
GOLGA8E	0
CDCA2	54
FAM104A	4564
FEZF2	0
LOC100505978	2
ASCC3	7207
CREB3L4	500
BEX2	911
GRM3	5
ARL2	749
C8orf84	24
RFESD	70
LOC100505782	0
LIM2	172
ODC1	20618
DEFB118	0
LOC390705	0
MIR3129	0
MIR3074	0
SNORD114-27	0
IL12B	0
SLC9A3	28
USP18	188
ESRRG	0
LOC100630917	22
CXorf27	0
MTCP1	113
TCOF1	5793
OTUB1	8157
IL4	3
ZNF767	651
TRIM15	2
NFIL3	16448
MYL10	0
ZNF639	4076
TMEM235	0
UBE2V2	3065
PISD	6890
KRT16P2	0
PRSS56	2
SCNN1D	78
AGBL4	11
TIMP4	3
OTOS	0
LRRC69	26
MIR1233-1	0
RASGRP1	11307
DUS3L	2954
REG4	19
DACT3	32
NUSAP1	431
NFKBIL1	1793
FAM90A18	0
PPDPF	13298
PPP1R13B	1326
OR6C68	0
B4GALNT4	103
CCL19	4
FLJ14107	59
TACC3	8819
CBLN4	0
MCHR1	8
C8orf40	1761
FGFR2	0
EOMES	1621
DPCR1	0
RUFY4	141
CHST4	3
DENND4B	23030
GNRHR2	101
MORN5	0
ST3GAL2	8957
UFD1L	2971
BMP3	14
FAM53B	30987
GPR108	7718
SSX5	0
KCNJ10	44
CCRL1	12
LRP3	2989
YIPF6	2002
C6orf155	0
TM4SF1	8
SNORA70E	0
HEXIM1	11492
PPAPDC3	149
GTF2H2C	89
PITRM1	5408
APLN	5
B4GALT2	213
ADAM2	0
ZNF154	181
FREM3	36
RLN2	25
CNPPD1	14137
FRG1	2031
C19orf60	2839
IGSF9	31
WLS	2765
CD101	3536
RAE1	2885
ZNF175	642
GBX1	0
MFN1	1699
NCLN	8933
HSDL1	2233
SEC22C	4084
CXCL16	14017
MIR190B	0
FUBP3	5447
PRR25	6
SIRT1	9288
GK2	0
LOC440518	0
IZUMO2	0
KIAA1875	91
FAM83H	687
ATP6V0A1	3995
LOC283332	0
TBX22	0
CSK	49010
CCNJ	1853
C8G	41
SNORD57	48
GALM	1744
C15orf33	191
ADAM20	8
DNAJC14	4702
TBP	1297
CNBP	51604
DCAF12L2	0
MAGEA9	0
FGF3	0
LOC388948	7
VTRNA1-3	5
PIM1	14402
DHDDS	2026
FRAS1	11
FMNL1	84350
POLR2K	3178
TXNRD3	127
S100Z	1143
SOX2OT	0
WWC2	1514
GLB1L2	92
CD74	559452
TCEA3	788
IK	8106
IFI44L	1525
MLPH	0
MTHFD2L	190
IRF7	7204
C9orf163	25
SKA3	50
DOCK7	1638
AZGP1	0
MAEA	4820
COX7B2	0
PUS7L	1613
EIF5A	15588
OR9K2	0
CNIH3	12
NUDT22	2658
TGM3	1
RPS6KA4	18535
RFNG	2923
TCIRG1	23273
LSG1	3663
C6orf141	0
OR51B5	0
TRIM36	239
CCDC12	4389
MALAT1	73168
DNER	23
SNUPN	1490
CDC42SE2	38735
MIR2277	0
EDDM3B	0
CNKSR2	328
LOC100507392	235
ASAP2	678
REP15	1
CTNNA2	0
SNORA46	0
CD244	11579
OR1D4	0
PRKD3	7828
