GENE_SYMBOL	EXPRESSION_VALUE
SLC15A5	0
KIAA1468	8641
CMTM8	794
PAXIP1	2394
EPX	55
LLPH	1387
C1QTNF6	345
FSIP2	55
TRNAU1AP	1645
PIGN	2094
MUC6	96
SCNM1	3351
IL18BP	2846
NCRNA00346	31
MIR4803	0
MYCL1	1960
C7orf31	1467
ACOX3	1364
NKAIN2	14
EME1	65
ELF1	60410
MFAP2	1
NDUFAF2	411
SNX5	5090
GPR97	134
HIST1H2BC	103
POSTN	0
ZNF195	2324
WFDC9	0
FBXO31	4126
DMAP1	2796
LOC100128361	186
DSCC1	74
ZNF827	2326
SLX1A-SULT1A3	15
C9orf95	3236
RIMKLB	1034
LRRC27	551
ZNF426	1364
RBM6	13363
MIR1207	2
TNFAIP8L3	4
DLEU2	294
DIEXF	3283
LOC100133050	1
GNAT1	9
EIF3G	21717
GAGE12I	0
C14orf178	31
LOC286467	188
OSBP2	385
ZMAT5	935
PRRC1	6876
METTL4	1848
MIR892B	0
AMOTL2	0
KIAA1462	4
PLK1S1	2097
METRNL	17617
LOC145783	269
RUFY3	4445
FAM151B	232
MOBKL2A	25222
DCAF10	5105
TAP2	23994
SLC2A4	1
GRM2	136
HAUS6	2735
HPCA	6
C11orf75	2031
PRSS46	4
PTS	855
C19orf57	61
SNORD103B	0
SCG5	16
MED23	7204
GABRQ	0
SNORA66	79
PCNX	35450
NIPBL	32289
DCPS	2064
MUM1	1963
MIR215	2
SERINC2	633
LOC440563	3
MIR3179-3	0
KRTAP13-2	0
ADRM1	7767
FAM160A1	256
C1orf144	25149
NUP214	14384
DOK2	18523
CDC123	4864
CTR9	8049
SNORD84	73
LOC729513	102
CPA2	0
PDPK1	7885
MIR1305	0
VAMP1	4601
ZMYND17	224
SPATS1	0
PGCP1	0
NCKAP1	639
SMARCA2	24494
FRMPD4	0
KCNU1	0
MIR106B	35
MED6	2848
DAG1	2944
AGR2	0
MYOZ1	0
MAN2B1	30279
TRPM7	13770
UGT2B28	2
FGA	0
LOC286059	30
RPL35	19316
VEGFC	6
MC4R	0
PSG4	0
MAML1	13281
FOXP4	3472
PDCD10	4112
CDH23	4487
MIR500B	0
SLC22A14	1
TRMT112	4370
OSTBETA	0
C14orf64	584
MIR1197	0
ST7L	992
PCDHGA7	11
GOLPH3	15855
CELA3B	0
MEN1	4369
ADAM17	8299
GABRP	0
CENPH	628
IKZF2	8633
SELV	0
TSEN54	5004
UPK2	9
LRRTM3	0
E2F2	1814
C1orf131	1035
TNFAIP8	16355
STAB1	6445
CASQ2	0
MIR122	0
DTL	413
CD3D	12809
CUL4A	9630
SPC24	24
PTPN13	1277
SNORD115-38	0
PCDHB6	0
ATRNL1	18
SNAP29	5797
C16orf90	5
GABBR1	4875
DGCR6L	2052
SPATS2	931
C4orf14	5013
CCT6P1	604
MIR653	0
PXT1	11
AP1AR	2615
VSTM1	1410
DNAJA3	3851
IDE	5348
KTN1	22255
MAGIX	72
TUBB2A	2009
PCDHGA6	28
HOXA2	28
HOXC10	1
CYP24A1	35
PPP1R8	3912
H2AFV	13546
MATN4	0
TEKT3	8
POT1	2813
CLTC	32490
LOC389676	0
MIR802	0
LRRC39	72
PPA2	3384
C22orf29	2236
LOC284576	4
PREX2	6
SERINC3	14671
ITPKB	43094
OR12D3	0
HECW2	142
NHLRC2	1830
ZNF672	4831
SNORD105B	3
CYP1B1-AS1	61
TRAF3	9338
MCAM	158
PREPL	2650
EMP2	2
FKBP11	2230
CCDC158	1
OR2C1	3
SIGLEC9	2577
POFUT1	5779
TRIM64B	0
NFATC2IP	8062
THAP8	311
CDK5RAP1	2833
YARS2	1397
XCL2	536
SNORD115-22	0
DAPP1	6391
CHPT1	4046
MTL5	397
ZEB1-AS1	216
RPLP0P2	592
TSPAN2	2615
STX17	6549
ANKAR	479
PLEKHH1	65
CXorf1	0
PCSK6	496
TGFBR2	45839
EPPK1	904
ZSCAN22	503
SH3TC2	119
PPHLN1	7463
C21orf2	3069
C15orf32	0
MIR4660	0
KLF9	17733
FCGR3A	46802
TAF6	5833
CCL16	4
IL3	10
NCRNA00241	169
PPP4R1	7383
RHBDD3	693
TAMM41	1233
KRT16P3	0
PCDHB13	2
MIR563	1
CRP	0
C3orf38	5254
C6	0
MTERFD3	348
ZNF44	3654
CHTOP	7139
MIR4739	0
SLC37A3	1955
WDR41	2381
SLC2A14	177
COMMD6	10067
HPSE	3807
CHAD	105
LEAP2	41
MIER3	5739
MATN3	0
TMEM59L	6
KCTD5	4602
LTB4R2	426
SETBP1	4232
RBM22	9760
DDX47	5812
LOC100130451	1
C6orf186	12
FARS2	2061
TTTY10	0
GIMAP2	11026
ABCA6	89
NOC2L	5001
FLJ45244	90
PDCD1LG2	83
CTSL1	3302
RBBP7	8746
PBRM1	14400
ZNF594	114
ATXN7L3	15342
PCOLCE2	0
CKM	21
ZNF462	275
LONRF2	41
WDR11	12870
KRTAP20-4	0
TP53TG1	1019
FAM72A	12
CAPN2	47375
BTBD8	195
TRIB3	1018
ST6GALNAC1	539
CLMP	41
FAM123B	1128
CHD6	15843
FAM41AY2	0
LY6K	6
USP9X	30230
C22orf33	0
RCC1	3502
RBAK-LOC389458	36
METTL21B	308
LOC100129216	10
BAGE	0
MASP2	426
NPTX1	61
ZNF354A	1410
GBP7	173
GJC3	11
ZNF507	5596
SLC22A31	19
STRADA	3489
KRT14	0
MRPL42	4407
PCDHA5	1
LOC388789	2457
DDX50	4484
PYROXD2	568
ATP6V1G2	67
COL5A1	111
LUC7L3	7034
KIAA0100	28282
MDC1	5184
AMD1	27287
CASP6	1156
MIR92B	1
KCNC2	2
WDR16	1
POLR2I	1220
IFI30	103594
MIR632	4
CST7	12715
HK1	28621
NPIP	113
DDX60	5965
RNASEH1	1866
ZCCHC10	1663
SNORD113-5	0
BZW1	9404
UTP11L	1553
PTP4A1	49701
BMP8A	325
HLF	361
C20orf118	1156
RASGRP2	25692
