GENE_SYMBOL	EXPRESSION_VALUE
TRMT61A	2116
MAN2A2	8521
FCN1	116167
ACTL6A	1349
NUAK1	1333
ZNHIT1	3971
PCGF1	1190
LOC727982	0
IL1RAP	2024
LAMB2P1	243
ISX	1
LOC100506469	267
PHKG1	120
TOR2A	3561
ZNF99	3
PKHD1L1	144
SLC25A39	8260
CACNB1	804
FLJ31813	22
KRTAP5-7	1
PRB3	11
HIST1H2BH	46
ZNF681	344
CHODL	28
SMPD3	1249
KIAA0319L	6852
OR2T8	0
KIF4B	18
MIR101-1	0
GLYCTK	1866
MDGA2	0
LOC100506422	0
POLB	1525
KLHL7	2014
OR8D2	0
LOC645212	604
CYP4F2	2
MT1M	0
TPD52L3	0
COL4A3BP	7380
LOC100506835	0
WDR81	10210
EXOG	1565
OR2W3	48
ITGB1BP1	3323
LOC148709	32
C17orf39	1425
C7	0
TAF5	1105
ACAA2	3672
GSR	9099
CREM	13253
DEPTOR	212
OR2T29	0
NDUFS8	3457
SNORD116-26	1
CHRNB2	33
MIR643	5
GBP4	7864
RAET1K	13
A2MP1	26
SORCS3	222
TIPIN	372
MIR543	0
EXT1	2980
TNNC1	66
FBXL20	6056
HNRNPK	33081
C16orf93	21
SLC25A24	4771
C6orf35	1891
MCM2	1846
HPS6	2376
COMMD3-BMI1	6816
SCGB1D4	2
ATP7B	100
B9D2	1100
OPALIN	0
GGCT	1121
MIR4785	22
IFIT3	1141
PROP1	1
RFXAP	1016
DNAJC16	1939
VIT	123
ADRBK2	8827
TSEN15	2286
FAM96B	3799
MIR503	0
ANGPTL4	28
GCFC1-AS1	253
CLINT1	9485
DUXA	0
AFAP1-AS1	15
CTSB	47029
FOSL2	37814
SLTM	10205
CDC42EP3	5755
DKFZp686K1684	0
GPR176	10
PCOLCE	334
KRTAP6-3	0
ROBO3	616
SERPINB11	0
CRAT	2350
FAM38B	0
BMP8B	262
MEGF11	25
PTPLAD1	1870
LOC100192426	1
SLC19A2	1032
SEC61G	3976
ALPI	0
SLC25A11	5606
MRPL45	2522
LOC151658	0
ACVR1	2541
MIR449C	0
AACS	1512
QTRT1	1580
AKR1C3	1361
NPTN	7010
SEMA3D	26
CCR8	34
SLC25A41	1
