GENE_SYMBOL	EXPRESSION_VALUE
ERMN	277
HIST1H2BM	1
ATG4A	1602
CFLAR	29675
FTSJ1	2817
ZNF317	6670
LPXN	10745
GDNF	0
ZNF777	1861
CCDC79	2
RARA	13044
KCTD2	3883
MED26	2106
HBM	0
C15orf44	2292
MAGEA5	0
DSEL	471
PPP1R2	9517
PSMG2	4095
LOC727849	2
LOC441009	3
MYEF2	476
RIF1	10120
S1PR2	674
HLA-DOB	970
ABCG4	0
AKT2	13258
CCBL1	375
FCHO1	3746
ADCYAP1R1	0
RBM26-AS1	38
POU1F1	5
CRTAM	1213
LOC201651	0
IRGQ	2518
UQCRC1	8916
FAM138B	0
COL4A6	3
HMGA1P7	0
ELL2	3121
POLR1E	2659
MOGAT1	0
LOC121952	21
RASGEF1C	2
C9orf53	0
GPR37L1	2
HSPA14	1748
LOC100506233	276
USP27X	226
DAP	10722
FBLL1	0
ATXN3	2821
DUPD1	0
C19orf25	1645
MIR512-2	0
LOC730101	18
NUMBL	393
ACTR3BP2	0
FASTKD2	2643
GYG1	5803
PARP10	9223
MIR1276	2
PAX6	352
C15orf52	285
LOC100133957	35
DLX6	0
LOC100506046	99
ASS1	0
CSMD2	1
TPRXL	4
MYOZ3	10
TMEM79	493
CEACAM22P	0
GPR25	69
RARRES2	8
CLIP4	5610
C21orf119	158
OR2F1	0
LOC151475	9
VPS18	3882
CYP2W1	1
USP50	6
LOC283403	1
LYRM2	2523
PRDM1	12784
TATDN1	541
GDI2	30751
KISS1	0
INPP4A	18659
ZNF382	228
CYP4F12	2
ZMYM6NB	2063
C1orf180	0
SNORA14B	12
SNAR-B1	0
POTEH	0
GNRHR	20
KLK6	0
NRSN1	0
SNRPB	11328
RPS6KC1	2831
C2orf27B	0
AFAP1	2414
SMAD9	9
SPINT3	0
MIR518F	0
DSC1	446
ARID1A	30730
ZNF527	663
PLSCR1	4073
SLC22A16	238
IRF2BP1	1931
ST7OT3	0
ZNF550	239
PRUNE	3400
PACS1	23158
GLI2	0
MYADML	0
TMEM164	8533
EIF4E3	18532
PARN	5404
KRTAP4-12	0
WDR66	32
FAM167B	14
MIR4745	0
PRPF18	4046
KRT80	16
LOC641746	0
COMP	1
CCBE1	1
SP110	10711
PSG8	0
ECHDC2	734
UXT	5495
C6orf7	0
VAV3	6151
ART5	0
LYZL2	0
IER3	9268
PREX1	52502
ZNF501	123
SNORD115-39	0
NDUFS3	2605
NCKAP1L	31534
ANKDD1A	332
ADAM9	3627
ZFP3	379
RTN3	15694
C14orf2	5085
FLG2	0
C1orf68	0
SRSF11	8301
COLEC11	2
MAD2L2	1983
LRPAP1	11303
ANKRD36B	157
ELAVL4	3
C15orf17	4636
KRT79	0
PNN	10176
MIR421	6
TPMT	2579
FAM63A	2131
HIRIP3	1310
MAGEL2	0
NPFF	25
PAX2	0
NDUFA8	1258
LOC100144602	0
CIC	10244
FAM19A2	121
PDE3A	49
ZNF433	78
SIVA1	2041
PCDHGC5	4
SNORD114-28	0
XPNPEP1	4163
A1CF	1
PRAMEF1	0
CBX5	9039
MIR4435-1	0
EID2	1212
SPRED3	16
OGFRL1	11531
FUT10	882
CNOT6	6622
PRX	651
USP28	5646
ROBO4	31
RABGAP1	4984
POLR2J	1306
KIF5C	1665
FMO3	1
GNL3L	8169
PRPSAP2	2928
HSPB7	0
ZNF791	2125
CYP19A1	2
ARF5	9828
SHANK2	8
PALB2	1230
CYP4F30P	0
MIR4324	4
HRH2	2468
NPR2	76
ROGDI	2151
NLN	1701
PLA2R1	1
SNORD38B	16
LOC439949	1627
INSRR	0
GKN1	0
UPP2	1
BHLHA9	0
TGIF2LY	0
VCAN	211395
NELF	4631
OR4S1	0
BTNL9	4
MRAP2	3
MIR4427	0
FOXK1	11832
EFCAB2	333
AKNA	53071
TRHR	0
ABCC11	2
KRT36	7
OXSM	376
C2CD3	3624
SNX3	14797
SOX14	0
CTBS	4028
SLC8A2	5
PDE8B	153
SNORD115-2	0
MIR4464	0
NAV2	61
SRXN1	4136
GPX3	422
XPO4	6395
BVES	16
SNORD116-22	0
LOC340074	0
LOC144481	28
RAP2C	10278
TUBGCP4	1106
SRSF2	20764
C4orf52	1294
HEBP2	5390
LOC100132724	324
RHD	86
ETS2	15695
C8orf47	2
NAPG	2313
HTR1B	0
EMP3	22286
C1orf226	14
AOAH	20214
ZC3H18	5173
LOC100507178	94
SPACA3	1
FNBP4	8726
AMELX	0
C6orf191	23
ITGB5	1632
C17orf97	120
ZNF701	1056
SH2D3C	5719
SNORA1	39
MIR4520A	4
LOC645513	245
ROMO1	1240
SLC35D1	3788
ANKRD37	393
FAM72D	10
HIST1H1D	39
OR2G3	0
POM121C	3771
PRAMEF2	0
LOC100270804	132
FOXB1	3
SNORD115-23	0
ALDH9A1	6296
MIOS	2984
MIR4750	9
CDH22	0
C5orf47	1
POU5F1P3	16
HCRTR1	20
NRCAM	78
MIR668	0
AKAP10	4790
SNORD20	21
ARL1	2883
PRKD2	9829
C9orf146	0
PNO1	2186
RPRD2	13820
MIR378C	0
YWHAQ	20239
CWC22	3843
RRM2	293
TTTY3B	0
LMNB2	3110
CPNE9	17
ZNF33A	7277
SLC4A5	671
ZAN	0
PTP4A3	1182
TUBGCP6	5588
MBD6	5799
SHANK3	20
FOXJ2	6724
SSTR2	1
OR5B3	0
OR7D2	3
HSPA12A	1
RPL23AP82	154
LOC392364	2
PABPN1L	16
STX1A	346
DPY19L4	1020
UBE2R2	15471
ARMCX5-GPRASP2	103
PXMP2	273
LRRC38	1
FLJ46361	0
CTDSP1	18010
BEX4	1986
EXOSC7	1219
SLC36A4	2469
SYT8	0
PADI3	0
ODAM	0
FAM75D3	0
SSX6	0
NCRNA00099	1
SYNGAP1	5381
OR52E2	0
SCARNA10	39
DGCR10	11
PIAS2	1526
RAB37	10965
SLC6A5	0
IQGAP1	99198
SRD5A2	2
NUDT13	254
LOC284749	138
MYO15A	44
LOC100506343	69
KCTD20	15142
JAG1	1123
SLC12A5	10
HOPX	6544
GPR114	4106
SLC2A2	0
MYOC	0
LOC100288428	3
NAV2-AS4	0
ABLIM3	891
TSPAN17	3639
H2BFWT	0
TLCD1	14
SLC30A10	0
ALOX15B	164
KRTAP1-3	0
L2HGDH	369
DHRS7B	601
FHL1	2493
FAIM2	5
MTF1	5875
PPT2-EGFL8	4
MIR642A	0
SMG5	8512
NCRNA00305	0
CDH26	92
MIR4515	2
P2RX4	3049
HCN2	118
TRMT6	2890
GAD1	2
HTR2C	0
FGF20	2
SAA3P	0
FBXO36	213
CRB1	7
OR5K1	0
LCA5	35
PP14571	6
NUMB	15490
PGCP	5196
DLC1	203
FLJ44635	30886
C1orf146	4
MIR125B2	0
ADAMTS14	18
CYP2D6	35
IL13RA2	0
NCRNA00174	176
CPNE7	60
WDR46	3747
MICALCL	798
DNAJB12	4788
MIR4740	2
IRX3	6
GAGE2A	0
BEND6	36
MIR1296	0
DDX19A	3325
FABP5	65
C14orf102	1848
LMBRD1	7626
BLVRA	5349
CBY3	14
ZNF879	230
SRP54	3020
LYRM1	1855
C3	427
CEBPA	5166
EIF3IP1	1002
CUX2	202
SNX14	6491
CCDC130	1084
KIF2A	14836
C12orf51	9052
MDS2	105
CCDC112	1454
ACSL3	3589
C9orf30	814
DENND4A	10921
ANKRD52	6458
KIAA1409	19
RNF144A	4276
NR2E1	0
SERPINB12	0
ST6GAL2	17
CNR2	599
C6orf25	2147
CLEC14A	0
RTN4R	78
MNX1	0
PCK2	2281
EIF2C1	10352
ACAP1	13055
C14orf180	0
LOC389333	81
CAMSAP1	5238
GAGE10	2
LOC441617	28
ACVR2A	1236
FAM196B	164
LOC100505540	0
BAG5	6498
WIPI1	1946
GSTA5	0
DNAJB9	15887
PIP5K1A	4842
RELT	6531
TSPAN32	2260
ZBTB46	363
PDE10A	0
OR9Q2	0
HDAC11	833
STK31	7
AKAP1	1979
C22orf25	2981
RPS27	977
SLC25A2	24
CHERP	3821
LOC93432	2
LOC399715	51
PRAMEF8	0
C2orf77	105
TMEM182	345
LRRFIP1	34329
EPS15L1	3804
F5	5549
NDEL1	9018
NOMO3	255
SSX2IP	2118
PTPRVP	7
NACA2	21828
PLCL1	4947
ADAMTS18	0
LOC100506930	82
ISCU	5920
UNC5B	86
MRPS18C	455
RNF222	23
GPR4	1
ROR2	369
RNF135	3432
MIR185	0
CIB1	8041
FLJ37453	437
MIR4536	0
TOM1	6189
PLAC2	36
ST3GAL5	3996
MIR454	0
LOC643714	0
LOC100128675	1
ZBTB26	257
SLC10A5	9
WBSCR16	863
APBA2	3180
CD69	121536
KPRP	0
SH3BP2	15480
CLASP2	4049
SLC27A3	4099
LOC100293534	8
SLURP1	0
S100B	393
TSSC1	2210
FABP7	0
C21orf37	1
ENC1	11403
SORBS3	3787
RNASE4	1000
CST1	0
RPL31P11	193
SSB	4390
DEFB4A	0
IFT80	1431
GPR162	1363
NDP	1
MIR499	5
BTN3A3	10769
KIR3DL1	621
LOC284023	200
BCL2L2-PABPN1	191
NCCRP1	4
C17orf64	1
MIR3689E	0
MTFMT	765
C14orf33	42
FAM153B	3
TLN2	141
GCFC1	2392
CYorf15B	0
CBR4	656
SNORD96A	60
MIR450A2	0
ZNF687	4864
NEU4	28
SRF	7151
SLC22A5	499
DOK6	615
NGRN	3917
STMN4	2
ALX3	113
LEKR1	33
OR5K2	8
C10orf32-AS3MT	869
GJB7	14
UBE2Q2	6032
GPLD1	61
CRYZL1	1319
AVPI1	1494
FOXD4L5	0
CHCHD6	305
NOS2	15
RRP9	912
OR13G1	0
ZNF876P	125
LRRC42	843
DNAJB4	1490
ZNF74	1045
GPR64	9
ZNF425	59
LCTL	7
ANKRD34A	115
CPXM1	76
SLFN14	75
NCRNA00245	45
DHX37	2781
LOC100506649	139
CCP110	3512
GAL	0
PTPN21	4
TM2D3	2853
TAAR8	0
BCYRN1	0
CCDC99	329
CCDC22	2787
MAGEA8	4
TAF4	3799
TMEM101	1931
LOC440910	0
NACAP1	963
NLGN1	4
NCRNA00207	0
OR10AG1	0
TRIP10	365
GCH1	6152
MIR4271	0
FAM135B	1
MIR25	25
SNORA42	5
CCNT1	3782
CLEC9A	99
TTC29	1
DAZAP1	9784
RADIL	4
LINS	2436
HCFC1	14355
NCAM1	3223
WNT2B	21
ZNF18	1324
TTPAL	2661
C11orf53	0
DMRT3	0
DPP10	34
TMCO3	3244
SNORA20	17
TCEB3B	1
EFHA2	175
FAM76A	1301
FAM174A	490
PA2G4P4	938
SIM1	2
TRAPPC2L	1433
WTH3DI	417
ITGB2	215860
NMNAT3	186
TBCEL	1429
PSIP1	10678
YIF1B	2617
C15orf29	1541
ISM2	3
LOC100506241	0
LRRC43	45
C7orf26	3755
LOC283404	0
CLPTM1	8004
PTX3	2841
MIR451	0
LSM2	1220
TBR1	1
ABCB9	148
HSD11B1L	118
DYX1C1	23
AIP	7249
APOBEC3F	1259
ATP4B	2
CRNN	0
KIAA1755	1
H1FX	13224
ZNF37A	2389
ATAD3A	679
KRTAP19-6	0
EFEMP1	0
LHFPL1	24
E4F1	1327
CCDC76	781
COL25A1	3
PARP8	28205
ZNF263	3071
PRSS53	131
C2orf83	0
PRRX2	0
UGT1A6	0
IFITM5	5
C9orf69	4570
GAGE12D	0
MIR3936	1
KIF3B	6639
DLK2	99
RBAK	3361
KAL1	3
C10orf92	0
LOC388387	1
CDC42BPA	252
SLC14A2	21
HOXB9	12
ADCYAP1	0
RAX	0
SFXN3	3796
IPO13	2066
EPS8L1	120
PRKCA	7525
A1BG	571
PPIAL4B	0
ANKRD19P	2809
PYDC1	0
SERP1	32344
KIAA1467	889
XPOT	6287
RSPO2	2
OTOP1	0
HJURP	46
CERS2	17941
TMCC3	6734
GLYCAM1	0
UGT1A4	0
ADAR	53574
SFTPC	0
CAMTA1	1680
MYH2	0
LRRC71	3
OTUD1	16868
MIR3154	0
ARHGAP36	0
FANCI	3727
IDAS	0
TAGLN2	46162
CDX4	0
COL17A1	10
ZNF837	160
ELAC1	397
UBE2E3	2575
DNM1L	4816
PPIL2	3013
LOC100507401	4
RAP2B	13939
HSP90AA1	64041
MIR4279	0
FAM108C1	504
FOLR4	0
SULT1A1	3029
ZNF398	3490
OR10G3	0
WDR53	553
ZNF782	548
STAG1	7464
MIR1278	0
PCID2	2880
KCND3	29
FAP	0
EBP	2535
PDXDC2P	201
PIP4K2A	39065
ZNF847P	0
GYG2P1	0
MIR4715	2
MIR873	0
MIR650	199
MYOM2	3358
SFTPD	91
IKZF4	709
WWC1	90
GCOM1	435
COL6A4P1	2
PRPS1L1	193
MGRN1	9248
PLIN2	6281
HEPN1	0
ABCC12	0
