GENE_SYMBOL	EXPRESSION_VALUE
VPS41	3383
PCTP	1061
POLR3G	146
ADORA3	59
FAM171B	14
PARG	1192
FAM86C2P	43
PCDHGB3	13
SLFN12	333
PSG10P	0
TMEM38B	992
INPP5B	3243
NPHP3	1804
CPLX4	1
FBXO38	2714
CADPS	0
ZNF518A	1927
POTEB	0
WASF1	287
ITGAL	53148
SCGB2A2	0
MAST2	1178
C16orf53	4693
UGT2B4	0
TFAP2E	524
FAM202A	16
MIR9-1	1
C17orf105	1
IGF1R	4657
DYNLL1	11036
ZNF688	2298
ADAD2	10
ZNF770	4128
NDC80	525
FAM170B	8
CIB3	9
FOXO1	12085
OR8I2	0
NDUFC1	2053
OR52B4	0
TUBA1C	7014
NAALADL1	1287
HERC2P4	2
MIR545	0
DLG3	1725
CCDC73	372
DNAJC5	17175
SNORD4A	107
CAP2	1
LOC79015	159
HIST1H2BA	0
SYT13	0
CMYA5	10
GANC	933
PPAP2B	47
PTCD1	2561
NRL	252
MAPK8IP3	10305
ZNF391	22
FIGNL2	143
NKX3-1	667
HHAT	628
CHCHD2	11473
CLCN3	1461
MAL	20586
DHCR7	2252
ZSCAN1	1
KRT31	0
DNAJC30	1171
ZNF485	209
FAM99B	0
LOC641364	0
OR5H2	0
PPP2R5D	6608
DCUN1D3	936
PCDH9	243
LACTB	5667
C18orf26	0
SURF4	24363
HAPLN2	3
MGST1	1782
NPBWR1	2
SNORA80B	27
CD68	38767
IL12RB2	241
LATS2	2329
GUK1	22963
ANP32A	11894
SNORA62	66
LOC641367	64
BASP1	1977
UGT1A3	0
SNORD116-5	0
ANKRD20A2	0
PTCHD1	0
TTC12	1277
STMN2	1
NDUFA12	3633
CORO6	60
CLEC2D	9878
SRSF4	6784
DCAF7	5601
LOC100128811	1
ZFPL1	2464
GDAP1L1	0
LECT1	0
CSNK1D	25639
MIR1306	0
SHMT2	7676
RBMY1D	0
GNB1	53345
MIRLET7I	19
ZCWPW2	63
CDHR4	5
ITIH1	40
LSM12	325
PSMA1	11304
ELFN1	28
NCAPH2	6806
SNORA11	50
PLEKHG4	2399
SSX8	0
LILRB3	5496
GGT3P	0
MUSK	1
PARL	5461
CHCHD4	615
RPS3	276602
ABHD14A	1236
ACVR1B	3041
CSNK1G2	22115
ZNF32	3403
LPGAT1	6306
BAK1	3210
ZCRB1	2316
OR8U8	0
GNL1	10951
LOC154822	11
LOC100499183	1
FCRL3	1163
NSUN5P2	324
NEIL1	536
SNORD66	6
RAB25	100
PRDM12	14
SSX4B	0
DPYSL5	1
ATP6V1B2	12514
NT5DC2	402
TMOD1	76
MIR32	0
DCN	2
VSX1	1
GNG12	2
PPM1L	331
CCDC144NL	2
MTMR6	7733
LOC100526820	192
FICD	137
C7orf30	1442
CGRRF1	3138
HSP90AB2P	1802
ARL4A	14674
PACSIN1	1227
PPP2R3B	1666
SHOC2	8148
ABCB11	0
C12orf34	456
C4orf10	1398
GPR82	43
LOC285359	60
IDUA	1642
MB	5
KRTAP12-1	0
LOC100131564	393
RPL10L	26
IMMT	5866
RHAG	2
REG3A	0
C12orf75	2935
MVD	4415
NKX2-6	0
NT5C3	4502
RPA1	9302
NTN1	23
RPS4Y2	0
SORCS1	0
SVIL	3817
PCDH1	280
POLH	1516
OSBP	9506
ALCAM	1545
NID1	1289
WDR26	19298
GP1BA	541
CCT8L2	0
ERG	109
ABCC6P2	0
THRB	44
COX8A	11642
TRIM23	1436
OR2W5	1
ARMC7	1277
POM121	3443
C22orf28	6635
BIRC5	234
CLK1	68532
PWP1	3813
CELSR2	609
PLA2G3	1
EBLN1	0
RFX5	5288
NBPF22P	0
CDCP1	80
ZNF428	3662
MIR3613	4
PRKX	7672
RTTN	1587
HN1L	1815
KIAA1107	306
UPB1	48
ZC3HC1	1102
OR10H3	0
N6AMT2	316
FBXL6	2132
LOC401093	261
SPO11	0
ZFP1	947
IGFBP1	2
GC	0
KAZN	5
RNF113A	4761
ACADL	0
LGALS3BP	5671
SLC18A2	923
RGS16	8771
GPRC5A	43
TCTEX1D1	27
MIXL1	1
TTTY12	0
LGALS4	65
FAM75A1	0
SIX4	0
HOXA10	113
TOR1AIP1	9255
TPSB2	2
TRIM40	30
ZNF625-ZNF20	12
NTSR1	118
PRR14	6019
FLJ30403	22
EPOR	3069
PTH2	1
CNNM2	993
SLC25A47	8
CRYBB1	43
MIR187	0
UGT3A1	0
SUFU	2775
RER1	8452
C9orf64	236
SHISA7	2
GLRA4	1
LOC729156	31
NUDT7	279
BCAR3	154
C3orf20	9
MIR1973	0
LOC100505826	18
PKDREJ	43
FFAR2	1604
CSNK2A1P	552
MARCKSL1	19724
MIR1910	1
SCIN	31
ZNF645	1
LPHN2	0
CHRAC1	6633
LOC100130932	10
C4orf43	1226
MIR218-2	0
C8orf82	2771
MAD2L1	745
FAM46B	198
POLR3B	896
NEIL3	26
CDKN2C	644
IRS4	0
NKX2-5	1
CAMLG	10839
CD1B	47
RNASEH2C	3987
PCBP1	75966
SLC35C2	6601
IGFL3	0
CTXN2	0
CAMK1	4690
CANT1	4914
PEX5L	5
CREB3L1	5
AIFM2	438
SDF2L1	3123
TAF13	1816
IFT43	718
DCST1	12
SMAD4	9406
BLM	573
DBIL5P2	3
PUS10	502
PQBP1	10111
CEP63	2273
EFCAB1	0
PRHOXNB	0
GNGT2	757
NUDT5	2580
MIR656	0
WWTR1-AS1	0
LOC100129931	46
FASN	8770
MIR4310	0
SKAP2	4121
ACOX2	57
NINL	270
HAS1	127
C20orf24	11195
ADRA2C	0
C3orf78	1185
MIR519D	0
TPSAB1	110
ZFP91	7861
LOC153910	0
TMEM221	38
ZNF717	115
TRIM43B	0
TMEM229A	0
NKAP	2376
MIR548I3	0
PRSS45	0
CYP21A1P	25
LY6H	0
PWP2	4647
KCNJ6	0
NR3C2	3421
MRPL21	2280
SNORD115-29	0
ZNF57	140
GFI1B	700
CXCL9	32
C21orf70	725
RWDD1	5471
MAP3K8	9669
STK38L	2861
C6orf106	22003
BAIAP2	1666
CD40	1823
RAB28	1584
NCRNA00319	1
ARHGEF1	82541
MIR3916	40
KPNB1	17872
CLASP1	6235
MAGEA4	0
C2orf67	500
LOC100506195	1
SHISA3	5
RBM44	90
HSPD1	9875
DKFZp686D0853	0
ZNF295	8368
ALG1L	18
SNORD115-35	0
MCF2L	837
LOC400960	372
THBS2	56
MAP3K9	484
COL8A2	503
RAB30	1076
DNAJB13	573
RPL17	16015
TMEM55B	9992
PLEKHG2	3480
MIR4509-3	0
LOC100289255	3
GTF2E1	498
LOC100130298	150
USP25	9369
C2orf80	0
TSPAN33	4264
C9orf114	2624
ZG16B	164
TMED7-TICAM2	653
MIR3691	0
DPPA2	0
CYP2D7P1	83
HCST	15749
BBOX1	0
KIAA0247	15032
CMBL	60
TCF7	50552
OR5B21	1
ZDHHC7	11033
TBC1D3C	0
MIR520E	0
MIR4252	0
C1orf159	1018
TM4SF5	0
SNORD12	48
SRBD1	1743
NAP1L5	1065
PLBD1	7250
MIR511-2	0
OR4N2	0
CASC1	30
ANKRD27	2804
LY6G6D	8
MIR3199-1	1
COL6A4P2	4
SCLT1	1977
KRT76	0
SYT5	53
RGPD4	137
MIR4505	14
SETD3	5889
CGB5	0
C12orf47	3041
KLK7	0
PCDHB4	0
SPPL3	9452
CHP2	0
LOC283070	2253
MIR100	0
DIO2	1
APOBEC3G	4685
FLJ35424	0
PSD4	17023
LOC731789	10
C14orf70	0
LRRN4	5
SYT1	44
SNORA14A	1
COL9A3	29
CYP26A1	5
OR51E2	0
C20orf132	114
SYAP1	9802
TMED10	18549
LOC643441	0
WDFY1	5190
OSR1	0
GPR20	5
UTP20	1946
GMPR	769
SNORA5B	10
FLJ13224	113
LOC100288615	226
SCGB1A1	3
DKK4	7
MIR3910-2	0
RSPH1	37
SSR3	14297
SSBP4	6964
FAM59B	267
RCCD1	514
NIPA2	6365
TFAP2C	1
CABP1	1
RPL24	37708
CCDC132	2228
SPPL2B	4212
TMEM183B	0
FLJ25328	0
LOC646903	5
MEG3	39
HSDL2	1772
SNORA71D	2
PABPN1	14220
REV1	3704
TNNC2	155
TLE1	1186
HIST1H2BG	279
HBA1	287
MIR1204	48
CAPN10	5060
LOC644538	49
NIN	14830
KRT6A	0
TMEM42	1605
DNAJC19	1364
LOC284933	0
FLJ12825	1
ADAM11	78
WDR24	2011
TXN2	7583
PHF15	22885
