GENE_SYMBOL	EXPRESSION_VALUE
C7orf31	1283
ACOX3	1530
ELF1	36012
EME1	73
NKAIN2	7
MFAP2	1
IL18BP	1771
NCRNA00346	45
MIR4803	0
MYCL1	3497
LLPH	1180
FSIP2	31
C1QTNF6	214
TRNAU1AP	1523
PIGN	2348
MUC6	84
SCNM1	3280
KIAA1468	5325
SLC15A5	0
CMTM8	466
PAXIP1	1952
EPX	34
DLEU2	275
DIEXF	2182
LOC100133050	0
GNAT1	3
EIF3G	20373
GAGE12I	0
C14orf178	24
RIMKLB	588
LRRC27	623
ZNF426	1037
RBM6	10965
MIR1207	2
TNFAIP8L3	4
FBXO31	2971
WFDC9	0
DMAP1	2085
LOC100128361	96
DSCC1	75
SLX1A-SULT1A3	7
ZNF827	1197
C9orf95	1933
NDUFAF2	380
SNX5	4629
GPR97	202
HIST1H2BC	119
POSTN	0
ZNF195	1511
DCAF10	4697
TAP2	26104
SLC2A4	1
METRNL	17358
LOC145783	320
RUFY3	3567
FAM151B	295
MOBKL2A	28425
KIAA1462	2
PLK1S1	1641
LOC286467	161
OSBP2	376
ZMAT5	1048
PRRC1	6921
METTL4	1379
AMOTL2	5
MIR892B	0
MIR3179-3	0
KRTAP13-2	0
ADRM1	8885
FAM160A1	271
C1orf144	23244
NUP214	11928
DOK2	22540
PCNX	24107
NIPBL	22999
DCPS	3634
MIR215	0
MUM1	2505
SERINC2	792
LOC440563	3
SNORD103B	0
SCG5	19
GABRQ	0
MED23	4927
SNORA66	39
GRM2	65
HAUS6	1839
HPCA	0
C11orf75	2530
PRSS46	0
PTS	641
C19orf57	71
LOC286059	26
RPL35	13683
VEGFC	14
MC4R	0
KCNU1	0
DAG1	3625
MED6	2014
MIR106B	12
AGR2	0
MAN2B1	44335
MYOZ1	0
TRPM7	10557
UGT2B28	0
FGA	0
SPATS1	0
PGCP1	0
NCKAP1	740
SMARCA2	20058
FRMPD4	0
CDC123	4669
CTR9	8378
SNORD84	49
LOC729513	42
CPA2	0
MIR1305	0
PDPK1	8268
VAMP1	2179
ZMYND17	144
E2F2	3103
C1orf131	936
TNFAIP8	10681
GABRP	0
CENPH	469
IKZF2	7940
SELV	0
TSEN54	4346
UPK2	13
LRRTM3	0
OSTBETA	0
C14orf64	221
MIR1197	0
ST7L	673
PCDHGA7	20
GOLPH3	18599
MEN1	3975
CELA3B	0
ADAM17	7153
PSG4	0
MAML1	10205
FOXP4	3609
PDCD10	3528
CDH23	2665
MIR500B	0
TRMT112	4487
SLC22A14	1
SNAP29	7752
ATRNL1	4
C16orf90	5
GABBR1	1950
DGCR6L	1772
SPATS2	3350
C4orf14	4713
CCT6P1	319
MIR653	0
SPC24	35
PTPN13	941
SNORD115-38	0
PCDHB6	0
DTL	439
CD3D	5475
CUL4A	8321
CASQ2	1
STAB1	9731
MIR122	0
MATN4	1
H2AFV	11952
TEKT3	6
POT1	1957
LOC389676	0
CLTC	39002
MIR802	0
LRRC39	26
PCDHGA6	22
HOXA2	20
HOXC10	1
CYP24A1	13
PPP1R8	3674
KTN1	19518
MAGIX	125
TUBB2A	689
PXT1	11
AP1AR	2338
DNAJA3	3157
VSTM1	1443
IDE	6619
PREPL	2722
EMP2	3
FKBP11	7391
CCDC158	4
NHLRC2	1743
ZNF672	5024
SNORD105B	1
CYP1B1-AS1	61
TRAF3	8776
MCAM	50
SERINC3	15004
ITPKB	22026
OR12D3	0
HECW2	128
PPA2	2875
LOC284576	0
C22orf29	1453
PREX2	2
ANKAR	213
PLEKHH1	46
PCSK6	688
CXorf1	0
TGFBR2	27722
ZSCAN22	535
EPPK1	311
SH3TC2	154
PPHLN1	6225
SNORD115-22	0
CHPT1	3700
DAPP1	6133
MTL5	245
ZEB1-AS1	146
TSPAN2	1978
RPLP0P2	373
STX17	4631
TRIM64B	0
NFATC2IP	5649
THAP8	412
YARS2	1168
CDK5RAP1	2140
XCL2	349
OR2C1	1
SIGLEC9	4069
POFUT1	6326
SLC37A3	1373
WDR41	2914
SLC2A14	765
COMMD6	6735
C3orf38	4224
C6	0
MTERFD3	293
ZNF44	1789
CHTOP	5742
MIR4739	0
IL3	11
NCRNA00241	155
PPP4R1	8018
RHBDD3	737
TAMM41	712
KRT16P3	0
PCDHB13	0
MIR563	0
CRP	0
C21orf2	2906
C15orf32	0
MIR4660	0
KLF9	13014
FCGR3A	69205
TAF6	4829
CCL16	2
SETBP1	5481
RBM22	7867
DDX47	3770
LOC100130451	2
C6orf186	2
FARS2	1772
TTTY10	0
TMEM59L	1
KCTD5	4509
LTB4R2	458
MIER3	3720
MATN3	1
HPSE	6742
CHAD	980
LEAP2	23
ST6GALNAC1	177
CLMP	26
FAM123B	1348
CHD6	9986
FAM72A	23
CAPN2	49705
BTBD8	99
TRIB3	1168
ZNF594	121
ATXN7L3	13548
PCOLCE2	1
CKM	11
ZNF462	68
LONRF2	11
WDR11	11097
KRTAP20-4	0
TP53TG1	799
GIMAP2	7330
ABCA6	60
NOC2L	4746
FLJ45244	81
PDCD1LG2	93
CTSL1	2168
RBBP7	8709
PBRM1	15616
SLC22A31	10
STRADA	2751
KRT14	1
MRPL42	2964
PCDHA5	0
LOC388789	1807
DDX50	3638
PYROXD2	328
METTL21B	260
LOC100129216	9
MASP2	170
BAGE	0
NPTX1	126
ZNF354A	1649
GJC3	6
GBP7	237
ZNF507	3246
RCC1	3635
RBAK-LOC389458	10
FAM41AY2	0
LY6K	6
USP9X	24134
C22orf33	0
UTP11L	1703
PTP4A1	27588
BMP8A	347
C20orf118	754
HLF	185
HK1	29755
NPIP	45
DDX60	5840
RNASEH1	1791
BZW1	9139
SNORD113-5	0
ZCCHC10	1385
KCNC2	0
WDR16	1
POLR2I	1006
