GENE_SYMBOL	EXPRESSION_VALUE
SPERT	5
OLA1	2277
EFCAB4B	1688
DHCR24	771
KIAA1267	11808
OR4L1	0
KDM4DL	5
PINK1	2064
C1orf64	0
SMARCA4	6094
RPLP2	25273
LOC286437	149
ARL4C	31898
SP9	0
RNF6	4302
FOXL1	0
C18orf63	0
TMBIM6	48797
SRFBP1	848
FASLG	289
AOX1	1
SERPINB8	3962
SMEK2	6488
TAB3	4802
LOC728989	54
LOC100507250	53
C9orf171	1
PRSS36	80
KIAA0895L	143
TMEM72	3
PLCZ1	0
COL6A5	5
OR5T3	0
MYRIP	15
FLJ34690	0
MRP63	900
PEX19	3585
FDPSL2A	7
HNRPDL	20741
RSG1	104
RALGAPB	6664
SRPK3	13
HSF2BP	11
C8orf86	1
ZNF215	21
POLR3GL	2333
RPL23AP7	80
SLC22A17	251
LOC91948	0
NMNAT1	444
RSPH6A	1
VAC14	1825
GBP5	10509
WSCD2	13
SUSD5	58
PPP6R1	12753
DCAF4L1	27
PDE2A	106
APOC3	0
TOLLIP	3238
TARM1	1
MUC13	3
STK25	2817
DCAF15	2136
C3orf23	1400
HTR3E	0
CPB2	2
AAGAB	2686
ARID1B	10357
FAM8A1	2741
FAT4	379
IRF9	3805
G3BP2	17660
MARCH7	8324
HMGB3P1	0
LOC100134317	0
PCDHA8	0
DDX26B	1476
IGFN1	0
RPL26	20709
MIR4669	0
C17orf47	4
NUP62	4103
KCNJ13	62
RNF141	5477
CPSF4L	2
C4orf37	3
ZFYVE27	1916
ISG20	2126
FERD3L	0
AFM	0
NASP	2804
TMEM91	558
WHSC2	1406
ELOVL4	102
EPCAM	3
SLC16A12	0
THUMPD3	1768
KRTAP10-10	0
KLRF1	1972
DCAF11	6376
CTAGE10P	40
SCARNA12	78
ITGA2B	535
MED8	1121
KAT7	5120
SVEP1	0
LOC647946	2
NCRNA00087	4
FMO5	601
MIR548F5	0
RPIA	2318
CDC42EP1	427
CD226	2663
CD99	11703
MUC5B	39
NME6	418
PCDHB18	0
BEX5	147
SYCP3	60
WDR89	851
KREMEN2	13
FAM123C	0
TFAP4	525
CCDC168	3
CORO2B	35
GLRA1	2
METTL17	1632
U2AF1	2794
LOC729852	944
TSPAN1	4
NR5A1	9
HLA-A	92004
OR5E1P	0
LOC100129213	0
CPA5	78
HEMK1	1036
ARHGAP24	1958
CSPG4	7
DEFA6	0
MT1B	0
TRIM2	204
ZMYND12	36
MIR34B	0
MIR548N	0
FGFR1	342
FXYD1	9
VCAM1	43
OR5P2	0
SNORD116-10	0
GSK3B	6774
CYP8B1	0
ZNF774	3
C19orf21	1
RPS4X	45038
FAM25B	0
C13orf26	0
FLJ30679	5
SLC44A4	8
TPM2	125
