GENE_SYMBOL	EXPRESSION_VALUE
C4orf10	1162
C12orf34	146
GPR82	90
LOC285359	81
IDUA	1329
MB	1
KRTAP12-1	0
LOC100131564	1219
RPL10L	17
IMMT	7936
C7orf30	1139
CGRRF1	1893
HSP90AB2P	1291
ARL4A	9227
PACSIN1	844
PPP2R3B	1197
SHOC2	13962
ABCB11	1
DCN	1
VSX1	0
GNG12	1
PPM1L	1477
CCDC144NL	0
LOC100526820	127
MTMR6	11651
FICD	381
LPGAT1	12426
ZCRB1	2033
BAK1	2684
GNL1	7427
OR8U8	0
LOC154822	2
LOC100499183	3
NSUN5P2	433
FCRL3	2579
NEIL1	653
RAB25	29
PRDM12	6
SNORD66	9
SSX4B	0
DPYSL5	1
ATP6V1B2	18889
NT5DC2	746
TMOD1	67
MIR32	2
SSX8	0
LILRB3	7901
GGT3P	1
MUSK	3
PARL	4897
RPS3	147887
CHCHD4	609
ABHD14A	651
CSNK1G2	18919
ACVR1B	4289
ZNF32	2462
CSNK1D	22637
LECT1	2
MIR1306	0
SHMT2	7179
RBMY1D	0
GNB1	58690
CDHR4	4
ITIH1	85
ZCWPW2	32
MIRLET7I	15
LSM12	389
PSMA1	10120
ELFN1	7
SNORA11	24
NCAPH2	5275
PLEKHG4	1500
SNORA62	142
ANP32A	11629
LOC641367	221
BASP1	4210
UGT1A3	0
SNORD116-5	1
ANKRD20A2	0
PTCHD1	0
STMN2	2
TTC12	1372
NDUFA12	2393
CORO6	47
CLEC2D	14752
SRSF4	9498
LOC100128811	0
DCAF7	9545
ZFPL1	1980
GDAP1L1	4
C18orf26	0
SURF4	18298
MGST1	1406
HAPLN2	6
NPBWR1	5
SNORA80B	39
CD68	51224
LATS2	4762
IL12RB2	469
GUK1	12629
KRT31	0
DNAJC30	821
ZNF485	273
FAM99B	0
LOC641364	4
OR5H2	0
DCUN1D3	940
PCDH9	996
PPP2R5D	6258
LACTB	5688
NKX3-1	641
HHAT	501
CHCHD2	6103
CLCN3	4699
MAL	9275
DHCR7	1905
ZSCAN1	3
PPAP2B	62
GANC	3214
PTCD1	2776
NRL	147
MAPK8IP3	16262
ZNF391	36
FIGNL2	192
TUBA1C	3010
NAALADL1	806
HERC2P4	2
MIR545	0
DLG3	1671
CCDC73	285
DNAJC5	17305
SNORD4A	109
CAP2	0
LOC79015	98
HIST1H2BA	0
SYT13	1
CMYA5	32
ZNF688	1351
ADAD2	11
ZNF770	7757
NDC80	612
FAM170B	2
CIB3	3
FOXO1	21755
OR8I2	0
NDUFC1	1365
OR52B4	0
SCGB2A2	0
MAST2	2309
UGT2B4	0
C16orf53	3569
TFAP2E	432
FAM202A	98
MIR9-1	0
C17orf105	3
IGF1R	12205
DYNLL1	4797
INPP5B	4235
NPHP3	3699
CPLX4	3
CADPS	1
FBXO38	5366
ZNF518A	6498
POTEB	0
WASF1	465
ITGAL	81615
VPS41	6301
POLR3G	284
PCTP	1558
ADORA3	74
FAM171B	46
FAM86C2P	57
PARG	1320
PCDHGB3	69
SLFN12	1124
TMEM38B	1165
PSG10P	0
MIR3916	205
KPNB1	29503
CLASP1	13752
MAGEA4	0
C2orf67	1292
LOC100506195	9
ZNF57	214
SNORD115-29	0
GFI1B	835
CXCL9	48
C21orf70	478
MAP3K8	8026
RWDD1	3549
STK38L	4870
C6orf106	22558
CD40	2206
BAIAP2	1768
NCRNA00319	5
ARHGEF1	66682
RAB28	1536
TPSAB1	31
ZFP91	14672
TMEM221	16
LOC153910	0
ZNF717	386
TRIM43B	0
TMEM229A	0
MIR548I3	0
NKAP	2147
PRSS45	1
CYP21A1P	7
PWP2	4045
LY6H	0
KCNJ6	0
NR3C2	5036
MRPL21	1319
NUDT5	1993
GNGT2	762
PRHOXNB	0
MIR656	0
WWTR1-AS1	1
LOC100129931	95
FASN	9957
MIR4310	0
SKAP2	11505
ACOX2	47
NINL	446
HAS1	74
ADRA2C	0
C20orf24	10453
C3orf78	478
